,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2016-10-27,,WAS,W,114,99,44,88,.500,12,26,.462,14,18,.778,14,52,28,13,7,21,19
1,2,2016-10-29,@,PHI,W,104,72,42,85,.494,5,20,.250,15,23,.652,6,47,31,11,7,12,14
2,3,2016-10-31,,SAC,W,106,95,33,79,.418,11,30,.367,29,47,.617,17,43,24,11,6,13,20
3,4,2016-11-02,,LAL,L,116,123,41,85,.482,11,32,.344,23,29,.793,10,37,30,10,1,18,19
4,5,2016-11-04,@,WAS,L,92,95,32,83,.386,5,25,.200,23,36,.639,10,47,22,12,3,18,24
5,6,2016-11-05,,HOU,W,112,97,45,85,.529,8,20,.400,14,24,.583,13,44,29,17,6,19,13
6,7,2016-11-08,@,CLE,W,110,106,41,81,.506,11,29,.379,17,24,.708,11,50,22,1,4,19,21
7,8,2016-11-09,,CHI,W,115,107,42,83,.506,9,20,.450,22,27,.815,13,48,24,8,7,21,20
8,9,2016-11-12,,PHI,W,117,96,48,95,.505,13,32,.406,8,14,.571,15,52,31,10,6,16,14
9,10,2016-11-15,@,MIA,W,93,90,37,80,.463,6,17,.353,13,19,.684,6,35,18,14,4,19,13
10,11,2016-11-16,,MIL,W,107,100,35,72,.486,10,32,.313,27,31,.871,3,39,29,6,8,16,17
11,12,2016-11-18,@,CHO,L,96,100,39,84,.464,7,28,.250,11,17,.647,8,49,25,9,6,16,18
12,13,2016-11-20,@,NYK,L,94,104,34,85,.400,6,21,.286,20,29,.690,14,48,17,7,6,13,15
13,14,2016-11-22,,NOP,L,94,112,39,85,.459,10,29,.345,6,10,.600,6,40,22,5,6,15,15
14,15,2016-11-23,@,IND,W,96,85,36,85,.424,5,20,.250,19,22,.864,17,56,17,11,7,21,18
15,16,2016-11-25,@,UTA,L,68,95,26,83,.313,8,25,.320,8,12,.667,6,40,11,8,4,14,16
16,17,2016-11-27,@,LAL,L,94,109,39,88,.443,12,35,.343,4,10,.400,7,38,25,5,6,12,19
17,18,2016-11-28,@,GSW,L,100,105,36,85,.424,7,29,.241,21,30,.700,13,50,20,11,4,18,22
18,19,2016-11-30,@,PHO,L,107,109,45,89,.506,9,25,.360,8,10,.800,7,40,20,9,6,20,22
19,20,2016-12-02,,DET,L,85,121,32,88,.364,6,24,.250,15,20,.750,6,32,22,6,2,7,12
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2016-12-03,@,TOR,L,84,128,35,88,.398,7,28,.250,7,14,.500,13,38,21,7,5,18,13
23,22,2016-12-05,,OKC,L,99,102,34,77,.442,7,22,.318,24,32,.750,7,36,26,13,3,18,24
24,23,2016-12-07,,MIA,W,103,95,43,88,.489,4,19,.211,13,15,.867,14,47,27,9,9,14,20
25,24,2016-12-09,@,MIL,W,114,110,40,84,.476,12,34,.353,22,29,.759,9,46,32,7,8,17,11
26,25,2016-12-13,,ORL,L,120,131,45,89,.506,11,28,.393,19,21,.905,13,45,29,6,4,15,16
27,26,2016-12-16,@,TOR,W,125,121,46,86,.535,11,25,.440,22,32,.688,15,44,26,6,6,14,22
28,27,2016-12-17,,CHO,L,99,107,40,86,.465,10,26,.385,9,16,.563,9,47,26,4,2,12,18
29,28,2016-12-19,@,OKC,W,110,108,41,75,.547,9,23,.391,19,24,.792,5,35,24,5,2,15,20
30,29,2016-12-21,,MIN,L,84,92,34,82,.415,7,26,.269,9,13,.692,8,35,19,9,8,10,15
31,30,2016-12-23,@,DEN,W,109,108,37,86,.430,8,25,.320,27,33,.818,9,40,26,10,4,8,25
32,31,2016-12-26,@,MIN,L,90,104,35,83,.422,8,32,.250,12,17,.706,17,46,20,8,7,19,19
33,32,2016-12-28,,NYK,W,102,98,37,101,.366,7,27,.259,21,27,.778,17,55,19,8,3,13,19
34,33,2016-12-30,,DET,W,105,98,39,88,.443,8,26,.308,19,25,.760,12,44,29,10,2,15,21
35,34,2017-01-01,,SAS,W,114,112,42,92,.457,14,28,.500,16,27,.593,11,46,25,6,6,11,21
36,35,2017-01-04,@,ORL,W,111,92,44,81,.543,10,19,.526,13,18,.722,3,39,27,12,3,12,12
37,36,2017-01-05,@,NOP,W,99,94,38,90,.422,9,23,.391,14,17,.824,12,55,23,9,6,14,14
38,37,2017-01-07,@,DAL,W,97,82,30,74,.405,11,22,.500,26,32,.813,6,47,19,8,1,10,15
39,38,2017-01-10,@,BRK,W,117,97,44,92,.478,7,23,.304,22,38,.579,15,53,25,11,12,12,17
40,39,2017-01-13,,BOS,L,101,103,36,84,.429,11,30,.367,18,21,.857,12,43,22,5,5,12,17
41,40,2017-01-15,,MIL,W,111,98,42,80,.525,13,26,.500,14,18,.778,14,37,29,9,4,19,20
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2017-01-16,@,NYK,W,108,107,40,87,.460,12,32,.375,16,23,.696,8,36,26,11,3,10,15
45,42,2017-01-18,@,DET,L,95,118,30,78,.385,6,25,.240,29,37,.784,8,32,22,1,4,12,21
46,43,2017-01-20,,CHI,W,102,93,39,82,.476,9,22,.409,15,19,.789,10,40,23,16,3,19,19
47,44,2017-01-21,,PHI,W,110,93,45,91,.495,7,20,.350,13,23,.565,11,47,24,8,5,13,18
48,45,2017-01-23,,LAC,L,105,115,37,88,.420,9,29,.310,22,26,.846,8,40,28,8,2,8,17
49,46,2017-01-25,@,CHI,W,119,114,43,83,.518,17,30,.567,16,19,.842,6,39,29,5,5,13,20
50,47,2017-01-27,,WAS,L,86,112,30,83,.361,9,31,.290,17,25,.680,8,41,18,9,8,19,16
51,48,2017-01-29,,NYK,W,142,139,52,119,.437,10,31,.323,28,40,.700,17,64,36,4,2,14,24
52,49,2017-02-01,@,MIA,L,93,116,34,86,.395,7,26,.269,18,21,.857,9,43,13,10,6,15,14
53,50,2017-02-02,@,HOU,W,113,108,44,85,.518,8,30,.267,17,23,.739,8,56,26,8,5,20,20
54,51,2017-02-04,,ORL,W,113,86,41,78,.526,10,28,.357,21,27,.778,10,48,28,8,2,15,20
55,52,2017-02-06,,UTA,L,95,120,33,74,.446,6,17,.353,23,32,.719,7,30,16,6,3,12,18
56,53,2017-02-08,,DEN,W,117,106,47,93,.505,8,27,.296,15,18,.833,12,48,31,6,4,10,18
57,54,2017-02-10,@,SAC,L,107,108,36,71,.507,11,30,.367,24,31,.774,3,37,19,6,5,16,17
58,55,2017-02-13,@,POR,W,109,104,32,83,.386,8,28,.286,37,48,.771,7,52,20,9,11,9,23
59,56,2017-02-15,@,LAC,L,84,99,32,79,.405,7,26,.269,13,19,.684,10,45,20,5,1,20,13
60,57,2017-02-24,,MIA,L,90,108,30,79,.380,6,20,.300,24,36,.667,8,45,14,7,6,10,12
61,58,2017-02-25,@,ORL,L,86,105,32,85,.376,8,25,.320,14,26,.538,12,48,21,4,4,17,19
62,59,2017-02-27,@,BOS,W,114,98,46,95,.484,6,25,.240,16,20,.800,13,55,22,10,10,14,19
63,60,2017-03-01,,DAL,W,100,95,36,64,.563,10,21,.476,18,24,.750,4,34,24,12,4,22,19
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2017-03-03,,CLE,L,130,135,49,91,.538,10,26,.385,22,30,.733,11,43,30,7,4,12,15
67,62,2017-03-05,,IND,L,96,97,34,77,.442,9,27,.333,19,31,.613,11,44,21,12,1,14,19
68,63,2017-03-06,,GSW,L,111,119,38,82,.463,13,28,.464,22,31,.710,14,47,19,6,6,19,23
69,64,2017-03-08,,BRK,W,110,105,41,95,.432,4,20,.200,24,32,.750,11,47,19,12,7,15,22
70,65,2017-03-10,,TOR,W,105,99,39,75,.520,8,22,.364,19,29,.655,8,45,24,8,6,21,20
71,66,2017-03-11,@,MEM,W,107,90,36,72,.500,15,30,.500,20,26,.769,6,46,22,9,6,18,23
72,67,2017-03-13,@,SAS,L,99,107,37,81,.457,6,22,.273,19,30,.633,6,36,27,13,3,16,20
73,68,2017-03-16,,MEM,L,91,103,29,71,.408,8,27,.296,25,34,.735,8,38,19,6,9,17,17
74,69,2017-03-18,,POR,L,97,113,32,88,.364,7,26,.269,26,32,.813,12,35,22,13,7,13,12
75,70,2017-03-20,@,CHO,L,90,105,37,84,.440,12,37,.324,4,10,.400,12,45,26,3,5,15,17
76,71,2017-03-22,@,WAS,L,100,104,34,86,.395,8,25,.320,24,29,.828,11,44,20,11,5,16,19
77,72,2017-03-24,@,MIL,L,97,100,34,83,.410,8,22,.364,21,24,.875,13,49,20,5,3,17,19
78,73,2017-03-26,,BRK,L,92,107,34,98,.347,5,27,.185,19,32,.594,26,58,16,10,3,20,19
79,74,2017-03-28,,PHO,W,95,91,34,85,.400,6,27,.222,21,29,.724,9,51,24,5,6,19,23
80,75,2017-03-29,@,PHI,W,99,92,34,80,.425,9,18,.500,22,26,.846,15,47,19,7,3,17,15
81,76,2017-04-01,@,CHI,L,104,106,40,90,.444,11,28,.393,13,17,.765,11,45,25,4,1,13,16
82,77,2017-04-02,@,BRK,L,82,91,30,80,.375,7,24,.292,15,23,.652,8,44,19,9,4,19,19
83,78,2017-04-06,,BOS,W,123,116,44,89,.494,11,23,.478,24,34,.706,13,52,26,7,4,17,30
84,79,2017-04-07,@,CLE,W,114,100,45,89,.506,16,37,.432,8,8,1.000,6,42,39,7,3,11,17
85,80,2017-04-09,,CLE,W,126,125,44,94,.468,9,31,.290,29,37,.784,10,45,31,8,4,12,22
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
88,81,2017-04-11,,CHO,W,103,76,41,79,.519,7,27,.259,14,18,.778,11,50,30,6,4,16,17
89,82,2017-04-12,@,IND,L,86,104,30,72,.417,11,29,.379,15,19,.789,8,37,19,5,4,18,15
