,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2018-10-17,@,NYK,L,107,126,45,99,.455,12,33,.364,24,31,.774,10,46,21,12,6,15,23
1,2,2018-10-19,@,MEM,L,117,131,44,81,.543,13,26,.500,30,43,.698,7,41,32,9,4,16,29
2,3,2018-10-21,@,CLE,W,133,111,46,99,.465,10,27,.370,9,14,.643,15,49,23,5,2,18,25
3,4,2018-10-24,,DAL,W,111,104,38,91,.418,12,40,.300,16,26,.615,9,52,25,7,9,17,27
4,5,2018-10-27,,CHI,L,85,97,36,83,.434,12,33,.364,13,16,.813,8,52,25,14,6,20,21
5,6,2018-10-29,@,PHI,L,92,113,41,99,.414,14,47,.298,17,18,.944,16,64,33,7,9,19,22
6,7,2018-10-30,@,CLE,L,114,136,45,90,.500,13,25,.520,33,43,.767,13,48,23,13,1,13,20
7,8,2018-11-01,,SAC,L,115,146,53,98,.541,14,35,.400,26,32,.813,10,46,38,14,3,14,29
8,9,2018-11-03,,MIA,W,123,118,41,85,.482,16,40,.400,20,26,.769,13,41,27,6,6,17,20
9,10,2018-11-06,@,CHO,L,102,113,45,92,.489,13,31,.419,10,18,.556,8,43,27,9,4,21,16
10,11,2018-11-07,,NYK,L,107,112,34,77,.442,11,30,.367,33,47,.702,11,48,15,8,7,16,30
11,12,2018-11-09,,DET,L,109,124,46,97,.474,20,47,.426,12,19,.632,10,44,30,10,6,10,31
12,13,2018-11-11,@,LAL,L,106,107,39,92,.424,14,38,.368,15,24,.625,17,48,28,12,9,22,23
13,14,2018-11-13,@,GSW,L,103,110,39,91,.429,12,27,.444,20,21,.952,13,48,28,8,6,13,20
14,15,2018-11-15,@,DEN,L,93,138,53,94,.564,13,31,.419,19,25,.760,11,56,34,12,6,15,24
15,16,2018-11-17,@,IND,L,89,97,35,87,.402,12,30,.400,15,21,.714,10,53,25,11,6,22,26
16,17,2018-11-19,,LAC,L,119,127,40,93,.430,10,33,.303,37,47,.787,15,52,24,9,8,15,22
17,18,2018-11-21,,TOR,L,108,124,48,90,.533,11,29,.379,17,23,.739,14,55,33,6,1,17,21
18,19,2018-11-23,,BOS,L,96,114,42,91,.462,13,40,.325,17,21,.810,7,43,31,11,7,16,29
19,20,2018-11-25,,CHO,W,124,123,41,92,.446,18,45,.400,23,28,.821,10,42,30,8,4,10,15
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2018-11-27,@,MIA,W,115,113,40,87,.460,13,38,.342,20,30,.667,11,43,22,20,3,20,25
23,22,2018-11-28,@,CHO,L,94,108,38,83,.458,4,20,.200,28,37,.757,5,44,20,15,5,14,21
24,23,2018-11-30,@,OKC,L,109,124,46,88,.523,18,41,.439,14,15,.933,7,46,30,12,7,20,24
25,24,2018-12-03,,GSW,L,111,128,48,82,.585,13,24,.542,19,22,.864,6,39,33,10,8,20,24
26,25,2018-12-05,,WAS,L,117,131,46,95,.484,12,38,.316,27,32,.844,12,49,35,9,4,15,24
27,26,2018-12-08,,DEN,W,106,98,36,97,.371,9,36,.250,17,21,.810,11,48,28,11,4,15,16
28,27,2018-12-12,@,DAL,L,107,114,35,75,.467,12,34,.353,32,43,.744,4,36,22,13,5,14,16
29,28,2018-12-14,@,BOS,L,108,129,46,95,.484,19,39,.487,18,20,.900,13,47,28,15,9,21,21
30,29,2018-12-16,@,BRK,L,127,144,49,88,.557,16,40,.400,30,33,.909,10,39,34,12,3,13,21
31,30,2018-12-18,,WAS,W,118,110,36,83,.434,13,40,.325,25,36,.694,9,37,26,14,1,15,32
32,31,2018-12-21,@,NYK,W,114,107,41,84,.488,8,27,.296,17,24,.708,4,35,20,8,3,12,22
33,32,2018-12-23,@,DET,W,98,95,34,83,.410,10,29,.345,17,27,.630,5,41,21,6,9,16,25
34,33,2018-12-26,,IND,L,121,129,46,83,.554,13,27,.481,24,33,.727,10,39,35,13,3,16,17
35,34,2018-12-28,@,MIN,W,123,120,44,98,.449,11,32,.344,21,38,.553,16,47,28,14,9,14,26
36,35,2018-12-29,,CLE,W,111,108,40,85,.471,5,23,.217,23,29,.793,10,44,27,9,2,12,23
37,36,2018-12-31,@,IND,L,108,116,42,84,.500,11,24,.458,21,29,.724,8,39,29,13,6,11,18
38,37,2019-01-02,@,WAS,L,98,114,43,92,.467,11,29,.379,17,23,.739,10,48,29,10,2,10,20
39,38,2019-01-04,@,MIL,L,112,144,55,100,.550,14,40,.350,20,28,.714,12,54,36,11,8,14,26
40,39,2019-01-06,,MIA,W,106,82,31,87,.356,5,34,.147,15,27,.556,12,41,23,11,7,13,17
41,40,2019-01-08,@,TOR,L,101,104,37,80,.463,10,32,.313,20,27,.741,6,39,26,18,7,18,20
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2019-01-09,@,BRK,L,100,116,43,95,.453,10,30,.333,20,26,.769,18,54,21,10,9,18,28
45,42,2019-01-11,@,PHI,W,123,121,45,87,.517,11,33,.333,20,27,.741,11,30,31,13,4,15,23
46,43,2019-01-13,,MIL,L,114,133,49,92,.533,11,30,.367,24,33,.727,8,39,28,13,4,14,25
47,44,2019-01-15,,OKC,W,142,126,43,94,.457,9,32,.281,31,41,.756,15,40,22,16,3,12,18
48,45,2019-01-19,,BOS,L,105,113,39,88,.443,12,32,.375,23,25,.920,11,43,19,10,8,15,18
49,46,2019-01-21,,ORL,L,103,122,46,91,.505,11,29,.379,19,21,.905,9,45,29,8,8,11,22
50,47,2019-01-23,@,CHI,W,121,101,35,79,.443,8,26,.308,23,27,.852,7,37,20,7,6,15,21
51,48,2019-01-26,@,POR,L,111,120,41,82,.500,11,30,.367,27,30,.900,11,47,26,8,7,18,23
52,49,2019-01-28,@,LAC,W,123,118,41,85,.482,10,27,.370,26,28,.929,13,38,27,10,4,16,26
53,50,2019-01-30,@,SAC,L,113,135,54,99,.545,11,35,.314,16,21,.762,15,53,36,7,2,14,24
54,51,2019-02-01,@,UTA,L,112,128,46,87,.529,12,35,.343,24,30,.800,11,51,31,4,6,15,22
55,52,2019-02-02,@,PHO,W,118,112,45,96,.469,12,32,.375,10,18,.556,10,37,31,15,5,10,23
56,53,2019-02-04,@,WAS,W,137,129,48,97,.495,12,38,.316,21,29,.724,13,40,34,5,8,8,20
57,54,2019-02-07,,TOR,L,101,119,40,87,.460,13,40,.325,26,33,.788,12,50,29,6,2,8,23
58,55,2019-02-09,,CHO,L,120,129,48,88,.545,19,42,.452,14,18,.778,10,37,30,12,7,13,17
59,56,2019-02-10,,ORL,L,108,124,43,91,.473,13,37,.351,25,28,.893,11,49,29,4,9,8,21
60,57,2019-02-12,,LAL,W,117,113,41,95,.432,14,40,.350,17,25,.680,10,44,25,10,6,15,24
61,58,2019-02-14,,NYK,L,91,106,38,84,.452,12,31,.387,18,26,.692,11,52,21,9,9,14,22
62,59,2019-02-22,,DET,L,122,125,46,95,.484,15,40,.375,18,28,.643,10,44,20,11,4,8,21
63,60,2019-02-23,,PHO,W,120,112,41,93,.441,13,37,.351,17,20,.850,6,41,25,9,4,12,29
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2019-02-25,@,HOU,L,111,119,39,90,.433,15,51,.294,26,30,.867,12,37,24,11,4,12,18
67,62,2019-02-27,,MIN,W,131,123,44,102,.431,12,38,.316,23,33,.697,9,47,29,8,7,6,24
68,63,2019-03-01,,CHI,L,161,168,56,119,.471,21,48,.438,35,48,.729,11,62,30,10,5,16,30
69,64,2019-03-03,@,CHI,W,123,118,47,92,.511,8,27,.296,16,21,.762,9,42,25,6,5,14,20
70,65,2019-03-04,@,MIA,L,113,114,44,79,.557,9,23,.391,17,24,.708,7,40,23,9,7,18,24
71,66,2019-03-06,,SAS,L,104,111,44,89,.494,10,33,.303,13,18,.722,6,49,27,4,9,16,23
72,67,2019-03-09,,BRK,L,112,114,33,86,.384,15,44,.341,33,54,.611,15,54,21,7,3,14,23
73,68,2019-03-10,,NOP,W,128,116,45,101,.446,18,41,.439,8,8,1.000,5,42,29,6,9,8,17
74,69,2019-03-13,,MEM,W,132,111,38,89,.427,14,40,.350,21,26,.808,9,35,28,8,6,14,17
75,70,2019-03-16,@,BOS,L,120,129,44,93,.473,13,36,.361,28,37,.757,11,46,30,10,7,14,21
76,71,2019-03-17,@,ORL,L,91,101,33,85,.388,9,37,.243,26,33,.788,10,55,21,12,3,14,15
