,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-29,,BRK,W,121,105,39,80,.488,7,19,.368,20,26,.769,9,39,20,6,7,20,21
1,2,2014-11-01,@,HOU,L,90,104,32,76,.421,12,34,.353,28,40,.700,10,49,20,9,8,17,24
2,3,2014-11-03,@,DAL,L,113,118,44,82,.537,14,25,.560,16,20,.800,7,36,24,5,9,17,17
3,4,2014-11-05,,TOR,L,107,110,42,87,.483,7,16,.438,19,23,.826,6,24,18,11,4,7,18
4,5,2014-11-07,,IND,W,101,98,40,88,.455,5,19,.263,13,13,1.000,14,42,18,2,6,13,17
5,6,2014-11-08,@,CHI,W,106,101,42,92,.457,8,18,.444,9,15,.600,11,38,26,5,2,8,16
6,7,2014-11-12,,OKC,L,94,109,40,82,.488,10,24,.417,19,22,.864,8,41,23,1,3,8,13
7,8,2014-11-14,,CLE,L,121,122,43,85,.506,8,23,.348,28,37,.757,8,40,22,5,5,11,21
8,9,2014-11-17,,PHO,L,114,118,48,93,.516,9,21,.429,13,16,.813,8,40,30,11,2,18,23
9,10,2014-11-19,@,PHI,W,101,90,34,86,.395,7,21,.333,15,21,.714,9,44,22,10,2,15,20
10,11,2014-11-21,@,MEM,L,100,117,48,91,.527,8,16,.500,13,14,.929,9,50,31,4,4,14,16
11,12,2014-11-23,,POR,L,88,94,37,86,.430,7,19,.368,13,15,.867,10,55,20,7,3,16,13
12,13,2014-11-28,,CHI,L,102,109,37,90,.411,5,17,.294,30,37,.811,18,52,18,5,13,13,21
13,14,2014-11-30,,SAS,L,89,111,41,85,.482,11,26,.423,18,20,.900,10,45,25,9,5,14,11
14,15,2014-12-02,@,ATL,L,105,109,43,82,.524,11,24,.458,12,14,.857,4,31,36,8,8,16,14
15,16,2014-12-03,,DET,W,109,102,37,102,.363,8,27,.296,20,29,.690,16,55,20,7,7,11,23
16,17,2014-12-05,,LAL,W,113,96,38,92,.413,6,16,.375,14,19,.737,7,38,14,2,4,12,18
17,18,2014-12-07,,WAS,W,101,93,34,93,.366,11,27,.407,14,21,.667,16,52,21,5,8,19,20
18,19,2014-12-08,@,WAS,L,132,133,49,94,.521,7,16,.438,28,34,.824,11,49,32,10,3,23,26
19,20,2014-12-10,@,CHO,L,87,96,35,84,.417,3,14,.214,23,29,.793,7,44,18,5,3,10,14
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2014-12-12,,NYK,L,95,101,40,81,.494,6,16,.375,15,18,.833,11,40,26,13,5,13,20
23,22,2014-12-15,@,PHI,W,105,87,33,93,.355,4,28,.143,17,21,.810,16,48,19,11,9,22,28
24,23,2014-12-17,,ORL,W,109,92,37,85,.435,5,19,.263,13,15,.867,10,36,17,8,1,12,16
25,24,2014-12-19,,MIN,W,114,98,42,93,.452,6,12,.500,8,16,.500,15,37,23,8,5,13,13
26,25,2014-12-21,@,MIA,L,84,100,37,78,.474,6,21,.286,20,26,.769,6,38,18,9,3,8,14
27,26,2014-12-23,@,ORL,L,95,100,39,83,.470,7,18,.389,15,23,.652,7,45,23,7,4,14,21
28,27,2014-12-26,,BRK,L,107,109,41,83,.494,7,21,.333,20,28,.714,13,43,19,9,3,15,10
29,28,2014-12-27,@,WAS,L,88,101,45,90,.500,5,13,.385,6,10,.600,9,48,28,11,4,18,24
30,29,2014-12-31,,SAC,W,106,84,32,87,.368,2,15,.133,18,28,.643,11,46,12,9,5,16,17
31,30,2015-01-02,,DAL,L,101,119,45,96,.469,13,27,.481,16,17,.941,16,52,24,8,1,11,21
32,31,2015-01-03,@,CHI,L,104,109,37,100,.370,6,28,.214,29,40,.725,24,59,19,10,9,16,14
33,32,2015-01-05,,CHO,L,95,104,38,78,.487,6,19,.316,22,23,.957,12,48,22,2,10,15,22
34,33,2015-01-07,@,BRK,W,89,81,30,74,.405,3,14,.214,18,26,.692,11,50,18,3,6,17,18
35,34,2015-01-09,@,IND,L,103,107,34,92,.370,9,23,.391,30,34,.882,16,56,21,5,9,16,18
36,35,2015-01-10,@,TOR,L,96,109,41,91,.451,13,30,.433,14,19,.737,15,48,23,8,10,13,20
37,36,2015-01-12,,NOP,W,108,100,31,75,.413,6,15,.400,32,37,.865,16,45,20,7,6,18,23
38,37,2015-01-14,,ATL,L,91,105,36,73,.493,10,29,.345,23,27,.852,6,35,23,13,7,12,12
39,38,2015-01-16,,CHI,L,103,119,48,89,.539,13,25,.520,10,12,.833,8,36,28,12,6,7,14
40,39,2015-01-19,@,LAC,L,93,102,39,82,.476,9,21,.429,15,19,.789,10,44,27,6,10,11,14
