,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2020-12-23,,MIL,W,122,121,48,101,.475,18,40,.450,8,11,.727,10,37,23,8,6,6,17
1,2,2020-12-25,,BRK,L,95,123,37,98,.378,8,27,.296,13,19,.684,20,47,23,6,5,15,27
2,3,2020-12-27,@,IND,L,107,108,40,79,.506,9,23,.391,18,24,.750,6,40,21,13,7,18,17
3,4,2020-12-29,@,IND,W,116,111,40,80,.500,9,22,.409,27,37,.730,12,43,21,10,3,14,16
4,5,2020-12-30,,MEM,W,126,107,49,91,.538,16,39,.410,12,14,.857,10,42,27,17,11,16,21
5,6,2021-01-01,@,DET,L,93,96,39,83,.470,8,31,.258,7,14,.500,7,44,20,12,11,19,20
6,7,2021-01-03,@,DET,W,122,120,49,87,.563,15,33,.455,9,13,.692,12,41,35,4,5,17,22
7,8,2021-01-04,@,TOR,W,126,114,41,84,.488,15,29,.517,29,34,.853,12,56,19,3,9,19,29
8,9,2021-01-06,@,MIA,W,107,105,42,99,.424,12,35,.343,11,12,.917,16,53,22,7,5,7,23
9,10,2021-01-08,,WAS,W,116,107,41,86,.477,12,32,.375,22,30,.733,11,49,21,11,4,21,22
10,11,2021-01-15,,ORL,W,124,97,45,88,.511,17,42,.405,17,19,.895,6,45,25,7,4,10,18
11,12,2021-01-17,,NYK,L,75,105,25,84,.298,7,46,.152,18,29,.621,14,43,15,10,2,17,22
12,13,2021-01-20,@,PHI,L,109,117,42,89,.472,12,33,.364,13,20,.650,10,45,22,3,0,16,29
13,14,2021-01-22,@,PHI,L,110,122,41,90,.456,12,30,.400,16,20,.800,10,32,23,10,5,11,21
14,15,2021-01-24,,CLE,W,141,103,52,93,.559,14,28,.500,23,27,.852,13,55,26,14,8,15,23
15,16,2021-01-25,@,CHI,W,119,103,44,87,.506,15,29,.517,16,20,.800,6,44,28,9,6,12,18
16,17,2021-01-27,@,SAS,L,106,110,42,98,.429,10,30,.333,12,14,.857,13,39,15,10,4,10,14
17,18,2021-01-30,,LAL,L,95,96,40,82,.488,6,21,.286,9,14,.643,9,42,24,10,6,15,16
18,19,2021-02-02,@,GSW,W,111,107,39,84,.464,13,34,.382,20,27,.741,12,51,16,3,4,15,20
19,20,2021-02-03,@,SAC,L,111,116,39,86,.453,11,33,.333,22,29,.759,11,45,28,9,3,13,21
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2021-02-05,@,LAC,W,119,115,43,90,.478,16,38,.421,17,21,.810,9,34,21,8,1,6,16
23,22,2021-02-07,@,PHO,L,91,100,33,93,.355,17,44,.386,8,12,.667,13,41,19,6,2,5,11
24,23,2021-02-09,@,UTA,L,108,122,38,86,.442,13,29,.448,19,23,.826,11,35,18,2,2,8,25
25,24,2021-02-11,,TOR,W,120,106,39,86,.453,20,39,.513,22,28,.786,14,49,30,8,6,18,22
26,25,2021-02-12,,DET,L,102,108,36,82,.439,8,27,.296,22,30,.733,7,44,15,9,2,10,25
27,26,2021-02-14,@,WAS,L,91,104,32,90,.356,9,35,.257,18,30,.600,14,50,14,5,2,17,27
28,27,2021-02-16,,DEN,W,112,99,39,81,.481,15,42,.357,19,21,.905,10,43,26,7,1,20,22
29,28,2021-02-17,,ATL,L,114,122,40,86,.465,10,31,.323,24,27,.889,11,37,22,9,3,16,27
30,29,2021-02-19,,ATL,W,121,109,50,90,.556,14,35,.400,7,10,.700,9,44,26,8,12,18,21
31,30,2021-02-21,@,NOP,L,115,120,39,98,.398,10,37,.270,27,34,.794,11,49,22,9,11,10,30
32,31,2021-02-23,@,DAL,L,107,110,41,86,.477,12,39,.308,13,18,.722,12,46,19,6,6,13,21
33,32,2021-02-24,@,ATL,L,112,127,42,95,.442,8,31,.258,20,23,.870,12,36,20,10,6,6,16
34,33,2021-02-26,,IND,W,118,112,42,82,.512,9,22,.409,25,29,.862,7,45,24,3,6,11,20
35,34,2021-02-28,,WAS,W,111,110,42,89,.472,10,30,.333,17,24,.708,13,49,25,7,0,18,25
36,35,2021-03-02,,LAC,W,117,112,42,86,.488,16,32,.500,17,23,.739,14,43,25,6,4,8,12
37,36,2021-03-04,,TOR,W,132,125,45,74,.608,13,29,.448,29,40,.725,9,39,25,6,7,16,20
38,37,2021-03-11,@,BRK,L,109,121,41,91,.451,13,40,.325,14,22,.636,11,39,22,10,10,11,13
39,38,2021-03-14,@,HOU,W,134,107,51,92,.554,18,37,.486,14,21,.667,10,55,29,8,3,14,22
40,39,2021-03-16,,UTA,L,109,117,48,98,.490,10,29,.345,3,4,.750,16,45,28,8,5,13,18
41,40,2021-03-17,@,CLE,L,110,117,40,88,.455,10,38,.263,20,29,.690,15,40,19,10,9,12,27
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2021-03-19,,SAC,L,96,107,39,91,.429,12,31,.387,6,7,.857,12,45,22,8,4,14,20
45,42,2021-03-21,,ORL,W,112,96,40,88,.455,23,55,.418,9,9,1.000,7,45,27,6,3,9,21
46,43,2021-03-22,@,MEM,L,126,132,47,90,.522,17,35,.486,15,24,.625,5,43,31,3,6,12,18
47,44,2021-03-24,@,MIL,L,119,121,45,94,.479,19,47,.404,10,10,1.000,9,38,24,9,6,12,15
48,45,2021-03-26,@,MIL,W,122,114,43,88,.489,22,47,.468,14,16,.875,8,44,27,10,8,14,16
49,46,2021-03-27,@,OKC,W,111,94,44,96,.458,12,38,.316,11,14,.786,10,52,22,10,4,12,19
50,47,2021-03-29,,NOP,L,109,115,40,93,.430,14,43,.326,15,19,.789,12,46,21,5,9,14,25
51,48,2021-03-31,,DAL,L,108,113,39,94,.415,11,47,.234,19,23,.826,8,36,20,11,2,9,19
52,49,2021-04-02,,HOU,W,118,102,46,88,.523,17,41,.415,9,12,.750,11,50,35,9,7,13,22
53,50,2021-04-04,,CHO,W,116,86,43,94,.457,21,54,.389,9,11,.818,14,44,29,11,5,6,20
54,51,2021-04-06,,PHI,L,96,106,33,70,.471,14,34,.412,16,18,.889,3,32,19,5,6,20,22
55,52,2021-04-07,,NYK,W,101,99,36,86,.419,15,40,.375,14,20,.700,16,53,22,6,7,17,14
56,53,2021-04-09,,MIN,W,145,136,47,87,.540,19,42,.452,32,34,.941,9,45,32,9,5,20,25
57,54,2021-04-11,@,DEN,W,105,87,39,87,.448,7,33,.212,20,23,.870,10,52,20,4,7,9,18
58,55,2021-04-13,@,POR,W,116,115,42,90,.467,15,35,.429,17,24,.708,9,46,30,5,4,9,19
59,56,2021-04-15,@,LAL,W,121,113,48,85,.565,14,32,.438,11,13,.846,7,48,33,4,6,21,20
60,57,2021-04-17,,GSW,W,119,114,44,94,.468,15,46,.326,16,20,.800,14,45,18,9,2,9,18
61,58,2021-04-19,,CHI,L,96,102,36,77,.468,10,25,.400,14,15,.933,3,39,21,8,3,15,15
62,59,2021-04-22,,PHO,W,99,86,33,77,.429,12,40,.300,21,24,.875,10,48,20,7,2,20,12
63,60,2021-04-23,@,BRK,L,104,109,38,94,.404,17,42,.405,11,16,.688,15,54,21,6,6,19,20
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2021-04-25,@,CHO,L,104,125,34,88,.386,14,41,.341,22,26,.846,11,41,18,6,2,13,13
67,62,2021-04-27,,OKC,L,115,119,41,97,.423,11,49,.224,22,25,.880,8,39,21,16,7,14,26
68,63,2021-04-28,,CHO,W,120,111,44,92,.478,15,40,.375,17,22,.773,19,54,26,9,8,14,24
69,64,2021-04-30,,SAS,W,143,140,49,105,.467,18,38,.474,27,36,.750,17,52,31,7,7,13,26
70,65,2021-05-02,,POR,L,119,129,43,89,.483,20,39,.513,13,15,.867,10,45,29,3,6,18,21
71,66,2021-05-05,@,ORL,W,132,96,51,96,.531,21,45,.467,9,12,.750,9,45,28,8,9,11,23
72,67,2021-05-07,@,CHI,L,99,121,35,86,.407,11,39,.282,18,23,.783,11,47,19,5,8,13,15
73,68,2021-05-09,,MIA,L,124,130,45,83,.542,14,38,.368,20,25,.800,6,34,29,7,3,14,22
74,69,2021-05-11,,MIA,L,121,129,46,88,.523,18,37,.486,11,17,.647,3,32,31,8,5,11,21
75,70,2021-05-12,@,CLE,L,94,102,36,101,.356,12,41,.293,10,14,.714,13,46,14,9,8,7,23
