,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2019-10-23,,MIN,L,126,127,46,108,.426,13,43,.302,22,28,.786,12,52,23,9,4,13,22
1,2,2019-10-25,,NYK,W,113,109,38,81,.469,17,25,.680,16,28,.571,9,39,17,14,4,26,31
2,3,2019-10-27,@,MEM,L,133,134,50,103,.485,14,33,.424,20,25,.800,8,49,33,9,10,12,29
3,4,2019-10-30,,IND,L,108,118,45,96,.469,11,26,.423,17,20,.850,11,41,25,9,2,9,24
4,5,2019-11-01,,HOU,W,123,116,41,99,.414,12,48,.250,22,27,.815,9,40,21,13,4,12,21
5,6,2019-11-02,@,DET,L,109,113,41,91,.451,8,27,.296,23,29,.793,5,41,21,8,7,8,18
6,7,2019-11-04,,NOP,W,135,125,48,97,.495,13,32,.406,16,21,.762,10,39,18,16,5,21,26
7,8,2019-11-08,@,POR,W,119,115,40,97,.412,11,30,.367,24,25,.960,13,48,11,3,9,10,24
8,9,2019-11-10,@,PHO,L,112,138,52,99,.525,19,42,.452,15,19,.789,5,42,37,8,7,7,17
9,10,2019-11-12,@,UTA,L,114,119,43,92,.467,6,26,.231,27,35,.771,11,46,16,7,4,11,18
10,11,2019-11-14,@,DEN,L,93,101,43,101,.426,10,33,.303,5,10,.500,14,62,26,4,3,7,14
11,12,2019-11-16,@,CHI,W,117,111,32,91,.352,9,39,.231,38,41,.927,17,56,15,8,2,19,30
12,13,2019-11-18,,IND,L,86,115,44,101,.436,14,33,.424,13,17,.765,15,63,26,5,8,10,22
13,14,2019-11-20,,CHO,W,101,91,30,81,.370,11,33,.333,20,26,.769,8,41,17,8,3,16,23
14,15,2019-11-22,,SAC,W,116,97,39,86,.453,4,26,.154,15,19,.789,7,33,26,8,2,16,25
15,16,2019-11-24,@,NYK,W,103,101,37,80,.463,18,35,.514,9,16,.563,9,43,22,6,4,16,29
16,17,2019-11-25,@,CLE,W,108,106,40,94,.426,13,32,.406,13,20,.650,12,45,24,5,4,10,14
17,18,2019-11-27,@,BOS,L,110,121,43,97,.443,13,34,.382,22,24,.917,19,55,23,10,5,14,17
18,19,2019-11-29,,BOS,W,112,107,41,93,.441,9,28,.321,16,21,.762,16,48,16,11,7,19,14
19,20,2019-12-01,,MIA,L,106,109,37,95,.389,12,37,.324,23,28,.821,16,51,16,3,2,9,17
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2019-12-04,@,ATL,W,130,118,48,90,.533,9,26,.346,13,21,.619,9,35,24,8,9,16,19
23,22,2019-12-06,@,CHO,W,111,104,36,83,.434,17,40,.425,15,17,.882,10,34,23,6,6,19,16
24,23,2019-12-08,,DEN,W,105,102,36,89,.404,18,42,.429,12,14,.857,7,37,25,4,5,12,23
25,24,2019-12-11,,CHO,L,108,113,36,88,.409,15,35,.429,26,32,.813,15,47,20,2,6,8,23
26,25,2019-12-14,@,TOR,L,102,110,38,98,.388,14,40,.350,20,25,.800,10,51,21,10,10,11,23
27,26,2019-12-15,,PHI,W,109,89,37,86,.430,5,26,.192,10,17,.588,7,38,19,9,13,16,20
28,27,2019-12-17,@,NOP,W,108,101,37,107,.346,11,40,.275,16,24,.667,16,58,20,3,9,8,19
29,28,2019-12-19,@,SAS,L,105,118,43,96,.448,13,33,.394,19,23,.826,13,47,26,10,8,11,19
30,29,2019-12-21,,ATL,W,122,112,39,105,.371,11,48,.229,23,27,.852,14,52,17,7,5,10,22
31,30,2019-12-26,,NYK,L,82,94,37,92,.402,9,29,.310,11,15,.733,13,60,16,6,2,13,27
32,31,2019-12-28,@,HOU,L,98,108,44,101,.436,13,42,.310,7,16,.438,16,54,16,7,6,14,15
33,32,2019-12-30,@,MIN,L,115,122,42,104,.404,17,44,.386,21,29,.724,11,60,20,12,8,14,22
34,33,2020-01-02,@,DAL,L,111,123,45,89,.506,18,38,.474,15,17,.882,12,46,22,4,8,13,21
35,34,2020-01-04,,TOR,L,102,121,44,97,.454,13,32,.406,20,28,.714,15,43,21,10,4,7,25
36,35,2020-01-06,@,ORL,L,89,101,35,81,.432,8,26,.308,23,31,.742,11,60,21,8,3,18,19
37,36,2020-01-07,,OKC,L,103,111,38,92,.413,11,37,.297,24,29,.828,8,51,19,11,3,15,15
38,37,2020-01-10,,MIA,W,117,113,44,85,.518,7,29,.241,18,21,.857,4,40,26,6,3,7,20
39,38,2020-01-12,,ATL,W,108,86,32,97,.330,12,48,.250,10,11,.909,4,33,23,16,4,12,23
40,39,2020-01-14,,UTA,L,107,118,46,92,.500,13,36,.361,13,15,.867,7,41,19,8,3,8,15
41,40,2020-01-15,@,PHI,L,106,117,45,88,.511,11,30,.367,16,25,.640,13,49,25,7,11,12,23
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2020-01-18,,MIL,L,97,117,45,89,.506,17,37,.459,10,16,.625,5,54,30,8,6,20,16
45,42,2020-01-20,,PHI,L,111,117,42,94,.447,13,39,.333,20,27,.741,12,43,30,12,6,12,24
46,43,2020-01-23,,LAL,L,113,128,47,94,.500,19,38,.500,15,20,.750,11,52,28,9,6,15,15
47,44,2020-01-25,@,DET,W,121,111,43,104,.413,13,35,.371,12,18,.667,14,52,20,5,3,8,25
48,45,2020-01-26,@,NYK,L,97,110,49,92,.533,6,19,.316,6,13,.462,14,48,19,7,8,13,23
49,46,2020-01-29,,DET,W,125,115,42,83,.506,10,26,.385,21,28,.750,9,41,25,6,5,16,20
50,47,2020-01-31,,CHI,W,133,118,42,86,.488,12,34,.353,22,26,.846,11,38,27,7,3,13,21
