,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2021-10-19,@,MIL,L,104,127,37,84,.440,17,32,.531,13,23,.565,5,44,19,3,9,12,17
1,2,2021-10-22,@,PHI,W,114,109,41,88,.466,12,38,.316,20,24,.833,11,47,26,6,6,12,16
2,3,2021-10-24,,CHO,L,95,111,38,87,.437,9,35,.257,10,12,.833,9,44,18,10,8,17,19
3,4,2021-10-25,,WAS,W,104,90,40,94,.426,10,35,.286,14,17,.824,7,54,23,6,4,9,19
4,5,2021-10-27,,MIA,L,93,106,33,85,.388,14,43,.326,13,14,.929,4,42,21,7,7,15,24
5,6,2021-10-29,,IND,W,105,98,34,76,.447,6,26,.231,31,41,.756,10,50,20,9,6,18,21
6,7,2021-10-31,,DET,W,117,91,47,72,.653,13,25,.520,10,16,.625,2,41,30,7,2,19,19
7,8,2021-11-03,,ATL,W,117,108,43,88,.489,22,48,.458,9,12,.750,7,42,34,7,8,14,18
8,9,2021-11-05,@,DET,W,96,90,36,80,.450,11,27,.407,13,14,.929,4,45,25,3,4,16,21
9,10,2021-11-07,@,TOR,W,116,103,41,80,.513,17,38,.447,17,20,.850,12,48,29,3,0,15,15
10,11,2021-11-08,@,CHI,L,95,118,34,86,.395,11,33,.333,16,19,.842,6,42,19,6,7,14,16
11,12,2021-11-10,@,ORL,W,123,90,46,91,.505,16,37,.432,15,17,.882,8,49,29,8,5,15,18
12,13,2021-11-12,@,NOP,W,120,112,41,82,.500,18,34,.529,20,27,.741,7,34,27,9,4,12,20
13,14,2021-11-14,@,OKC,W,120,96,41,82,.500,18,43,.419,20,21,.952,7,44,31,8,3,13,15
14,15,2021-11-16,,GSW,L,99,117,34,88,.386,10,36,.278,21,27,.778,9,38,21,12,2,11,23
15,16,2021-11-17,,CLE,W,109,99,38,83,.458,12,32,.375,21,25,.840,8,47,29,7,3,11,20
16,17,2021-11-19,,ORL,W,115,113,41,91,.451,10,33,.303,23,25,.920,14,43,19,6,13,11,19
17,18,2021-11-22,@,CLE,W,117,112,45,95,.474,11,35,.314,16,18,.889,8,42,32,6,6,9,23
18,19,2021-11-24,@,BOS,W,123,104,43,85,.506,14,35,.400,23,30,.767,10,50,29,8,4,10,23
19,20,2021-11-27,,PHO,L,107,113,42,84,.500,7,23,.304,16,21,.762,10,47,25,7,5,20,15
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2021-11-30,,NYK,W,112,110,41,85,.482,8,28,.286,22,25,.880,9,38,27,7,7,9,14
