,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2016-10-26,@,MIL,W,107,96,40,89,.449,7,23,.304,20,24,.833,11,51,27,5,10,10,22
1,2,2016-10-28,@,MIA,W,97,91,35,92,.380,7,22,.318,20,24,.833,13,49,20,10,9,8,20
2,3,2016-10-29,,BOS,L,98,104,32,79,.405,9,32,.281,25,33,.758,6,38,22,8,6,8,17
3,4,2016-11-02,,PHI,W,109,93,39,79,.494,13,34,.382,18,26,.692,9,44,25,8,3,15,17
4,5,2016-11-04,@,BRK,W,99,95,36,86,.419,10,30,.333,17,24,.708,7,49,24,7,3,16,18
5,6,2016-11-07,,IND,W,122,100,41,84,.488,12,32,.375,28,32,.875,3,43,30,12,4,11,15
6,7,2016-11-09,,UTA,W,104,98,38,82,.463,8,26,.308,20,29,.690,5,37,24,8,3,8,19
7,8,2016-11-11,,TOR,L,111,113,38,93,.409,17,41,.415,18,24,.750,18,57,22,1,4,11,16
8,9,2016-11-13,@,CLE,L,93,100,36,95,.379,11,29,.379,10,12,.833,10,45,23,7,3,5,19
9,10,2016-11-15,@,MIN,W,115,108,43,80,.538,11,24,.458,18,22,.818,4,37,25,10,6,13,17
10,11,2016-11-18,,ATL,W,100,96,37,90,.411,10,29,.345,16,24,.667,8,44,25,11,4,11,16
11,12,2016-11-19,@,NOP,L,116,121,40,97,.412,15,43,.349,21,28,.750,8,52,29,7,5,14,21
12,13,2016-11-21,,MEM,L,90,105,30,73,.411,9,31,.290,21,33,.636,8,39,20,6,9,10,13
13,14,2016-11-23,,SAS,L,114,119,45,89,.506,11,20,.550,13,18,.722,12,44,30,3,3,15,16
14,15,2016-11-25,@,NYK,L,111,113,43,93,.462,8,29,.276,17,27,.630,10,46,25,6,4,13,14
15,16,2016-11-26,,NYK,W,107,102,35,80,.438,8,22,.364,29,42,.690,10,52,16,3,9,10,14
16,17,2016-11-28,@,MEM,W,104,85,36,82,.439,9,26,.346,23,31,.742,9,47,24,3,4,13,14
17,18,2016-11-29,,DET,L,89,112,31,78,.397,9,27,.333,18,21,.857,5,40,21,7,5,13,16
18,19,2016-12-01,,DAL,W,97,87,35,74,.473,5,18,.278,22,31,.710,4,39,24,5,6,10,18
19,20,2016-12-03,,MIN,L,120,125,44,101,.436,14,36,.389,18,26,.692,13,50,30,6,8,14,16
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2016-12-05,@,DAL,W,109,101,40,79,.506,3,18,.167,26,28,.929,9,53,21,2,5,12,19
23,22,2016-12-07,,DET,W,87,77,30,88,.341,6,21,.286,21,29,.724,5,51,13,7,2,5,11
24,23,2016-12-09,,ORL,W,109,88,41,85,.482,9,22,.409,18,23,.783,13,59,23,4,5,12,13
25,24,2016-12-10,@,CLE,L,105,116,39,86,.453,10,27,.370,17,24,.708,12,39,24,5,0,14,24
26,25,2016-12-12,@,IND,L,94,110,28,84,.333,10,26,.385,28,32,.875,9,46,16,8,4,13,15
27,26,2016-12-14,@,WAS,L,106,109,38,74,.514,14,33,.424,16,21,.762,5,33,25,7,8,18,18
28,27,2016-12-16,@,BOS,L,88,96,32,97,.330,8,30,.267,16,19,.842,16,53,21,10,4,12,21
29,28,2016-12-17,@,ATL,W,107,99,43,88,.489,12,27,.444,9,13,.692,7,43,26,8,3,12,17
30,29,2016-12-20,,LAL,W,117,113,43,94,.457,11,25,.440,20,24,.833,16,44,30,5,2,10,13
31,30,2016-12-23,,CHI,W,103,91,37,84,.440,5,18,.278,24,28,.857,12,48,25,6,13,10,8
32,31,2016-12-26,@,BRK,L,118,120,44,94,.468,8,26,.308,22,25,.880,12,44,23,11,3,11,24
33,32,2016-12-28,@,ORL,W,120,101,46,84,.548,10,24,.417,18,19,.947,10,46,25,7,3,13,13
34,33,2016-12-29,,MIA,W,91,82,36,93,.387,5,26,.192,14,18,.778,11,54,18,9,8,8,11
35,34,2016-12-31,,CLE,L,109,121,40,78,.513,9,24,.375,20,23,.870,10,39,24,3,7,11,19
36,35,2017-01-02,@,CHI,L,111,118,41,83,.494,9,19,.474,20,22,.909,7,34,24,7,3,14,19
37,36,2017-01-04,,OKC,W,123,112,37,80,.463,9,24,.375,40,49,.816,10,43,25,8,10,11,21
38,37,2017-01-05,@,DET,L,114,115,37,91,.407,10,26,.385,30,34,.882,8,49,20,4,5,5,23
39,38,2017-01-07,@,SAS,L,85,102,30,75,.400,4,21,.190,21,25,.840,8,48,18,5,4,15,14
40,39,2017-01-10,@,HOU,L,114,121,44,92,.478,19,43,.442,7,9,.778,5,43,30,3,4,11,21
41,40,2017-01-13,@,PHI,L,93,102,28,85,.329,6,23,.261,31,32,.969,16,41,11,12,2,19,19
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2017-01-16,@,BOS,L,98,108,38,86,.442,8,25,.320,14,17,.824,10,42,25,4,4,11,15
45,42,2017-01-18,,POR,W,107,85,41,87,.471,11,26,.423,14,17,.824,8,51,28,11,7,12,13
46,43,2017-01-20,,TOR,W,113,78,40,80,.500,12,25,.480,21,25,.840,11,51,24,9,4,14,13
