,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2018-10-17,,MIL,L,112,113,42,85,.494,14,34,.412,15,20,.750,11,57,26,5,4,21,25
1,2,2018-10-19,@,ORL,W,120,88,36,94,.383,6,31,.194,10,14,.714,12,44,18,8,7,15,16
2,3,2018-10-20,@,MIA,W,113,112,41,89,.461,11,34,.324,19,27,.704,12,49,21,4,11,15,27
3,4,2018-10-22,@,TOR,L,106,127,50,87,.575,15,39,.385,12,14,.857,5,46,36,10,8,13,21
4,5,2018-10-24,@,CHI,L,110,112,37,77,.481,10,29,.345,28,35,.800,9,45,21,4,5,14,24
5,6,2018-10-26,,CHI,W,135,106,37,85,.435,16,36,.444,16,22,.727,8,34,21,5,7,13,16
6,7,2018-10-27,@,PHI,L,103,105,35,91,.385,10,28,.357,25,30,.833,14,56,18,4,8,11,23
7,8,2018-10-30,,MIA,W,125,113,41,87,.471,11,28,.393,20,24,.833,10,34,25,9,5,15,26
8,9,2018-11-01,,OKC,L,107,111,41,96,.427,8,37,.216,21,29,.724,14,49,20,12,9,10,21
9,10,2018-11-03,,CLE,W,126,94,35,81,.432,10,26,.385,14,15,.933,3,26,22,10,2,13,20
10,11,2018-11-06,,ATL,W,113,102,41,85,.482,6,30,.200,14,18,.778,7,37,22,13,9,22,18
11,12,2018-11-09,@,PHI,L,132,133,45,94,.479,12,37,.324,31,41,.756,13,59,33,3,15,16,33
12,13,2018-11-11,@,DET,W,113,103,38,104,.365,12,44,.273,15,19,.789,22,51,21,5,4,10,18
13,14,2018-11-13,@,CLE,L,89,113,45,85,.529,13,24,.542,10,12,.833,14,60,23,5,3,19,20
14,15,2018-11-17,,PHI,L,119,122,39,93,.419,11,35,.314,33,38,.868,9,53,23,9,6,19,24
15,16,2018-11-19,,BOS,W,117,112,45,89,.506,9,32,.281,13,18,.722,8,41,31,9,6,12,22
16,17,2018-11-21,,IND,W,127,109,41,84,.488,11,33,.333,16,17,.941,10,37,26,5,7,14,19
17,18,2018-11-23,@,OKC,L,104,109,41,93,.441,11,33,.333,16,24,.667,11,46,24,6,2,14,18
18,19,2018-11-25,@,ATL,L,123,124,50,94,.532,16,39,.410,8,11,.727,9,41,34,5,9,15,23
19,20,2018-11-26,,MIL,W,110,107,37,90,.411,16,46,.348,17,21,.810,10,48,25,7,5,14,22
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2018-11-28,,ATL,W,108,94,32,93,.344,11,44,.250,19,22,.864,16,54,20,11,8,19,25
23,22,2018-11-30,,UTA,L,111,119,44,81,.543,18,40,.450,13,18,.722,6,41,32,5,5,14,13
24,23,2018-12-02,,NOP,L,109,119,44,86,.512,11,32,.344,20,24,.833,9,50,30,6,5,17,25
25,24,2018-12-05,@,MIN,L,104,121,48,89,.539,12,24,.500,13,20,.650,10,50,34,6,11,15,15
26,25,2018-12-07,,DEN,W,113,107,39,101,.386,8,35,.229,21,26,.808,20,55,24,6,12,9,28
27,26,2018-12-09,@,NYK,W,119,107,44,93,.473,13,26,.500,6,7,.857,8,41,28,5,2,17,25
28,27,2018-12-12,,DET,W,108,107,40,86,.465,13,34,.382,14,21,.667,10,49,23,4,10,14,26
29,28,2018-12-14,,NYK,L,124,126,47,98,.480,12,34,.353,20,31,.645,9,46,27,11,8,10,16
30,29,2018-12-15,,LAL,L,100,128,49,92,.533,14,34,.412,16,24,.667,10,52,34,12,6,15,20
31,30,2018-12-19,,CLE,W,110,99,41,85,.482,10,23,.435,7,12,.583,4,35,24,8,6,7,18
32,31,2018-12-21,,DET,W,98,86,32,82,.390,8,34,.235,14,22,.636,12,41,21,8,5,14,22
33,32,2018-12-23,@,BOS,L,103,119,43,86,.500,13,39,.333,20,25,.800,11,47,30,8,4,14,22
34,33,2018-12-26,@,BRK,L,132,134,51,104,.490,19,47,.404,13,18,.722,10,57,31,8,7,17,26
35,34,2018-12-28,,BRK,W,100,87,33,83,.398,4,27,.148,17,20,.850,9,48,15,4,10,14,20
36,35,2018-12-29,@,WAS,L,126,130,48,93,.516,13,37,.351,21,24,.875,9,42,35,8,6,12,18
37,36,2018-12-31,,ORL,W,125,100,38,92,.413,10,35,.286,14,19,.737,13,48,22,6,5,11,21
38,37,2019-01-02,,DAL,L,84,122,44,95,.463,18,45,.400,16,18,.889,12,57,31,9,4,10,14
39,38,2019-01-05,@,DEN,L,110,123,47,102,.461,14,39,.359,15,20,.750,17,46,30,10,6,7,19
40,39,2019-01-06,@,PHO,W,119,113,43,83,.518,10,25,.400,17,19,.895,3,36,23,8,4,14,25
41,40,2019-01-08,@,LAC,L,109,128,48,93,.516,14,30,.467,18,21,.857,7,45,28,6,11,10,24
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2019-01-11,@,POR,L,96,127,52,93,.559,15,40,.375,8,9,.889,7,47,31,10,16,9,20
45,42,2019-01-12,@,SAC,L,97,104,41,99,.414,14,37,.378,8,12,.667,12,49,27,8,5,11,21
46,43,2019-01-14,@,SAS,W,108,93,38,82,.463,7,20,.350,10,12,.833,3,36,21,4,6,12,15
47,44,2019-01-17,,SAC,W,114,95,39,88,.443,11,33,.333,6,13,.462,11,42,28,7,3,17,22
48,45,2019-01-19,,PHO,W,135,115,39,87,.448,11,33,.333,26,33,.788,7,26,21,7,7,7,26
49,46,2019-01-20,@,IND,L,95,120,47,100,.470,14,27,.519,12,12,1.000,12,51,34,10,7,8,18
50,47,2019-01-23,@,MEM,W,118,107,38,81,.469,9,31,.290,22,24,.917,6,38,25,8,3,10,25
51,48,2019-01-25,@,MIL,L,99,108,41,89,.461,6,31,.194,20,23,.870,6,46,17,9,6,11,18
52,49,2019-01-28,,NYK,W,101,92,34,85,.400,7,23,.304,17,26,.654,8,46,19,6,6,8,15
53,50,2019-01-30,@,BOS,L,94,126,50,90,.556,12,29,.414,14,16,.875,12,53,34,10,7,10,14
54,51,2019-02-01,,MEM,W,100,92,35,80,.438,9,29,.310,13,17,.765,9,40,23,8,3,11,22
55,52,2019-02-02,,CHI,W,125,118,42,81,.519,9,24,.375,25,25,1.000,8,39,20,4,2,10,20
56,53,2019-02-05,,LAC,L,115,117,42,87,.483,18,24,.750,15,17,.882,8,48,25,1,6,11,24
57,54,2019-02-06,@,DAL,L,93,99,38,94,.404,11,36,.306,12,17,.706,15,57,25,8,5,13,12
58,55,2019-02-09,@,ATL,W,129,120,46,86,.535,14,33,.424,14,19,.737,10,36,26,10,3,18,18
59,56,2019-02-11,@,IND,L,90,99,38,74,.514,8,25,.320,15,17,.882,5,39,25,3,3,12,22
60,57,2019-02-14,@,ORL,L,89,127,48,92,.522,17,39,.436,14,18,.778,8,50,32,6,6,7,15
61,58,2019-02-22,,WAS,W,123,110,42,97,.433,10,39,.256,16,18,.889,11,43,24,6,6,13,20
62,59,2019-02-23,,BRK,L,115,117,40,87,.460,17,43,.395,20,26,.769,11,42,23,5,6,12,26
63,60,2019-02-25,,GSW,L,110,121,48,95,.505,14,41,.341,11,13,.846,13,49,35,9,8,15,18
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2019-02-27,,HOU,L,113,118,42,91,.462,13,39,.333,21,24,.875,7,37,23,11,3,10,22
67,62,2019-03-01,@,BRK,W,123,112,44,86,.512,10,32,.313,14,18,.778,7,37,27,2,5,15,19
68,63,2019-03-03,,POR,L,108,118,43,96,.448,11,32,.344,21,23,.913,13,48,26,9,3,11,23
69,64,2019-03-06,,MIA,L,84,91,38,90,.422,9,26,.346,6,11,.545,17,51,19,10,7,18,16
70,65,2019-03-08,,WAS,W,112,111,40,86,.465,9,27,.333,22,26,.846,13,46,28,8,5,14,19
71,66,2019-03-09,@,MIL,L,114,131,44,90,.489,17,44,.386,26,30,.867,14,55,27,9,2,12,17
