,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-29,@,NYK,W,104,80,36,71,.507,7,24,.292,25,30,.833,10,47,21,9,4,15,18
1,2,2014-10-31,,CLE,L,108,114,41,90,.456,13,31,.419,13,17,.765,11,42,25,4,14,19,28
2,3,2014-11-01,@,MIN,W,106,105,33,69,.478,9,23,.391,31,40,.775,5,38,15,3,8,14,24
3,4,2014-11-04,,ORL,W,98,90,35,75,.467,7,15,.467,21,27,.778,10,44,23,6,9,12,18
4,5,2014-11-05,@,MIL,W,95,86,34,73,.466,5,16,.313,22,30,.733,7,42,24,8,3,16,18
5,6,2014-11-07,@,PHI,W,118,115,40,78,.513,12,24,.500,26,34,.765,12,40,25,4,6,17,21
6,7,2014-11-08,,BOS,L,101,106,42,92,.457,8,18,.444,9,15,.600,11,38,26,5,2,8,16
7,8,2014-11-10,,DET,W,102,91,39,88,.443,7,20,.350,17,20,.850,9,49,22,6,8,10,19
8,9,2014-11-13,@,TOR,W,100,93,37,77,.481,4,15,.267,22,32,.688,13,48,26,7,7,19,18
9,10,2014-11-15,,IND,L,90,99,35,83,.422,4,17,.235,16,23,.696,10,34,18,6,7,13,19
10,11,2014-11-17,@,LAC,W,105,89,39,80,.488,10,26,.385,17,25,.680,9,45,28,7,2,8,24
11,12,2014-11-20,@,SAC,L,88,103,36,84,.429,5,19,.263,11,16,.688,13,42,23,6,4,14,26
12,13,2014-11-21,@,POR,L,87,105,30,83,.361,8,22,.364,19,28,.679,11,48,14,9,2,14,18
13,14,2014-11-24,@,UTA,W,97,95,36,72,.500,9,20,.450,16,23,.696,7,35,20,9,3,16,14
14,15,2014-11-25,@,DEN,L,109,114,35,82,.427,7,21,.333,32,37,.865,11,37,20,9,4,12,22
15,16,2014-11-28,@,BOS,W,109,102,37,90,.411,5,17,.294,30,37,.811,18,52,18,5,13,13,21
16,17,2014-11-30,@,BRK,W,102,84,34,69,.493,7,24,.292,27,34,.794,7,50,19,6,5,19,24
17,18,2014-12-02,,DAL,L,129,132,47,103,.456,8,26,.308,27,34,.794,15,52,38,5,6,18,22
18,19,2014-12-03,@,CHO,W,102,95,37,80,.463,12,28,.429,16,21,.762,4,49,27,4,1,11,18
19,20,2014-12-06,,GSW,L,102,112,36,83,.434,7,21,.333,23,27,.852,17,50,24,6,3,22,23
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2014-12-10,,BRK,W,105,80,37,79,.468,8,22,.364,23,32,.719,15,57,21,6,11,15,18
23,22,2014-12-12,,POR,W,115,106,44,88,.500,5,15,.333,22,28,.786,14,47,18,5,3,7,11
24,23,2014-12-14,@,MIA,W,93,75,33,71,.465,9,18,.500,18,21,.857,8,44,21,4,8,19,18
25,24,2014-12-15,@,ATL,L,86,93,35,93,.376,6,29,.207,10,14,.714,15,57,18,3,6,14,17
26,25,2014-12-18,,NYK,W,103,97,34,75,.453,12,23,.522,23,30,.767,11,32,23,9,8,11,17
27,26,2014-12-19,@,MEM,W,103,97,32,73,.438,10,26,.385,29,33,.879,8,51,17,2,3,9,18
28,27,2014-12-22,,TOR,W,129,120,40,74,.541,6,12,.500,43,47,.915,12,41,20,4,13,15,20
29,28,2014-12-23,@,WAS,W,99,91,39,85,.459,5,17,.294,16,24,.667,8,52,20,5,7,10,14
30,29,2014-12-25,,LAL,W,113,93,42,86,.488,10,24,.417,19,25,.760,20,57,27,1,7,13,12
31,30,2014-12-27,,NOP,W,107,100,41,89,.461,6,20,.300,19,22,.864,15,45,19,8,6,13,17
32,31,2014-12-29,@,IND,W,92,90,29,84,.345,5,13,.385,29,33,.879,14,46,17,8,7,10,16
33,32,2014-12-30,,BRK,L,82,96,33,86,.384,8,25,.320,8,15,.533,13,48,22,5,11,12,18
34,33,2015-01-01,,DEN,W,106,101,38,91,.418,8,15,.533,22,25,.880,13,46,22,7,18,7,19
35,34,2015-01-03,,BOS,W,109,104,37,100,.370,6,28,.214,29,40,.725,24,59,19,10,9,16,14
36,35,2015-01-05,,HOU,W,114,105,41,85,.482,5,17,.294,27,30,.900,17,47,27,10,12,17,13
37,36,2015-01-07,,UTA,L,77,97,28,84,.333,6,20,.300,15,20,.750,16,43,17,5,5,15,20
38,37,2015-01-09,@,WAS,L,86,102,32,83,.386,10,26,.385,12,19,.632,11,46,16,9,8,16,15
39,38,2015-01-10,,MIL,W,95,87,35,88,.398,4,17,.235,21,24,.875,22,51,24,5,5,12,18
40,39,2015-01-12,,ORL,L,114,121,41,84,.488,8,27,.296,24,33,.727,11,43,25,6,5,14,20
41,40,2015-01-14,,WAS,L,99,105,34,79,.430,13,27,.481,18,24,.750,8,33,18,10,5,12,21
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2015-01-16,@,BOS,W,119,103,48,89,.539,13,25,.520,10,12,.833,8,36,28,12,6,7,14
45,42,2015-01-17,,ATL,L,99,107,37,80,.463,9,26,.346,16,20,.800,7,43,25,5,5,13,21
46,43,2015-01-19,@,CLE,L,94,108,30,80,.375,8,16,.500,26,32,.813,11,40,12,5,9,8,16
47,44,2015-01-22,,SAS,W,104,81,36,76,.474,6,19,.316,26,32,.813,8,46,19,7,8,10,16
48,45,2015-01-23,@,DAL,W,102,98,38,78,.487,9,16,.563,17,20,.850,15,47,22,8,5,21,18
49,46,2015-01-25,,MIA,L,84,96,31,87,.356,7,24,.292,15,19,.789,14,43,15,5,10,9,16
50,47,2015-01-27,@,GSW,W,113,111,42,98,.429,8,29,.276,21,23,.913,19,61,19,6,6,21,18
51,48,2015-01-29,@,LAL,L,118,123,43,104,.413,6,25,.240,26,32,.813,17,49,26,9,6,11,21
52,49,2015-01-30,@,PHO,L,93,99,36,87,.414,4,18,.222,17,27,.630,12,49,20,6,3,11,18
53,50,2015-02-04,@,HOU,L,90,101,31,89,.348,8,25,.320,20,26,.769,18,60,16,3,5,12,17
54,51,2015-02-07,@,NOP,W,107,72,43,84,.512,10,22,.455,11,13,.846,8,45,18,6,4,11,7
55,52,2015-02-08,@,ORL,W,98,97,37,77,.481,8,22,.364,16,18,.889,7,35,27,11,1,15,11
56,53,2015-02-10,,SAC,W,104,86,42,80,.525,7,20,.350,13,15,.867,5,33,26,8,3,7,21
57,54,2015-02-12,,CLE,W,113,98,42,92,.457,9,23,.391,20,26,.769,13,47,29,10,3,8,23
58,55,2015-02-20,@,DET,L,91,100,33,78,.423,5,16,.313,20,22,.909,13,43,16,2,7,20,23
59,56,2015-02-21,,PHO,W,112,107,43,89,.483,12,24,.500,14,16,.875,14,47,27,5,3,17,14
60,57,2015-02-23,,MIL,W,87,71,27,76,.355,8,26,.308,25,32,.781,18,62,20,4,7,18,16
61,58,2015-02-25,,CHO,L,86,98,34,77,.442,3,17,.176,15,23,.652,9,43,24,6,11,12,17
62,59,2015-02-27,,MIN,W,96,89,37,96,.385,9,31,.290,13,16,.813,22,53,24,5,5,9,24
63,60,2015-03-01,,LAC,L,86,96,27,87,.310,10,26,.385,22,30,.733,17,51,18,2,1,11,17
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2015-03-03,,WAS,W,97,92,33,78,.423,9,29,.310,22,30,.733,10,47,20,5,7,16,16
67,62,2015-03-05,,OKC,W,108,105,40,87,.460,7,25,.280,21,26,.808,12,48,26,4,3,10,15
68,63,2015-03-06,@,IND,L,84,98,31,86,.360,5,23,.217,17,19,.895,14,44,20,5,3,11,25
69,64,2015-03-08,@,SAS,L,105,116,37,73,.507,5,15,.333,26,29,.897,7,44,20,6,6,20,24
70,65,2015-03-09,,MEM,L,91,101,35,80,.438,10,22,.455,11,14,.786,9,44,18,7,2,15,13
71,66,2015-03-11,@,PHI,W,104,95,40,87,.460,10,24,.417,14,20,.700,8,58,24,6,2,18,16
72,67,2015-03-13,@,CHO,L,91,101,31,82,.378,15,32,.469,14,19,.737,4,36,18,4,6,10,25
73,68,2015-03-15,@,OKC,L,100,109,37,83,.446,9,29,.310,17,24,.708,9,33,20,5,3,11,24
74,69,2015-03-18,,IND,W,103,86,34,82,.415,10,24,.417,25,28,.893,9,52,22,6,4,12,23
75,70,2015-03-20,,TOR,W,108,92,42,79,.532,9,28,.321,15,17,.882,13,47,32,4,7,12,21
76,71,2015-03-21,@,DET,L,91,107,33,77,.429,6,21,.286,19,24,.792,8,45,22,2,1,11,11
77,72,2015-03-23,,CHO,W,98,86,37,82,.451,3,16,.188,21,29,.724,6,46,21,5,7,6,20
78,73,2015-03-25,@,TOR,W,116,103,45,74,.608,12,23,.522,14,17,.824,2,31,26,4,6,8,16
79,74,2015-03-28,,NYK,W,111,80,43,84,.512,6,17,.353,19,22,.864,12,51,28,8,5,12,16
80,75,2015-04-01,@,MIL,L,91,95,31,74,.419,5,26,.192,24,37,.649,12,40,18,11,3,20,21
81,76,2015-04-03,,DET,W,88,82,33,85,.388,4,17,.235,18,21,.857,19,44,18,9,5,10,15
82,77,2015-04-05,@,CLE,L,94,99,34,76,.447,11,27,.407,15,21,.714,9,45,28,7,2,16,22
83,78,2015-04-08,@,ORL,L,103,105,34,79,.430,12,26,.462,23,31,.742,12,41,25,9,4,15,16
84,79,2015-04-09,@,MIA,W,89,78,35,91,.385,6,23,.261,13,17,.765,15,51,17,10,2,11,11
85,80,2015-04-11,,PHI,W,114,107,40,90,.444,9,26,.346,25,36,.694,13,48,20,8,5,10,20
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
88,81,2015-04-13,@,BRK,W,113,86,44,88,.500,12,30,.400,13,17,.765,9,46,26,7,8,7,18
89,82,2015-04-15,,ATL,W,91,85,31,77,.403,7,24,.292,22,26,.846,7,50,14,11,9,21,12
