,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2016-10-27,,BOS,W,105,99,38,76,.500,8,23,.348,15,24,.625,3,36,22,6,6,11,25
1,2,2016-10-29,,IND,W,118,101,43,88,.489,7,18,.389,8,9,.889,8,33,34,8,7,13,16
2,3,2016-10-31,@,BRK,W,118,88,33,96,.344,5,31,.161,17,21,.810,16,45,14,12,3,15,15
3,4,2016-11-02,@,BOS,L,100,107,41,87,.471,14,32,.438,11,17,.647,10,39,28,10,4,12,24
4,5,2016-11-04,,NYK,L,104,117,46,89,.517,9,21,.429,16,21,.762,11,40,32,7,2,5,23
5,6,2016-11-05,@,IND,L,94,111,46,86,.535,12,26,.462,7,12,.583,8,36,27,8,9,11,20
6,7,2016-11-07,,ORL,W,112,80,33,85,.388,9,30,.300,5,6,.833,6,39,28,6,6,14,23
7,8,2016-11-09,@,ATL,L,107,115,42,83,.506,9,20,.450,22,27,.815,13,48,24,8,7,21,20
8,9,2016-11-10,@,MIA,W,98,95,36,88,.409,13,29,.448,10,15,.667,14,46,22,8,5,13,19
9,10,2016-11-12,,WAS,W,106,95,38,91,.418,4,13,.308,15,18,.833,13,49,19,3,7,12,22
10,11,2016-11-15,@,POR,W,113,88,34,95,.358,9,34,.265,11,18,.611,15,49,17,8,4,11,18
11,12,2016-11-17,@,UTA,W,85,77,30,78,.385,5,25,.200,12,14,.857,10,48,11,4,3,13,14
12,13,2016-11-19,@,LAC,L,95,102,36,77,.468,11,27,.407,19,23,.826,11,38,20,6,2,13,20
13,14,2016-11-20,@,LAL,W,118,110,41,93,.441,13,31,.419,15,21,.714,10,37,26,11,3,10,19
14,15,2016-11-22,@,DEN,L,107,110,43,100,.430,10,22,.455,14,17,.824,17,55,26,5,6,10,14
15,16,2016-11-25,@,PHI,W,105,89,31,78,.397,9,22,.409,18,22,.818,8,48,18,7,8,19,21
16,17,2016-11-30,,LAL,L,90,96,33,81,.407,2,8,.250,28,41,.683,18,60,17,12,3,23,24
17,18,2016-12-02,,CLE,W,111,105,45,83,.542,10,26,.385,5,10,.500,6,33,30,5,1,18,15
18,19,2016-12-03,@,DAL,L,82,107,40,87,.460,13,31,.419,14,18,.778,13,42,31,11,2,10,19
19,20,2016-12-05,,POR,L,110,112,45,93,.484,9,24,.375,13,18,.722,10,38,25,9,8,9,27
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2016-12-06,@,DET,L,91,102,40,88,.455,8,21,.381,14,21,.667,9,44,24,10,5,9,23
23,22,2016-12-08,,SAS,W,95,91,39,97,.402,9,28,.321,4,5,.800,11,43,21,12,8,12,18
24,23,2016-12-10,,MIA,W,105,100,42,91,.462,5,20,.250,11,18,.611,14,43,25,5,5,12,22
25,24,2016-12-13,,MIN,L,94,99,38,86,.442,6,21,.286,17,22,.773,14,48,24,3,8,14,14
26,25,2016-12-15,@,MIL,L,97,108,45,95,.474,11,20,.550,7,13,.538,13,42,32,8,5,8,20
27,26,2016-12-16,,MIL,L,69,95,38,82,.463,10,25,.400,9,13,.692,11,53,26,7,4,11,14
28,27,2016-12-19,,DET,W,113,82,34,83,.410,3,23,.130,11,13,.846,10,32,19,8,3,11,8
29,28,2016-12-21,,WAS,L,97,107,43,82,.524,3,18,.167,18,25,.720,6,44,23,7,3,10,20
30,29,2016-12-23,@,CHO,L,91,103,37,84,.440,5,18,.278,24,28,.857,12,48,25,6,13,10,8
31,30,2016-12-25,@,SAS,L,100,119,48,85,.565,9,18,.500,14,19,.737,11,43,30,7,3,13,19
32,31,2016-12-26,,IND,W,90,85,34,81,.420,9,25,.360,8,10,.800,9,40,26,5,5,16,21
33,32,2016-12-28,,BRK,W,101,99,37,86,.430,13,32,.406,12,16,.750,9,37,21,9,6,14,22
34,33,2016-12-30,@,IND,L,101,111,39,81,.481,7,19,.368,26,30,.867,8,42,26,7,6,11,22
35,34,2016-12-31,,MIL,L,96,116,43,76,.566,9,15,.600,21,27,.778,8,42,29,7,8,12,19
36,35,2017-01-02,,CHO,W,118,111,41,83,.494,9,19,.474,20,22,.909,7,34,24,7,3,14,19
37,36,2017-01-04,@,CLE,W,106,94,34,83,.410,8,25,.320,18,24,.750,16,44,13,6,2,15,16
38,37,2017-01-07,,TOR,W,123,118,37,85,.435,8,31,.258,36,43,.837,6,41,20,11,5,10,22
39,38,2017-01-09,,OKC,L,94,109,47,83,.566,7,24,.292,8,11,.727,6,42,30,5,5,12,17
40,39,2017-01-10,@,WAS,L,99,101,42,83,.506,11,22,.500,6,9,.667,7,42,24,8,6,21,24
41,40,2017-01-12,@,NYK,L,89,104,44,92,.478,7,23,.304,9,11,.818,17,48,21,3,7,12,17
