,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2015-10-27,@,CHI,L,95,97,38,94,.404,9,29,.310,10,17,.588,11,50,26,5,7,10,21
1,2,2015-10-28,@,MEM,W,106,76,41,84,.488,13,29,.448,11,17,.647,12,54,29,7,2,19,25
2,3,2015-10-30,,MIA,W,102,92,39,86,.453,6,25,.240,18,21,.857,14,49,25,4,4,11,19
3,4,2015-11-02,@,PHI,W,107,100,42,81,.519,8,22,.364,15,20,.750,7,43,28,5,9,16,19
4,5,2015-11-04,,NYK,W,96,86,33,83,.398,7,27,.259,23,32,.719,9,48,21,5,2,11,12
5,6,2015-11-06,,PHI,W,108,102,45,88,.511,10,26,.385,8,12,.667,11,45,29,9,0,17,20
6,7,2015-11-08,,IND,W,101,97,38,83,.458,8,24,.333,17,25,.680,11,48,25,5,4,10,20
7,8,2015-11-10,,UTA,W,118,114,37,74,.500,11,24,.458,33,43,.767,11,35,24,9,6,16,21
8,9,2015-11-13,@,NYK,W,90,84,33,78,.423,6,28,.214,18,31,.581,12,49,12,6,1,12,19
9,10,2015-11-14,@,MIL,L,105,108,37,91,.407,14,38,.368,17,27,.630,14,54,21,6,8,20,24
10,11,2015-11-17,@,DET,L,99,104,38,80,.475,11,33,.333,12,20,.600,3,40,21,8,2,14,25
11,12,2015-11-19,,MIL,W,115,100,40,71,.563,11,24,.458,24,30,.800,13,43,29,3,2,17,24
12,13,2015-11-21,,ATL,W,109,97,41,85,.482,11,29,.379,16,19,.842,11,51,27,4,8,14,22
13,14,2015-11-23,,ORL,W,117,103,43,81,.531,18,35,.514,13,22,.591,8,41,34,5,3,10,15
14,15,2015-11-25,@,TOR,L,99,103,36,82,.439,14,29,.483,13,16,.813,9,42,22,4,2,10,20
15,16,2015-11-27,@,CHO,W,95,90,34,81,.420,8,25,.320,19,25,.760,12,50,17,3,2,16,22
16,17,2015-11-28,,BRK,W,90,88,35,87,.402,9,27,.333,11,17,.647,12,49,20,9,11,19,19
17,18,2015-12-01,,WAS,L,85,97,28,83,.337,9,30,.300,20,23,.870,10,47,15,8,3,18,18
18,19,2015-12-04,@,NOP,L,108,114,39,89,.438,10,33,.303,20,24,.833,12,43,18,8,1,14,26
19,20,2015-12-05,@,MIA,L,84,99,31,85,.365,6,28,.214,16,24,.667,11,36,14,8,1,14,26
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2015-12-08,,POR,W,105,100,40,79,.506,9,21,.429,16,20,.800,6,30,18,10,4,8,18
23,22,2015-12-11,@,ORL,W,111,76,41,72,.569,11,21,.524,18,27,.667,9,45,28,12,0,18,19
24,23,2015-12-15,@,BOS,W,89,77,36,78,.462,8,23,.348,9,10,.900,6,46,17,5,7,14,17
25,24,2015-12-17,,OKC,W,104,100,41,88,.466,12,29,.414,10,13,.769,16,42,29,6,1,16,22
26,25,2015-12-20,,PHI,W,108,86,40,85,.471,11,25,.440,17,21,.810,6,40,25,11,6,10,19
27,26,2015-12-23,,NYK,W,91,84,32,83,.386,5,22,.227,22,25,.880,14,48,23,6,4,7,15
28,27,2015-12-25,@,GSW,L,83,89,30,95,.316,5,30,.167,18,25,.720,17,55,12,6,4,11,22
29,28,2015-12-26,@,POR,L,76,105,28,77,.364,11,31,.355,9,15,.600,9,42,21,4,2,17,20
30,29,2015-12-28,@,PHO,W,101,97,33,71,.465,17,41,.415,18,25,.720,10,37,21,8,8,17,18
31,30,2015-12-29,@,DEN,W,93,87,38,86,.442,4,22,.182,13,22,.591,9,44,17,12,3,12,16
32,31,2016-01-02,,ORL,W,104,79,34,82,.415,12,37,.324,24,39,.615,12,53,24,6,1,4,17
33,32,2016-01-04,,TOR,W,122,100,41,74,.554,17,33,.515,23,26,.885,11,40,25,6,4,13,22
34,33,2016-01-06,@,WAS,W,121,115,48,89,.539,12,29,.414,13,19,.684,13,44,16,9,3,10,20
35,34,2016-01-08,@,MIN,W,125,99,43,81,.531,13,27,.481,26,29,.897,10,43,23,8,5,11,19
36,35,2016-01-10,@,PHI,W,95,85,35,90,.389,9,32,.281,16,23,.696,13,51,20,9,2,10,16
37,36,2016-01-12,@,DAL,W,110,107,40,97,.412,17,44,.386,13,16,.813,17,46,28,12,4,9,21
38,37,2016-01-14,@,SAS,L,95,99,38,82,.463,10,26,.385,9,11,.818,9,43,15,4,2,17,23
39,38,2016-01-15,@,HOU,W,91,77,34,87,.391,8,35,.229,15,23,.652,17,49,19,10,6,14,24
40,39,2016-01-18,,GSW,L,98,132,37,77,.481,7,19,.368,17,25,.680,8,36,22,3,4,15,25
41,40,2016-01-20,@,BRK,W,91,78,36,77,.468,5,17,.294,14,20,.700,6,45,15,6,3,13,13
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2016-01-21,,LAC,W,115,102,42,83,.506,13,28,.464,18,24,.750,14,47,29,5,2,13,31
45,42,2016-01-23,,CHI,L,83,96,35,94,.372,4,24,.167,9,22,.409,16,48,17,5,5,4,18
46,43,2016-01-25,,MIN,W,114,107,45,89,.506,11,31,.355,13,20,.650,12,43,30,7,3,15,18
47,44,2016-01-27,,PHO,W,115,93,45,81,.556,11,28,.393,14,16,.875,10,37,34,12,3,13,17
48,45,2016-01-29,@,DET,W,114,106,39,83,.470,9,23,.391,27,29,.931,10,47,20,4,1,7,25
49,46,2016-01-30,,SAS,W,117,103,45,82,.549,9,23,.391,18,21,.857,10,43,24,4,4,9,21
50,47,2016-02-01,@,IND,W,111,106,44,88,.500,7,22,.318,16,23,.696,10,45,22,8,3,16,19
51,48,2016-02-03,@,CHO,L,97,106,38,83,.458,10,28,.357,11,14,.786,3,28,16,9,5,7,19
