,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2016-10-25,,NYK,W,117,88,32,87,.368,9,27,.333,15,20,.750,13,42,17,6,6,18,22
1,2,2016-10-28,@,TOR,W,94,91,35,90,.389,4,16,.250,17,18,.944,18,51,12,9,3,18,20
2,3,2016-10-29,,ORL,W,105,99,38,84,.452,8,28,.286,15,26,.577,13,50,21,6,5,20,23
3,4,2016-11-01,,HOU,W,128,120,43,90,.478,17,44,.386,17,25,.680,11,32,30,5,2,7,25
4,5,2016-11-03,,BOS,W,128,122,46,96,.479,11,32,.344,19,22,.864,10,39,25,4,6,8,28
5,6,2016-11-05,@,PHI,W,102,101,40,87,.460,14,38,.368,7,12,.583,5,45,21,9,9,17,23
6,7,2016-11-08,,ATL,L,106,110,41,81,.506,11,29,.379,17,24,.708,11,50,22,1,4,19,21
7,8,2016-11-11,@,WAS,W,105,94,38,87,.437,3,15,.200,15,19,.789,10,46,16,7,5,15,21
8,9,2016-11-13,,CHO,W,100,93,36,95,.379,11,29,.379,10,12,.833,10,45,23,7,3,5,19
9,10,2016-11-15,,TOR,W,121,117,46,96,.479,13,29,.448,12,18,.667,12,40,24,11,5,8,25
10,11,2016-11-16,@,IND,L,93,103,43,86,.500,10,28,.357,7,11,.636,5,40,22,8,12,10,16
11,12,2016-11-18,,DET,W,104,81,29,93,.312,6,19,.316,17,20,.850,11,44,23,5,4,7,15
12,13,2016-11-23,,POR,W,137,125,47,90,.522,13,29,.448,18,19,.947,9,38,27,6,6,9,23
13,14,2016-11-25,,DAL,W,128,90,37,91,.407,8,35,.229,8,12,.667,11,39,29,5,4,13,21
14,15,2016-11-27,@,PHI,W,112,108,43,92,.467,15,34,.441,7,10,.700,13,50,29,5,5,16,24
15,16,2016-11-29,@,MIL,L,101,118,46,86,.535,7,19,.368,19,23,.826,10,43,27,15,6,17,22
16,17,2016-12-01,,LAC,L,94,113,42,89,.472,13,31,.419,16,24,.667,14,47,33,7,3,11,32
17,18,2016-12-02,@,CHI,L,105,111,47,96,.490,3,18,.167,14,17,.824,16,49,31,11,4,12,16
18,19,2016-12-05,@,TOR,W,116,112,38,88,.432,13,32,.406,23,27,.852,10,33,22,8,5,7,22
19,20,2016-12-07,@,NYK,W,126,94,35,87,.402,11,31,.355,13,15,.867,13,43,22,6,3,16,22
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2016-12-09,,MIA,W,114,84,31,90,.344,6,27,.222,16,21,.762,23,46,18,6,3,13,18
23,22,2016-12-10,,CHO,W,116,105,39,86,.453,10,27,.370,17,24,.708,12,39,24,5,0,14,24
24,23,2016-12-13,,MEM,W,103,86,35,86,.407,4,22,.182,12,15,.800,11,43,19,10,6,15,23
25,24,2016-12-14,@,MEM,L,85,93,35,81,.432,12,23,.522,11,16,.688,14,55,22,9,3,16,27
26,25,2016-12-17,,LAL,W,119,108,41,86,.477,16,37,.432,10,13,.769,10,41,30,3,2,11,16
27,26,2016-12-20,@,MIL,W,114,108,40,87,.460,7,27,.259,21,29,.724,11,51,22,6,6,14,21
28,27,2016-12-21,,MIL,W,113,102,36,77,.468,9,22,.409,21,29,.724,6,39,24,7,8,8,21
29,28,2016-12-23,,BRK,W,119,99,38,85,.447,8,30,.267,15,18,.833,7,44,22,6,7,19,22
30,29,2016-12-25,,GSW,W,109,108,37,77,.481,9,30,.300,25,29,.862,5,42,25,8,4,19,24
31,30,2016-12-26,@,DET,L,90,106,41,92,.446,16,28,.571,8,15,.533,10,45,25,12,4,12,19
32,31,2016-12-29,,BOS,W,124,118,43,85,.506,12,37,.324,20,21,.952,6,29,26,15,4,11,23
33,32,2016-12-31,@,CHO,W,121,109,40,78,.513,9,24,.375,20,23,.870,10,39,24,3,7,11,19
34,33,2017-01-02,,NOP,W,90,82,32,88,.364,11,26,.423,7,10,.700,8,45,26,6,6,13,18
35,34,2017-01-04,,CHI,L,94,106,41,85,.482,13,30,.433,11,15,.733,12,43,23,8,3,12,18
36,35,2017-01-06,@,BRK,W,116,108,41,91,.451,9,30,.300,17,19,.895,10,52,21,6,1,19,34
37,36,2017-01-08,@,PHO,W,120,116,46,87,.529,9,27,.333,15,19,.789,13,36,23,12,7,14,19
38,37,2017-01-10,@,UTA,L,92,100,38,79,.481,13,34,.382,11,19,.579,11,46,22,8,4,18,21
39,38,2017-01-11,@,POR,L,86,102,40,93,.430,10,30,.333,12,16,.750,13,51,29,6,9,9,17
40,39,2017-01-13,@,SAC,W,120,108,42,80,.525,9,25,.360,15,19,.789,11,42,23,7,5,21,22
41,40,2017-01-16,@,GSW,L,91,126,46,91,.505,15,34,.441,19,24,.792,11,58,37,10,11,16,22
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2017-01-19,,PHO,W,118,103,37,85,.435,4,19,.211,25,31,.806,15,46,23,10,4,14,22
45,42,2017-01-21,,SAS,L,115,118,48,96,.500,10,26,.385,12,14,.857,10,46,32,6,6,13,22
46,43,2017-01-23,@,NOP,L,122,124,43,87,.494,16,39,.410,22,30,.733,7,42,26,8,11,8,22
47,44,2017-01-25,,SAC,L,112,116,43,95,.453,11,31,.355,19,22,.864,11,47,29,13,3,11,28
48,45,2017-01-27,,BRK,W,124,116,43,87,.494,16,33,.485,14,16,.875,4,37,23,9,2,10,15
49,46,2017-01-29,,OKC,W,107,91,37,100,.370,6,26,.231,11,16,.688,13,55,20,5,4,16,19
50,47,2017-01-30,@,DAL,L,97,104,39,86,.453,9,32,.281,17,18,.944,9,40,19,11,2,9,17
51,48,2017-02-01,,MIN,W,125,97,41,94,.436,7,21,.333,8,10,.800,12,38,26,7,3,13,19
52,49,2017-02-04,@,NYK,W,111,104,39,86,.453,12,31,.387,14,28,.500,13,42,23,9,7,10,20
53,50,2017-02-06,@,WAS,W,140,135,50,99,.505,12,29,.414,23,26,.885,11,43,29,9,5,12,25
54,51,2017-02-08,@,IND,W,132,117,41,82,.500,13,25,.520,22,26,.846,7,38,24,7,2,12,18
55,52,2017-02-09,@,OKC,L,109,118,50,106,.472,8,27,.296,10,13,.769,17,51,24,10,5,13,23
56,53,2017-02-11,,DEN,W,125,109,39,97,.402,12,37,.324,19,22,.864,17,45,23,8,4,12,22
57,54,2017-02-14,@,MIN,W,116,108,42,86,.488,9,23,.391,15,19,.789,8,41,27,6,2,9,18
58,55,2017-02-15,,IND,W,113,104,40,86,.465,12,24,.500,12,14,.857,13,43,30,2,1,11,17
59,56,2017-02-23,,NYK,W,119,104,42,101,.416,8,26,.308,12,17,.706,16,50,24,4,7,12,19
60,57,2017-02-25,,CHI,L,99,117,46,93,.495,15,30,.500,10,16,.625,10,47,34,6,0,7,13
61,58,2017-02-27,,MIL,W,102,95,37,83,.446,11,30,.367,10,16,.625,5,33,27,3,5,8,23
62,59,2017-03-01,@,BOS,L,99,103,36,78,.462,13,31,.419,18,23,.783,8,47,28,4,6,12,21
63,60,2017-03-03,@,ATL,W,135,130,49,91,.538,10,26,.385,22,30,.733,11,43,30,7,4,12,15
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2017-03-04,@,MIA,L,92,120,46,88,.523,18,34,.529,10,12,.833,15,48,20,6,4,10,19
67,62,2017-03-06,,MIA,L,98,106,39,91,.429,16,35,.457,12,14,.857,8,38,23,7,6,7,19
68,63,2017-03-09,@,DET,L,101,106,41,88,.466,9,26,.346,15,19,.789,11,45,22,6,1,7,15
69,64,2017-03-11,@,ORL,W,116,104,38,96,.396,4,21,.190,24,28,.857,14,52,17,6,1,5,21
70,65,2017-03-12,@,HOU,L,112,117,41,96,.427,16,45,.356,19,28,.679,20,52,25,10,4,6,17
71,66,2017-03-14,,DET,W,128,96,37,99,.374,4,19,.211,18,19,.947,16,45,20,6,1,8,19
72,67,2017-03-16,,UTA,W,91,83,34,82,.415,5,21,.238,10,14,.714,10,47,18,6,3,16,16
73,68,2017-03-18,@,LAC,L,78,108,40,78,.513,8,26,.308,20,29,.690,7,54,27,4,3,14,15
74,69,2017-03-19,@,LAL,W,125,120,47,91,.516,11,27,.407,15,19,.789,10,40,23,5,1,5,25
75,70,2017-03-22,@,DEN,L,113,126,51,96,.531,11,26,.423,13,13,1.000,10,44,35,7,0,6,16
76,71,2017-03-24,@,CHO,W,112,105,38,90,.422,10,38,.263,19,24,.792,14,42,18,6,4,9,17
77,72,2017-03-25,,WAS,L,115,127,49,82,.598,8,18,.444,21,26,.808,11,40,24,10,4,11,23
78,73,2017-03-27,@,SAS,L,74,103,41,86,.477,7,26,.269,14,17,.824,10,52,24,11,7,12,18
79,74,2017-03-30,@,CHI,L,93,99,38,90,.422,12,25,.480,11,18,.611,15,51,26,11,3,12,15
80,75,2017-03-31,,PHI,W,122,105,40,82,.488,11,33,.333,14,19,.737,7,42,26,7,2,17,21
81,76,2017-04-02,,IND,W,135,130,48,105,.457,16,41,.390,18,20,.900,12,46,32,6,3,9,24
82,77,2017-04-04,,ORL,W,122,102,33,86,.384,11,33,.333,25,26,.962,11,43,23,8,3,14,21
83,78,2017-04-05,@,BOS,W,114,91,33,81,.407,7,33,.212,18,29,.621,8,38,21,6,4,12,18
84,79,2017-04-07,,ATL,L,100,114,45,89,.506,16,37,.432,8,8,1.000,6,42,39,7,3,11,17
85,80,2017-04-09,@,ATL,L,125,126,44,94,.468,9,31,.290,29,37,.784,10,45,31,8,4,12,22
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
