,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-28,@,SAS,L,100,101,38,78,.487,8,21,.381,16,19,.842,9,33,17,9,3,10,20
1,2,2014-10-30,,UTA,W,120,102,47,85,.553,8,21,.381,18,23,.783,13,44,25,8,5,9,15
2,3,2014-11-01,@,NOP,W,109,104,46,89,.517,6,25,.240,11,19,.579,11,44,25,4,6,12,25
3,4,2014-11-03,,BOS,W,118,113,44,82,.537,14,25,.560,16,20,.800,7,36,24,5,9,17,17
4,5,2014-11-06,@,POR,L,87,108,33,90,.367,5,23,.217,16,16,1.000,8,34,14,6,4,7,17
5,6,2014-11-07,@,UTA,W,105,82,42,88,.477,9,24,.375,12,14,.857,13,42,23,12,3,8,22
6,7,2014-11-09,,MIA,L,96,105,35,83,.422,9,29,.310,17,24,.708,15,41,22,8,7,13,15
7,8,2014-11-11,,SAC,W,106,98,38,80,.475,10,27,.370,20,24,.833,9,33,23,8,8,11,29
8,9,2014-11-13,,PHI,W,123,70,41,80,.513,11,32,.344,30,36,.833,9,51,33,14,5,15,25
9,10,2014-11-15,,MIN,W,131,117,52,94,.553,8,26,.308,19,23,.826,12,40,31,5,10,7,24
10,11,2014-11-17,@,CHO,W,107,80,43,84,.512,10,28,.357,11,16,.688,10,50,32,7,4,7,18
11,12,2014-11-19,@,WAS,W,105,102,34,82,.415,12,28,.429,25,29,.862,10,44,18,5,5,12,19
12,13,2014-11-21,,LAL,W,140,106,51,82,.622,18,35,.514,20,28,.714,11,39,37,4,2,9,16
13,14,2014-11-22,@,HOU,L,92,95,35,88,.398,6,35,.171,16,22,.727,16,50,17,6,5,14,22
14,15,2014-11-24,,IND,L,100,111,40,80,.500,8,24,.333,12,21,.571,6,37,21,6,6,12,28
15,16,2014-11-26,,NYK,W,109,102,38,95,.400,4,31,.129,29,38,.763,20,56,20,12,5,11,16
16,17,2014-11-28,@,TOR,W,106,102,40,86,.465,11,26,.423,15,22,.682,6,37,27,7,9,8,17
17,18,2014-11-29,@,PHI,W,110,103,40,89,.449,8,30,.267,22,30,.733,13,40,28,13,5,12,22
18,19,2014-12-02,@,CHI,W,132,129,47,102,.461,15,30,.500,23,27,.852,12,46,30,9,6,14,28
19,20,2014-12-03,@,MIL,W,107,105,42,92,.457,8,27,.296,15,22,.682,17,46,20,8,6,16,23
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2014-12-05,,PHO,L,106,118,40,88,.455,4,19,.211,22,30,.733,16,44,13,5,1,11,16
23,22,2014-12-07,,MIL,W,125,102,49,84,.583,12,31,.387,15,19,.789,8,36,29,14,8,11,14
24,23,2014-12-09,@,MEM,L,105,114,38,85,.447,18,40,.450,11,14,.786,12,43,19,4,7,16,22
25,24,2014-12-10,,NOP,W,112,107,44,83,.530,9,21,.429,15,17,.882,5,29,17,5,5,8,18
26,25,2014-12-13,,GSW,L,98,105,36,89,.404,5,25,.200,21,30,.700,17,53,14,11,0,15,23
27,26,2014-12-16,@,NYK,W,107,87,42,83,.506,15,33,.455,8,8,1.000,10,41,30,9,4,17,14
28,27,2014-12-17,@,DET,W,117,106,40,79,.506,10,22,.455,27,35,.771,9,45,29,9,4,14,15
29,28,2014-12-20,,SAS,W,99,93,37,86,.430,9,26,.346,16,20,.800,13,40,18,10,3,12,24
30,29,2014-12-22,,ATL,L,102,105,39,90,.433,11,28,.393,13,20,.650,13,47,23,12,5,15,23
31,30,2014-12-23,@,PHO,L,115,124,41,88,.466,9,25,.360,24,29,.828,14,49,22,4,1,20,27
32,31,2014-12-26,,LAL,W,102,98,42,83,.506,5,18,.278,13,24,.542,6,40,20,9,6,13,21
33,32,2014-12-28,,OKC,W,112,107,39,88,.443,10,31,.323,24,28,.857,7,37,26,8,6,12,16
34,33,2014-12-30,,WAS,W,114,87,43,82,.524,8,15,.533,20,29,.690,3,34,21,11,5,7,22
35,34,2015-01-02,@,BOS,W,119,101,45,96,.469,13,27,.481,16,17,.941,16,52,24,8,1,11,21
36,35,2015-01-04,@,CLE,W,109,90,44,78,.564,12,26,.462,9,11,.818,4,36,30,7,8,10,20
37,36,2015-01-05,@,BRK,W,96,88,37,94,.394,10,27,.370,12,19,.632,14,51,24,8,6,10,17
38,37,2015-01-07,,DET,L,95,108,38,87,.437,6,22,.273,13,18,.722,9,43,24,9,4,14,15
39,38,2015-01-10,@,LAC,L,100,120,38,86,.442,12,30,.400,12,17,.706,8,40,29,4,2,11,18
40,39,2015-01-13,@,SAC,W,108,104,43,100,.430,6,24,.250,16,23,.696,12,44,23,12,4,10,25
41,40,2015-01-14,@,DEN,L,107,114,41,100,.410,9,37,.243,16,20,.800,10,39,24,8,5,8,25
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2015-01-16,,DEN,W,97,89,33,79,.418,8,25,.320,23,29,.793,10,52,22,7,2,14,23
45,42,2015-01-19,@,MEM,W,103,95,34,76,.447,10,25,.400,25,33,.758,12,42,17,6,3,13,22
46,43,2015-01-21,@,MIN,W,98,75,39,76,.513,11,27,.407,9,14,.643,6,42,26,6,3,10,13
47,44,2015-01-23,,CHI,L,98,102,37,82,.451,6,18,.333,18,18,1.000,9,30,16,12,8,12,16
48,45,2015-01-25,@,NOP,L,106,109,39,81,.481,9,24,.375,19,25,.760,13,38,20,5,6,9,19
49,46,2015-01-27,,MEM,L,90,109,38,78,.487,7,26,.269,7,10,.700,8,35,20,8,3,16,20
50,47,2015-01-28,@,HOU,L,94,99,35,82,.427,10,25,.400,14,16,.875,10,46,16,10,7,23,16
51,48,2015-01-30,@,MIA,W,93,72,34,82,.415,13,29,.448,12,20,.600,13,49,24,10,4,10,13
52,49,2015-01-31,@,ORL,W,108,93,42,74,.568,11,21,.524,13,22,.591,3,36,26,9,4,12,20
53,50,2015-02-02,,MIN,W,100,94,39,84,.464,10,31,.323,12,18,.667,12,43,27,11,10,15,18
54,51,2015-02-04,@,GSW,L,114,128,41,98,.418,10,30,.333,22,28,.786,14,42,24,8,1,8,19
55,52,2015-02-05,@,SAC,W,101,78,41,96,.427,12,34,.353,7,10,.700,8,48,25,9,7,9,19
56,53,2015-02-07,,POR,W,111,101,43,105,.410,14,36,.389,11,16,.688,20,55,21,11,7,15,20
57,54,2015-02-09,,LAC,L,98,115,33,81,.407,10,34,.294,22,30,.733,14,47,19,2,3,12,26
58,55,2015-02-11,,UTA,W,87,82,28,75,.373,10,28,.357,21,26,.808,7,38,18,11,3,11,21
59,56,2015-02-19,@,OKC,L,89,104,33,91,.363,9,27,.333,14,17,.824,14,39,16,14,3,17,20
