,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2016-10-26,@,IND,L,121,130,47,93,.505,10,19,.526,26,34,.765,8,52,30,11,6,16,23
1,2,2016-10-28,,HOU,L,98,106,33,70,.471,15,32,.469,25,31,.806,5,41,21,6,1,18,22
2,3,2016-10-30,@,HOU,L,92,93,34,81,.420,11,31,.355,14,21,.667,9,47,16,5,4,17,21
3,4,2016-11-02,@,UTA,L,81,97,35,77,.455,12,25,.480,15,26,.577,7,41,18,6,3,12,21
4,5,2016-11-04,,POR,L,95,105,36,80,.450,12,31,.387,21,26,.808,7,42,21,9,3,14,20
5,6,2016-11-06,,MIL,W,86,75,30,82,.366,6,29,.207,9,12,.750,9,51,14,11,2,27,26
6,7,2016-11-08,@,LAL,W,109,97,38,78,.487,10,26,.385,11,14,.786,8,37,20,6,1,16,19
7,8,2016-11-09,@,GSW,L,95,116,43,74,.581,17,33,.515,13,22,.591,5,39,33,3,5,15,22
8,9,2016-11-14,@,NYK,L,77,93,34,78,.436,9,25,.360,16,18,.889,14,51,18,5,5,17,16
9,10,2016-11-16,@,BOS,L,83,90,33,76,.434,7,21,.333,17,23,.739,13,53,18,6,3,19,17
10,11,2016-11-18,,MEM,L,64,80,31,77,.403,9,25,.360,9,12,.750,7,48,16,7,3,12,25
11,12,2016-11-19,@,ORL,L,87,95,34,78,.436,8,21,.381,19,22,.864,10,50,17,6,8,19,21
12,13,2016-11-21,@,SAS,L,91,96,35,75,.467,8,20,.400,18,25,.720,8,39,24,9,1,13,18
13,14,2016-11-23,,LAC,L,104,124,43,85,.506,15,32,.469,23,31,.742,6,43,26,11,4,9,17
14,15,2016-11-25,@,CLE,L,90,128,43,85,.506,20,43,.465,22,24,.917,9,47,30,9,3,14,16
15,16,2016-11-27,,NOP,W,91,81,30,77,.390,5,20,.250,16,18,.889,10,42,17,8,3,13,19
16,17,2016-11-30,,SAS,L,87,94,33,71,.465,11,19,.579,17,24,.708,7,42,16,7,6,11,11
17,18,2016-12-01,@,CHO,L,87,97,35,74,.473,5,18,.278,22,31,.710,4,39,24,5,6,10,18
18,19,2016-12-03,,CHI,W,107,82,32,71,.451,3,13,.231,15,21,.714,11,43,9,4,5,20,22
19,20,2016-12-05,,CHO,L,101,109,40,79,.506,3,18,.167,26,28,.929,9,53,21,2,5,12,19
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2016-12-07,,SAC,L,89,120,47,84,.560,10,22,.455,16,21,.762,6,40,28,10,3,14,23
23,22,2016-12-09,,IND,W,111,103,32,69,.464,14,25,.560,25,26,.962,4,38,21,5,4,13,18
24,23,2016-12-10,@,HOU,L,87,109,37,74,.500,19,37,.514,16,22,.727,10,48,31,4,1,15,16
25,24,2016-12-12,,DEN,W,112,92,35,83,.422,7,25,.280,15,18,.833,20,43,19,6,3,16,15
26,25,2016-12-14,,DET,L,85,95,36,71,.507,5,17,.294,18,22,.818,10,50,18,4,2,19,19
27,26,2016-12-16,@,UTA,L,100,103,37,65,.569,8,22,.364,21,27,.778,8,41,18,4,3,16,23
28,27,2016-12-18,,SAC,W,99,79,30,76,.395,8,31,.258,11,17,.647,6,42,16,7,4,15,21
29,28,2016-12-19,@,DEN,L,107,117,45,80,.563,13,25,.520,14,18,.778,7,41,32,7,0,11,13
30,29,2016-12-21,@,POR,W,96,95,32,72,.444,10,27,.370,21,28,.750,9,43,15,6,4,17,20
31,30,2016-12-23,@,LAC,W,90,88,34,74,.459,13,29,.448,7,11,.636,6,41,17,9,4,20,16
32,31,2016-12-26,@,NOP,L,104,111,37,70,.529,12,25,.480,25,30,.833,5,41,24,6,3,10,19
33,32,2016-12-27,,HOU,L,107,123,41,78,.526,17,32,.531,24,28,.857,10,47,23,7,5,16,22
34,33,2016-12-29,@,LAL,W,101,89,32,68,.471,7,19,.368,18,25,.720,7,34,15,8,1,15,18
35,34,2016-12-30,@,GSW,L,99,108,42,84,.500,11,33,.333,13,15,.867,4,43,31,5,4,13,12
36,35,2017-01-03,,WAS,W,113,105,41,92,.446,11,30,.367,12,14,.857,5,38,27,6,7,9,19
37,36,2017-01-05,,PHO,L,95,102,38,85,.447,7,17,.412,19,22,.864,18,53,15,4,3,15,21
38,37,2017-01-07,,ATL,L,82,97,30,74,.405,11,22,.500,26,32,.813,6,47,19,8,1,10,15
39,38,2017-01-09,@,MIN,L,92,101,40,71,.563,6,16,.375,15,21,.714,9,42,30,11,4,18,24
40,39,2017-01-12,@,PHO,W,113,108,38,78,.487,10,18,.556,22,27,.815,13,47,15,2,4,19,23
41,40,2017-01-15,,MIN,W,98,87,35,80,.438,5,21,.238,12,18,.667,10,44,20,7,1,12,16
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2017-01-17,@,CHI,W,99,98,37,82,.451,6,14,.429,18,22,.818,11,43,23,6,3,13,22
45,42,2017-01-19,@,MIA,L,95,99,35,73,.479,9,20,.450,20,29,.690,6,40,16,4,1,13,15
46,43,2017-01-20,,UTA,L,107,112,38,83,.458,8,23,.348,28,39,.718,15,53,17,8,5,14,26
47,44,2017-01-22,,LAL,W,122,73,28,73,.384,3,21,.143,14,17,.824,5,32,11,3,4,17,20
48,45,2017-01-25,,NYK,W,103,95,39,92,.424,7,23,.304,10,12,.833,18,55,17,4,2,18,21
49,46,2017-01-26,@,OKC,L,98,109,37,72,.514,9,22,.409,26,36,.722,7,43,13,7,2,16,17
50,47,2017-01-29,@,SAS,W,105,101,39,83,.470,8,22,.364,15,23,.652,5,45,26,2,4,11,20
