,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-29,,DET,W,89,79,31,84,.369,6,26,.231,11,19,.579,8,45,15,4,5,15,27
1,2,2014-11-01,@,OKC,L,91,102,37,80,.463,6,20,.300,22,31,.710,6,41,24,8,6,13,20
2,3,2014-11-03,,SAC,L,105,110,34,81,.420,2,9,.222,40,47,.851,14,50,21,8,5,15,28
3,4,2014-11-05,@,SAC,L,109,131,42,76,.553,8,20,.400,39,50,.780,9,40,21,8,3,13,30
4,5,2014-11-07,,CLE,L,101,110,40,84,.476,6,23,.261,24,33,.727,6,42,25,5,3,8,14
5,6,2014-11-09,@,POR,L,100,116,45,100,.450,16,31,.516,10,14,.714,16,51,27,7,11,10,21
6,7,2014-11-12,,POR,L,113,130,45,88,.511,16,33,.485,24,29,.828,12,46,30,7,9,14,21
7,8,2014-11-14,@,IND,W,108,87,34,84,.405,8,22,.364,11,22,.500,11,42,17,2,7,13,19
8,9,2014-11-16,@,NYK,L,93,109,41,76,.539,6,14,.429,21,27,.778,8,43,16,9,3,15,22
9,10,2014-11-17,@,CLE,W,106,97,34,79,.430,10,29,.345,19,23,.826,9,42,18,7,8,15,15
10,11,2014-11-19,,OKC,W,107,100,36,79,.456,10,23,.435,18,25,.720,13,39,21,5,0,10,24
11,12,2014-11-21,,NOP,W,117,97,31,78,.397,5,16,.313,30,34,.882,8,40,19,7,3,12,22
12,13,2014-11-23,@,LAL,W,101,94,33,89,.371,3,24,.125,25,34,.735,9,50,15,10,6,13,28
13,14,2014-11-25,,CHI,W,114,109,35,82,.427,7,21,.333,32,37,.865,11,37,20,9,4,12,22
14,15,2014-11-26,@,PHO,L,112,120,45,88,.511,13,25,.520,17,21,.810,13,41,27,9,8,16,22
15,16,2014-11-28,,PHO,W,122,97,33,85,.388,8,23,.348,23,29,.793,9,34,14,4,5,15,27
16,17,2014-12-01,@,UTA,W,103,101,36,84,.429,7,18,.389,22,30,.733,14,48,18,3,6,14,15
17,18,2014-12-02,,POR,L,103,105,43,86,.500,5,22,.227,14,17,.824,4,37,26,7,5,12,19
