,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2020-12-23,,SAC,L,122,124,47,98,.480,8,29,.276,20,24,.833,10,46,28,6,11,15,25
1,2,2020-12-25,,LAC,L,108,121,37,81,.457,11,36,.306,23,31,.742,10,32,25,7,1,13,20
2,3,2020-12-28,,HOU,W,124,111,46,87,.529,14,31,.452,18,32,.563,11,52,31,8,7,14,18
3,4,2020-12-29,@,SAC,L,115,125,44,81,.543,11,28,.393,16,20,.800,7,39,27,7,5,19,18
4,5,2021-01-01,,PHO,L,103,106,39,86,.453,12,29,.414,13,16,.813,8,38,28,7,1,11,25
5,6,2021-01-03,@,MIN,W,124,109,45,92,.489,19,45,.422,15,21,.714,13,43,34,6,4,15,11
6,7,2021-01-05,,MIN,W,123,116,41,79,.519,8,25,.320,33,45,.733,10,42,22,9,2,14,27
7,8,2021-01-07,,DAL,L,117,124,43,97,.443,15,44,.341,16,21,.762,9,47,25,8,1,13,27
8,9,2021-01-09,@,PHI,W,115,103,45,90,.500,12,33,.364,13,15,.867,15,45,28,11,7,17,12
9,10,2021-01-10,@,NYK,W,114,89,45,84,.536,15,35,.429,9,12,.750,8,43,23,11,4,12,25
10,11,2021-01-12,@,BRK,L,116,122,44,88,.500,18,37,.486,10,16,.625,9,32,28,12,5,13,18
11,12,2021-01-14,,GSW,W,114,104,41,90,.456,11,37,.297,21,27,.778,10,50,29,11,5,13,23
12,13,2021-01-17,,UTA,L,105,109,40,100,.400,14,37,.378,11,15,.733,23,52,25,6,6,9,23
13,14,2021-01-19,,OKC,W,119,101,46,105,.438,14,42,.333,13,14,.929,18,58,29,11,3,14,22
14,15,2021-01-22,@,PHO,W,130,126,53,103,.515,6,26,.231,18,19,.947,10,43,32,12,1,9,15
15,16,2021-01-23,@,PHO,W,120,112,40,97,.412,15,36,.417,25,32,.781,12,65,22,4,3,16,20
16,17,2021-01-25,@,DAL,W,117,113,40,79,.506,15,35,.429,22,28,.786,14,49,25,9,4,16,20
17,18,2021-01-27,@,MIA,W,109,82,42,92,.457,14,43,.326,11,11,1.000,12,49,29,14,4,13,12
18,19,2021-01-29,@,SAS,L,109,119,41,78,.526,14,31,.452,13,20,.650,7,37,25,8,5,15,15
19,20,2021-01-31,,UTA,W,128,117,47,87,.540,18,28,.643,16,19,.842,7,39,28,8,2,8,27
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2021-02-04,@,LAL,L,93,114,36,92,.391,8,28,.286,13,15,.867,16,42,19,9,2,15,23
23,22,2021-02-06,@,SAC,L,114,119,45,97,.464,13,35,.371,11,14,.786,13,47,30,3,9,9,18
24,23,2021-02-08,,MIL,L,112,125,41,94,.436,15,36,.417,15,16,.938,8,38,22,5,4,9,15
25,24,2021-02-10,,CLE,W,133,95,51,85,.600,16,36,.444,15,21,.714,4,39,31,12,9,11,18
26,25,2021-02-12,,OKC,W,97,95,40,87,.460,10,40,.250,7,10,.700,7,41,24,6,6,13,14
27,26,2021-02-14,,LAL,W,122,105,39,85,.459,19,47,.404,25,34,.735,9,47,28,6,4,9,24
28,27,2021-02-16,@,BOS,L,99,112,38,84,.452,9,34,.265,14,15,.933,11,38,25,12,3,17,18
29,28,2021-02-17,@,WAS,L,128,130,48,92,.522,17,38,.447,15,18,.833,10,42,23,7,7,11,26
30,29,2021-02-19,@,CLE,W,120,103,46,80,.575,15,31,.484,13,17,.765,6,37,24,9,2,15,17
31,30,2021-02-21,@,ATL,L,115,123,43,84,.512,16,36,.444,13,16,.813,3,33,25,8,3,13,24
32,31,2021-02-23,,POR,W,111,106,40,94,.426,14,36,.389,17,18,.944,10,40,25,8,3,1,10
33,32,2021-02-25,,WAS,L,110,112,37,85,.435,15,38,.395,21,24,.875,12,44,23,6,7,18,20
34,33,2021-02-27,@,OKC,W,126,96,49,89,.551,15,31,.484,13,16,.813,6,49,30,6,3,12,16
35,34,2021-03-01,@,CHI,W,118,112,46,87,.529,10,27,.370,16,20,.800,9,50,22,4,6,12,18
36,35,2021-03-02,@,MIL,W,128,97,53,95,.558,11,30,.367,11,12,.917,9,45,28,10,3,10,19
37,36,2021-03-04,@,IND,W,113,103,45,77,.584,12,28,.429,11,16,.688,6,41,27,6,5,19,13
38,37,2021-03-12,@,MEM,W,103,102,41,92,.446,13,37,.351,8,11,.727,9,45,27,10,5,9,10
39,38,2021-03-13,,DAL,L,103,116,37,90,.411,16,41,.390,13,18,.722,12,42,27,5,1,10,19
40,39,2021-03-15,,IND,W,121,106,45,97,.464,15,28,.536,16,19,.842,17,54,32,7,7,10,15
41,40,2021-03-17,,CHO,W,129,104,52,90,.578,16,44,.364,9,13,.692,8,48,37,12,3,15,22
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2021-03-19,,CHI,W,131,127,48,91,.527,14,34,.412,21,27,.778,9,43,29,10,3,13,22
45,42,2021-03-21,,NOP,L,108,113,44,88,.500,12,34,.353,8,10,.800,10,37,30,9,5,15,28
46,43,2021-03-23,@,ORL,W,110,99,45,91,.495,8,30,.267,12,13,.923,13,52,25,12,7,10,13
47,44,2021-03-24,@,TOR,L,111,135,41,98,.418,14,43,.326,15,18,.833,17,46,25,5,2,11,19
48,45,2021-03-26,@,NOP,W,113,108,47,93,.505,14,28,.500,5,7,.714,11,36,28,7,7,8,16
49,46,2021-03-28,,ATL,W,126,102,50,92,.543,15,36,.417,11,16,.688,15,49,32,7,3,10,15
50,47,2021-03-30,,PHI,W,104,95,39,81,.481,12,31,.387,14,17,.824,9,51,26,9,6,20,16
51,48,2021-04-01,@,LAC,W,101,94,39,81,.481,13,25,.520,10,14,.714,7,38,28,6,5,13,16
52,49,2021-04-04,,ORL,W,119,109,43,88,.489,9,29,.310,24,31,.774,19,54,27,6,5,14,14
53,50,2021-04-06,,DET,W,134,119,56,94,.596,14,31,.452,8,9,.889,13,44,36,7,5,10,20
54,51,2021-04-07,,SAS,W,106,96,40,91,.440,8,26,.308,18,24,.750,12,53,26,10,6,17,18
55,52,2021-04-09,,SAS,W,121,119,43,79,.544,14,27,.519,21,23,.913,9,46,32,5,4,18,22
56,53,2021-04-11,,BOS,L,87,105,32,88,.364,8,34,.235,15,18,.833,13,46,23,5,4,9,20
57,54,2021-04-12,@,GSW,L,107,116,39,83,.470,8,26,.308,21,25,.840,10,41,23,11,2,19,24
58,55,2021-04-14,,MIA,W,123,106,48,89,.539,17,36,.472,10,13,.769,11,43,32,5,7,10,19
59,56,2021-04-16,@,HOU,W,128,99,46,94,.489,9,31,.290,27,31,.871,18,54,22,11,3,9,15
60,57,2021-04-19,,MEM,W,139,137,51,102,.500,15,39,.385,22,26,.846,13,58,30,6,6,24,19
61,58,2021-04-21,@,POR,W,106,105,39,88,.443,13,39,.333,15,17,.882,16,46,24,7,5,13,16
62,59,2021-04-23,@,GSW,L,97,118,34,88,.386,13,46,.283,16,20,.800,6,36,26,9,7,9,14
63,60,2021-04-24,,HOU,W,129,116,50,84,.595,16,37,.432,13,16,.813,1,36,36,8,8,14,22
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2021-04-26,,MEM,W,120,96,45,94,.479,11,33,.333,19,22,.864,8,48,25,8,3,11,20
67,62,2021-04-28,,NOP,W,114,112,43,85,.506,10,32,.313,18,23,.783,3,38,26,14,8,18,17
68,63,2021-04-29,,TOR,W,121,111,44,93,.473,12,35,.343,21,26,.808,14,47,22,6,7,11,16
69,64,2021-05-01,@,LAC,W,110,104,39,80,.488,12,32,.375,20,21,.952,8,44,26,2,4,10,23
70,65,2021-05-03,@,LAL,L,89,93,36,82,.439,6,24,.250,11,16,.688,6,41,22,10,7,12,24
71,66,2021-05-05,,NYK,W,113,97,37,97,.381,12,39,.308,27,33,.818,17,63,23,13,7,13,24
72,67,2021-05-07,@,UTA,L,120,127,43,83,.518,17,38,.447,17,20,.850,9,38,31,8,3,17,16
