,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2019-10-23,@,IND,W,119,110,41,89,.461,8,21,.381,20,24,.833,10,36,26,8,6,15,28
1,2,2019-10-24,,ATL,L,100,117,44,86,.512,11,31,.355,18,21,.857,8,42,27,9,2,13,15
2,3,2019-10-26,,PHI,L,111,117,42,87,.483,13,34,.382,20,30,.667,6,38,30,14,3,22,26
3,4,2019-10-28,,IND,W,96,94,39,94,.415,6,21,.286,10,13,.769,13,45,24,11,4,7,18
4,5,2019-10-30,@,TOR,L,113,125,51,86,.593,13,27,.481,10,12,.833,3,34,30,12,2,14,22
5,6,2019-11-01,@,CHI,L,106,112,39,89,.438,16,40,.400,18,23,.783,11,42,29,6,1,17,18
6,7,2019-11-02,,BRK,W,113,109,43,93,.462,10,32,.313,13,17,.765,10,48,24,4,4,14,24
7,8,2019-11-04,@,WAS,L,99,115,43,93,.462,8,29,.276,21,25,.840,13,41,27,9,7,11,23
8,9,2019-11-06,,NYK,W,122,102,39,80,.488,11,25,.440,13,21,.619,5,30,24,9,4,13,20
9,10,2019-11-08,@,IND,L,106,112,43,83,.518,4,15,.267,22,25,.880,10,44,23,6,8,12,16
10,11,2019-11-11,,MIN,L,114,120,45,89,.506,15,34,.441,15,19,.789,11,45,25,7,6,16,23
11,12,2019-11-12,@,MIA,L,108,117,41,77,.532,14,32,.438,21,27,.778,8,42,34,6,1,19,30
12,13,2019-11-15,@,CHO,L,106,109,43,96,.448,13,35,.371,10,16,.625,14,41,22,10,3,10,17
13,14,2019-11-20,@,CHI,L,89,109,39,91,.429,14,27,.519,17,26,.654,12,55,25,9,7,14,24
14,15,2019-11-22,,ATL,W,128,103,38,88,.432,10,37,.270,17,17,1.000,10,34,26,12,2,19,18
15,16,2019-11-23,@,MIL,L,90,104,41,84,.488,13,37,.351,9,18,.500,9,49,25,10,8,21,14
16,17,2019-11-25,,ORL,W,103,88,32,84,.381,8,25,.320,16,22,.727,8,41,15,8,7,9,21
17,18,2019-11-27,@,CHO,L,101,102,39,88,.443,7,30,.233,17,20,.850,10,41,27,3,7,3,18
18,19,2019-11-29,,CHO,L,107,110,40,83,.482,19,38,.500,11,15,.733,11,37,26,8,6,10,17
19,20,2019-12-01,,SAS,W,132,98,36,88,.409,7,26,.269,19,22,.864,7,31,20,11,6,8,15
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2019-12-03,@,CLE,W,127,94,38,90,.422,8,27,.296,10,14,.714,12,40,16,6,6,13,11
23,22,2019-12-04,,MIL,L,103,127,44,90,.489,14,35,.400,25,27,.926,10,55,25,7,8,14,18
24,23,2019-12-06,,IND,W,108,101,38,83,.458,9,24,.375,16,20,.800,5,33,24,8,9,11,18
25,24,2019-12-09,@,NOP,W,105,103,40,91,.440,8,38,.211,15,22,.682,10,45,24,6,1,12,22
26,25,2019-12-12,,DAL,L,111,122,45,88,.511,16,44,.364,16,23,.696,11,52,25,4,5,11,21
27,26,2019-12-14,@,HOU,W,115,107,41,102,.402,13,45,.289,12,18,.667,11,46,18,9,8,11,19
28,27,2019-12-16,,WAS,L,119,133,49,88,.557,18,34,.529,17,21,.810,7,35,31,6,5,15,27
29,28,2019-12-18,,TOR,L,99,112,39,91,.429,13,35,.371,21,24,.875,12,47,27,9,6,12,20
30,29,2019-12-20,@,BOS,L,93,114,45,86,.523,9,27,.333,15,21,.714,13,51,24,13,9,20,19
31,30,2019-12-21,,CHI,L,107,119,40,77,.519,18,35,.514,21,25,.840,11,46,21,8,4,18,13
32,31,2019-12-23,,PHI,L,109,125,52,95,.547,12,30,.400,9,11,.818,17,48,33,8,8,12,21
33,32,2019-12-26,,WAS,W,132,102,38,92,.413,7,24,.292,19,27,.704,18,44,18,7,5,12,25
34,33,2019-12-28,@,SAS,L,109,136,53,93,.570,18,35,.514,12,15,.800,7,51,30,8,7,11,20
35,34,2019-12-30,@,UTA,L,81,104,39,83,.470,10,26,.385,16,20,.800,9,46,20,7,6,14,21
36,35,2020-01-02,@,LAC,L,112,126,50,92,.543,11,28,.393,15,21,.714,11,51,29,6,11,15,22
37,36,2020-01-04,@,GSW,W,111,104,33,82,.402,11,21,.524,27,32,.844,11,42,26,13,3,14,19
38,37,2020-01-05,@,LAL,L,99,106,42,92,.457,6,20,.300,16,23,.696,11,50,23,8,20,13,22
39,38,2020-01-07,@,CLE,W,115,113,42,85,.494,14,31,.452,15,16,.938,11,46,29,7,4,16,19
40,39,2020-01-09,,CLE,L,112,115,48,91,.527,5,20,.250,14,20,.700,10,39,24,9,5,14,18
41,40,2020-01-11,,CHI,L,99,108,42,83,.506,11,35,.314,13,14,.929,9,38,24,11,6,14,21
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2020-01-13,,NOP,L,110,117,43,103,.417,9,26,.346,22,27,.815,17,61,23,6,5,19,19
45,42,2020-01-15,@,BOS,W,116,103,41,83,.494,9,28,.321,12,20,.600,13,44,21,7,2,15,17
46,43,2020-01-18,@,ATL,W,136,103,40,93,.430,10,34,.294,13,15,.867,10,32,18,9,6,19,20
47,44,2020-01-20,@,WAS,L,100,106,42,82,.512,9,24,.375,13,16,.813,6,44,22,9,6,19,23
48,45,2020-01-22,,SAC,W,127,106,42,98,.429,10,35,.286,12,23,.522,12,45,23,10,1,10,28
49,46,2020-01-24,,MEM,L,112,125,43,79,.544,11,22,.500,28,31,.903,8,49,27,6,4,14,23
50,47,2020-01-25,,BRK,L,111,121,42,94,.447,15,42,.357,22,25,.880,11,55,19,3,5,10,17
51,48,2020-01-27,,CLE,L,100,115,48,96,.500,9,24,.375,10,13,.769,11,45,25,9,6,13,21
52,49,2020-01-29,@,BRK,L,115,125,43,85,.506,15,39,.385,24,30,.800,8,37,26,8,7,9,19
53,50,2020-01-31,,TOR,L,92,105,44,85,.518,9,27,.333,8,11,.727,7,42,26,6,7,14,27
54,51,2020-02-02,,DEN,W,128,123,48,96,.500,10,32,.313,17,22,.773,14,47,30,7,7,9,19
55,52,2020-02-03,@,MEM,L,82,96,42,90,.467,2,17,.118,10,12,.833,7,47,27,6,12,11,18
56,53,2020-02-05,,PHO,W,116,108,42,77,.545,12,26,.462,12,15,.800,7,37,29,4,5,15,21
57,54,2020-02-07,@,OKC,L,101,108,39,76,.513,5,23,.217,25,30,.833,9,42,21,4,6,11,23
58,55,2020-02-08,,NYK,L,92,95,38,85,.447,8,22,.364,11,17,.647,16,47,24,5,6,15,21
59,56,2020-02-10,,CHO,L,76,87,33,88,.375,9,36,.250,12,14,.857,13,45,19,10,3,10,15
60,57,2020-02-12,@,ORL,L,112,116,44,96,.458,12,36,.333,16,18,.889,9,46,34,13,7,12,16
61,58,2020-02-20,,MIL,L,106,126,47,93,.505,10,33,.303,22,27,.815,8,41,24,14,3,7,15
62,59,2020-02-23,@,POR,L,104,107,41,84,.488,13,30,.433,12,19,.632,9,41,20,6,5,10,18
63,60,2020-02-25,@,DEN,L,98,115,44,76,.579,9,19,.474,18,22,.818,9,41,33,12,3,18,20
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2020-02-28,@,PHO,W,113,111,45,75,.600,9,23,.391,12,17,.706,5,38,31,9,5,18,14
67,62,2020-03-01,@,SAC,L,100,106,37,91,.407,9,35,.257,23,26,.885,17,51,18,8,7,10,20
68,63,2020-03-04,,OKC,L,107,114,46,75,.613,10,24,.417,12,17,.706,2,33,25,13,8,14,18
69,64,2020-03-07,,UTA,L,105,111,40,77,.519,10,33,.303,21,28,.750,9,40,17,10,4,9,19
70,65,2020-03-08,@,NYK,L,84,96,36,82,.439,6,19,.316,18,25,.720,13,51,15,10,5,9,16
71,66,2020-03-11,@,PHI,L,106,124,42,83,.506,14,33,.424,26,32,.813,13,50,28,7,4,13,18
