,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2022-10-19,,ORL,W,113,109,40,94,.426,14,38,.368,19,24,.792,12,41,31,11,4,12,21
1,2,2022-10-21,@,NYK,L,106,130,39,90,.433,9,36,.250,19,32,.594,13,49,26,6,2,15,21
2,3,2022-10-22,@,IND,L,115,124,37,95,.389,18,42,.429,23,30,.767,17,53,26,5,3,13,20
3,4,2022-10-25,@,WAS,L,99,120,36,88,.409,8,28,.286,19,25,.760,11,41,12,6,1,13,26
4,5,2022-10-26,,ATL,L,113,118,42,91,.462,14,32,.438,15,22,.682,10,40,23,4,6,13,25
5,6,2022-10-28,,ATL,L,112,136,37,86,.430,7,32,.219,31,38,.816,14,42,18,2,4,10,22
6,7,2022-10-30,,GSW,W,128,114,40,83,.482,14,33,.424,34,38,.895,12,47,24,4,3,15,25
7,8,2022-10-31,@,MIL,L,108,110,41,92,.446,8,29,.276,18,21,.857,13,43,19,9,3,12,24
8,9,2022-11-02,@,MIL,L,91,116,33,79,.418,11,31,.355,14,15,.933,2,35,18,7,3,21,22
9,10,2022-11-04,,CLE,L,88,112,31,83,.373,13,37,.351,13,15,.867,9,34,16,10,6,18,22
10,11,2022-11-07,,OKC,W,112,103,39,93,.419,9,33,.273,25,33,.758,16,58,20,6,9,14,19
11,12,2022-11-09,@,BOS,L,112,128,37,89,.416,7,33,.212,31,40,.775,15,48,15,7,3,10,19
12,13,2022-11-11,@,NYK,L,112,121,37,80,.463,7,31,.226,31,41,.756,12,43,22,6,6,15,23
13,14,2022-11-12,,BOS,L,108,117,37,89,.416,16,38,.421,18,21,.857,11,50,23,4,3,14,23
14,15,2022-11-14,,TOR,L,111,115,35,77,.455,10,31,.323,31,43,.721,11,39,23,8,2,19,23
15,16,2022-11-17,@,LAC,L,91,96,33,88,.375,6,31,.194,19,24,.792,10,43,15,9,7,12,26
16,17,2022-11-18,@,LAL,L,121,128,43,92,.467,11,34,.324,24,32,.750,10,37,27,9,4,11,30
17,18,2022-11-20,@,SAC,L,129,137,47,89,.528,15,29,.517,20,23,.870,10,35,20,4,3,12,24
18,19,2022-11-22,@,DEN,W,110,108,45,88,.511,8,28,.286,12,14,.857,12,40,27,7,5,16,24
19,20,2022-11-23,@,UTA,W,125,116,44,89,.494,12,24,.500,25,27,.926,8,38,24,9,2,7,20
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2022-11-25,@,PHO,L,102,108,39,92,.424,9,26,.346,15,16,.938,19,49,21,6,3,18,22
23,22,2022-11-27,,CLE,L,94,102,36,79,.456,8,28,.286,14,26,.538,7,36,14,9,6,13,26
24,23,2022-11-29,,NYK,L,110,140,42,83,.506,13,39,.333,13,20,.650,7,30,28,7,4,16,17
25,24,2022-12-01,,DAL,W,131,125,51,94,.543,15,35,.429,14,24,.583,13,52,29,9,0,13,26
26,25,2022-12-04,,MEM,L,112,122,37,84,.440,13,35,.371,25,30,.833,8,39,26,7,7,14,24
27,26,2022-12-06,@,MIA,W,116,96,43,87,.494,19,41,.463,11,15,.733,9,40,27,8,1,12,19
28,27,2022-12-07,@,NOP,L,98,104,35,90,.389,15,42,.357,13,16,.813,8,42,17,5,1,12,23
29,28,2022-12-09,@,MEM,L,103,114,36,90,.400,11,35,.314,20,27,.741,13,47,23,6,7,19,29
30,29,2022-12-11,,LAL,L,117,124,43,93,.462,17,45,.378,14,17,.824,10,40,28,9,3,12,19
31,30,2022-12-14,@,CHO,W,141,134,48,93,.516,18,40,.450,27,36,.750,12,52,25,0,8,15,29
32,31,2022-12-16,,SAC,L,113,122,39,85,.459,10,29,.345,25,31,.806,14,46,22,7,1,16,26
33,32,2022-12-18,,BRK,L,121,124,42,88,.477,8,30,.267,29,34,.853,11,41,20,9,2,8,19
34,33,2022-12-20,,UTA,L,111,126,41,81,.506,9,25,.360,20,27,.741,9,43,22,6,1,14,19
35,34,2022-12-21,@,PHI,L,93,113,31,79,.392,6,23,.261,25,34,.735,11,46,15,6,1,22,15
36,35,2022-12-23,@,ATL,L,105,130,37,90,.411,9,33,.273,22,29,.759,9,43,17,7,3,14,19
37,36,2022-12-26,,LAC,L,131,142,44,100,.440,16,34,.471,27,34,.794,16,45,32,10,4,17,23
38,37,2022-12-28,,ORL,W,121,101,36,80,.450,18,42,.429,31,40,.775,11,49,25,7,4,13,25
39,38,2022-12-30,@,CHI,L,118,132,41,86,.477,17,39,.436,19,24,.792,13,35,28,8,1,14,16
40,39,2022-12-31,@,MIN,W,116,104,43,89,.483,10,27,.370,20,28,.714,15,52,21,6,6,14,22
41,40,2023-01-02,@,POR,L,106,135,34,82,.415,6,18,.333,32,41,.780,9,45,16,8,4,21,27
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2023-01-04,@,GSW,W,122,119,45,92,.489,16,36,.444,16,23,.696,11,41,29,9,1,8,11
45,42,2023-01-06,@,SAS,L,109,121,44,93,.473,11,31,.355,10,17,.588,15,37,23,11,0,15,22
46,43,2023-01-08,,PHI,L,111,123,44,87,.506,8,23,.348,15,18,.833,10,43,25,9,2,23,20
47,44,2023-01-10,@,PHI,L,116,147,36,89,.404,14,39,.359,30,36,.833,3,26,23,9,5,11,22
48,45,2023-01-11,,MIN,W,135,118,48,80,.600,17,32,.531,22,28,.786,7,38,30,10,7,16,20
49,46,2023-01-13,,NOP,L,110,116,43,90,.478,7,30,.233,17,24,.708,7,42,20,7,3,13,23
50,47,2023-01-15,,NYK,L,104,117,37,83,.446,18,44,.409,12,15,.800,9,38,23,4,4,11,22
51,48,2023-01-19,,CHI,L,108,126,39,97,.402,8,34,.235,22,27,.815,17,49,25,7,3,15,15
52,49,2023-01-23,,MIL,L,130,150,43,87,.494,13,32,.406,31,40,.775,11,41,26,10,3,20,21
53,50,2023-01-26,@,BRK,W,130,122,48,95,.505,11,27,.407,23,26,.885,15,48,27,12,5,11,22
54,51,2023-01-28,,HOU,L,114,117,38,83,.458,14,38,.368,24,31,.774,8,35,23,10,5,16,25
55,52,2023-01-30,@,DAL,L,105,111,36,79,.456,14,39,.359,19,27,.704,9,40,18,9,6,14,31
56,53,2023-02-03,,CHO,W,118,112,44,86,.512,14,32,.438,16,23,.696,12,51,27,7,3,22,22
57,54,2023-02-04,,PHO,L,100,116,35,81,.432,16,42,.381,14,22,.636,9,30,23,8,2,16,27
58,55,2023-02-06,,BOS,L,99,111,37,87,.425,9,33,.273,16,21,.762,9,42,22,9,6,9,20
59,56,2023-02-08,@,CLE,L,85,113,30,81,.370,8,32,.250,17,18,.944,9,32,19,8,6,13,21
60,57,2023-02-10,,SAS,W,138,131,46,107,.430,7,37,.189,39,49,.796,21,62,29,6,5,15,29
61,58,2023-02-12,@,TOR,L,118,119,40,79,.506,13,34,.382,25,32,.781,6,32,25,3,4,16,26
62,59,2023-02-15,@,BOS,L,109,127,43,84,.512,11,29,.379,12,16,.750,6,35,24,6,4,14,16
63,60,2023-02-23,@,ORL,L,106,108,37,81,.457,17,34,.500,15,19,.789,6,45,22,5,7,19,25
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2023-02-25,,TOR,L,91,95,38,94,.404,6,24,.250,9,14,.643,17,62,26,4,5,13,27
67,62,2023-02-27,@,CHO,L,106,117,42,92,.457,3,26,.115,19,27,.704,10,39,18,12,3,9,18
