,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2017-10-17,,HOU,L,121,122,47,97,.485,15,41,.366,13,19,.684,10,43,28,9,5,12,16
1,2,2017-10-20,@,NOP,W,128,120,45,98,.459,16,36,.444,14,22,.636,16,51,26,8,4,17,19
2,3,2017-10-21,@,MEM,L,101,111,36,77,.468,10,27,.370,29,37,.784,6,40,20,8,4,14,25
3,4,2017-10-23,@,DAL,W,133,103,38,96,.396,9,29,.310,18,30,.600,14,42,21,11,0,12,20
4,5,2017-10-25,,TOR,W,117,112,43,94,.457,8,34,.235,18,19,.947,17,42,30,10,6,16,16
5,6,2017-10-27,,WAS,W,120,117,43,97,.443,15,33,.455,16,22,.727,12,41,30,7,6,14,21
6,7,2017-10-29,,DET,L,107,115,43,93,.462,12,27,.444,17,17,1.000,17,37,22,16,0,13,9
7,8,2017-10-30,@,LAC,W,141,113,39,86,.453,10,25,.400,25,30,.833,9,35,21,4,3,12,20
8,9,2017-11-02,@,SAS,W,112,92,34,87,.391,7,24,.292,17,23,.739,14,46,19,6,8,16,10
9,10,2017-11-04,@,DEN,W,127,108,40,87,.460,6,24,.250,22,27,.815,9,46,26,9,6,17,18
10,11,2017-11-06,,MIA,W,97,80,30,83,.361,8,26,.308,12,17,.706,7,44,19,10,6,20,20
11,12,2017-11-08,,MIN,W,125,101,38,92,.413,5,24,.208,20,27,.741,9,41,21,15,0,13,14
12,13,2017-11-11,,PHI,W,135,114,44,94,.468,12,28,.429,14,20,.700,13,38,30,10,2,19,19
13,14,2017-11-13,,ORL,W,110,100,37,88,.420,10,32,.313,16,18,.889,4,35,26,10,3,11,18
14,15,2017-11-16,@,BOS,L,88,92,26,79,.329,7,32,.219,33,38,.868,7,52,15,8,5,15,15
15,16,2017-11-18,@,PHI,W,124,116,47,97,.485,10,29,.345,12,16,.750,11,40,28,8,5,11,22
16,17,2017-11-19,@,BRK,W,118,111,34,95,.358,16,48,.333,27,39,.692,13,52,24,7,2,13,21
17,18,2017-11-22,@,OKC,L,91,108,41,90,.456,8,25,.320,18,26,.692,13,50,16,15,5,16,21
18,19,2017-11-24,,CHI,W,143,94,35,99,.354,13,36,.361,11,15,.733,13,40,18,7,2,15,17
19,20,2017-11-25,,NOP,W,110,95,34,84,.405,11,31,.355,16,23,.696,9,45,24,2,9,17,24
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2017-11-27,,SAC,L,106,110,42,79,.532,9,17,.529,17,21,.810,11,36,27,7,6,13,15
23,22,2017-11-29,@,LAL,W,127,123,47,95,.495,9,24,.375,20,25,.800,7,34,30,12,5,17,23
24,23,2017-12-01,@,ORL,W,133,112,44,96,.458,11,28,.393,13,18,.722,13,35,23,9,4,14,15
25,24,2017-12-03,@,MIA,W,123,95,33,81,.407,14,37,.378,15,17,.882,5,28,17,5,4,11,15
26,25,2017-12-04,@,NOP,W,125,115,45,91,.495,16,39,.410,9,15,.600,11,47,33,11,4,21,26
27,26,2017-12-06,@,CHO,W,101,87,34,97,.351,6,19,.316,13,17,.765,14,49,17,5,3,12,13
28,27,2017-12-08,@,DET,W,102,98,38,92,.413,12,27,.444,10,19,.526,15,49,20,8,2,11,17
29,28,2017-12-11,,POR,W,111,104,37,88,.420,7,28,.250,23,25,.920,12,39,14,11,2,9,18
30,29,2017-12-14,,DAL,W,112,97,37,82,.451,10,29,.345,13,17,.765,8,31,25,7,1,11,16
31,30,2017-12-18,@,LAL,W,116,114,41,92,.446,10,25,.400,22,35,.629,7,45,23,9,9,12,26
32,31,2017-12-20,,MEM,W,97,84,28,84,.333,12,31,.387,16,19,.842,15,41,20,10,6,16,23
33,32,2017-12-22,,LAL,W,113,106,40,94,.426,11,29,.379,15,22,.682,15,46,22,11,5,15,23
34,33,2017-12-23,,DEN,L,81,96,38,82,.463,7,28,.250,13,15,.867,10,45,25,10,4,18,14
35,34,2017-12-25,,CLE,W,99,92,28,88,.318,15,36,.417,21,25,.840,19,50,12,8,0,14,19
36,35,2017-12-27,,UTA,W,126,101,37,92,.402,6,23,.261,21,27,.778,10,43,21,10,2,13,22
37,36,2017-12-29,,CHO,L,100,111,41,89,.461,6,20,.300,23,34,.676,13,47,27,12,6,10,10
