,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2017-10-17,,HOU,L,121,122,43,80,.538,16,30,.533,19,21,.905,6,41,34,5,9,17,25
1,2,2017-10-20,@,NOP,W,128,120,47,92,.511,18,41,.439,16,20,.800,10,49,29,6,8,18,23
2,3,2017-10-21,@,MEM,L,101,111,33,84,.393,12,38,.316,23,27,.852,12,46,20,10,7,17,28
3,4,2017-10-23,@,DAL,W,133,103,48,86,.558,15,39,.385,22,26,.846,10,50,33,6,8,16,23
4,5,2017-10-25,,TOR,W,117,112,43,77,.558,12,26,.462,19,22,.864,6,37,32,10,7,17,15
5,6,2017-10-27,,WAS,W,120,117,46,95,.484,10,38,.263,18,20,.900,15,53,33,7,13,17,20
6,7,2017-10-29,,DET,L,107,115,44,77,.571,10,27,.370,9,12,.750,10,40,29,3,11,25,14
7,8,2017-10-30,@,LAC,W,141,113,52,89,.584,14,29,.483,23,30,.767,14,46,37,8,8,12,23
8,9,2017-11-02,@,SAS,W,112,92,43,83,.518,14,28,.500,12,16,.750,5,41,30,11,12,14,20
9,10,2017-11-04,@,DEN,W,127,108,50,91,.549,18,40,.450,9,17,.529,7,41,38,13,4,13,23
10,11,2017-11-06,,MIA,W,97,80,32,87,.368,11,32,.344,22,24,.917,13,51,20,12,10,14,21
11,12,2017-11-08,,MIN,W,125,101,48,85,.565,15,36,.417,14,18,.778,3,45,37,10,9,19,23
12,13,2017-11-11,,PHI,W,135,114,48,82,.585,14,27,.519,25,26,.962,4,39,31,15,11,22,23
13,14,2017-11-13,,ORL,W,110,100,44,88,.500,8,23,.348,14,16,.875,12,50,35,4,5,16,21
14,15,2017-11-16,@,BOS,L,88,92,33,82,.402,10,32,.313,12,19,.632,7,47,22,9,10,15,24
15,16,2017-11-18,@,PHI,W,124,116,50,91,.549,7,23,.304,17,20,.850,11,48,25,5,6,12,18
16,17,2017-11-19,@,BRK,W,118,111,46,90,.511,10,24,.417,16,23,.696,6,57,29,8,14,15,27
17,18,2017-11-22,@,OKC,L,91,108,33,80,.413,10,31,.323,15,18,.833,7,39,22,11,8,22,20
18,19,2017-11-24,,CHI,W,143,94,53,91,.582,16,36,.444,21,21,1.000,6,49,36,11,11,11,15
19,20,2017-11-25,,NOP,W,110,95,39,94,.415,10,33,.303,22,27,.815,11,44,30,11,6,9,24
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2017-11-27,,SAC,L,106,110,40,80,.500,16,37,.432,10,14,.714,9,36,31,9,6,14,15
23,22,2017-11-29,@,LAL,W,127,123,47,94,.500,12,30,.400,21,28,.750,12,49,30,10,4,22,19
24,23,2017-12-01,@,ORL,W,133,112,55,88,.625,12,24,.500,11,11,1.000,7,42,46,9,11,19,16
25,24,2017-12-03,@,MIA,W,123,95,47,84,.560,11,30,.367,18,24,.750,7,41,32,4,4,9,14
26,25,2017-12-04,@,NOP,W,125,115,45,87,.517,16,33,.485,19,27,.704,5,40,36,14,5,16,17
27,26,2017-12-06,@,CHO,W,101,87,40,84,.476,11,30,.367,10,13,.769,8,47,26,8,12,15,20
28,27,2017-12-08,@,DET,W,102,98,39,81,.481,7,26,.269,17,22,.773,5,45,29,5,15,14,19
29,28,2017-12-11,,POR,W,111,104,44,80,.550,10,20,.500,13,17,.765,6,42,26,5,9,14,16
30,29,2017-12-14,,DAL,W,112,97,47,78,.603,11,22,.500,7,9,.778,4,41,35,7,4,16,22
31,30,2017-12-18,@,LAL,W,116,114,43,107,.402,11,34,.324,19,21,.905,15,61,25,6,10,14,26
32,31,2017-12-20,,MEM,W,97,84,34,74,.459,7,21,.333,22,25,.880,14,44,26,9,8,16,19
33,32,2017-12-22,,LAL,W,113,106,42,85,.494,7,24,.292,22,27,.815,10,42,24,9,13,15,17
34,33,2017-12-23,,DEN,L,81,96,32,84,.381,3,27,.111,14,17,.824,11,38,25,14,8,16,14
35,34,2017-12-25,,CLE,W,99,92,38,82,.463,10,37,.270,13,17,.765,10,47,28,7,7,15,18
36,35,2017-12-27,,UTA,W,126,101,51,86,.593,11,23,.478,13,17,.765,4,50,37,8,7,16,18
37,36,2017-12-29,,CHO,L,100,111,40,87,.460,8,22,.364,12,13,.923,8,43,32,6,5,17,25
38,37,2017-12-30,,MEM,W,141,128,50,85,.588,18,33,.545,23,25,.920,7,38,37,3,6,10,17
39,38,2018-01-03,@,DAL,W,125,122,48,91,.527,13,32,.406,16,19,.842,7,46,36,8,7,14,21
40,39,2018-01-04,@,HOU,W,124,114,48,87,.552,13,30,.433,15,20,.750,6,45,35,6,6,12,18
41,40,2018-01-06,@,LAC,W,121,105,39,94,.415,13,39,.333,30,37,.811,14,54,31,13,10,16,25
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2018-01-08,,DEN,W,124,114,48,85,.565,13,30,.433,15,21,.714,10,43,33,7,10,16,15
45,42,2018-01-10,,LAC,L,106,125,38,79,.481,8,23,.348,22,26,.846,4,33,26,9,6,16,21
46,43,2018-01-12,@,MIL,W,108,94,44,79,.557,5,15,.333,15,18,.833,10,43,28,7,3,11,13
47,44,2018-01-13,@,TOR,W,127,125,47,81,.580,9,24,.375,24,28,.857,3,30,28,4,3,6,20
48,45,2018-01-15,@,CLE,W,118,108,41,85,.482,12,32,.375,24,30,.800,13,48,33,8,6,16,23
49,46,2018-01-17,@,CHI,W,119,112,42,84,.500,13,33,.394,22,25,.880,5,49,24,5,3,15,16
50,47,2018-01-20,@,HOU,L,108,116,40,82,.488,17,36,.472,11,15,.733,4,33,31,8,10,19,24
51,48,2018-01-23,,NYK,W,123,112,46,83,.554,13,30,.433,18,20,.900,3,36,40,6,3,12,16
52,49,2018-01-25,,MIN,W,126,113,48,89,.539,21,37,.568,9,15,.600,11,47,37,9,8,15,17
53,50,2018-01-27,,BOS,W,109,105,38,84,.452,10,27,.370,23,26,.885,10,43,19,9,9,11,17
54,51,2018-01-30,@,UTA,L,99,129,39,85,.459,5,25,.200,16,21,.762,11,37,27,10,7,19,16
55,52,2018-02-02,@,SAC,W,119,104,44,80,.550,17,33,.515,14,16,.875,7,51,25,8,4,25,19
56,53,2018-02-03,@,DEN,L,108,115,43,86,.500,8,31,.258,14,23,.609,11,42,28,9,10,13,23
57,54,2018-02-06,,OKC,L,105,125,37,76,.487,8,28,.286,23,31,.742,10,45,27,7,8,25,24
58,55,2018-02-08,,DAL,W,121,103,45,88,.511,14,29,.483,17,20,.850,18,51,37,6,7,16,18
59,56,2018-02-10,,SAS,W,122,105,48,85,.565,12,27,.444,14,15,.933,11,44,35,5,6,16,18
60,57,2018-02-12,,PHO,W,129,83,52,89,.584,11,26,.423,14,21,.667,7,49,36,8,16,11,18
61,58,2018-02-14,@,POR,L,117,123,43,90,.478,13,37,.351,18,19,.947,8,41,24,8,7,16,24
62,59,2018-02-22,,LAC,W,134,127,47,77,.610,14,25,.560,26,34,.765,3,32,31,8,8,15,24
63,60,2018-02-24,,OKC,W,112,80,42,89,.472,17,38,.447,11,13,.846,12,54,36,8,6,14,21
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2018-02-26,@,NYK,W,125,111,44,85,.518,15,31,.484,22,26,.846,8,43,31,8,5,12,13
67,62,2018-02-28,@,WAS,W,109,101,37,72,.514,10,24,.417,25,30,.833,3,36,24,10,8,14,21
68,63,2018-03-02,@,ATL,W,114,109,42,79,.532,11,31,.355,19,22,.864,2,35,33,12,5,18,20
69,64,2018-03-06,,BRK,W,114,101,47,83,.566,11,23,.478,9,11,.818,5,41,30,8,7,17,18
70,65,2018-03-08,,SAS,W,110,107,41,95,.432,8,30,.267,20,23,.870,12,49,30,6,12,10,18
71,66,2018-03-09,@,POR,L,108,125,38,78,.487,12,28,.429,20,24,.833,6,33,20,5,3,10,20
72,67,2018-03-11,@,MIN,L,103,109,37,91,.407,10,36,.278,19,21,.905,12,50,22,6,7,13,17
73,68,2018-03-14,,LAL,W,117,106,44,81,.543,6,20,.300,23,28,.821,11,50,25,8,6,21,24
74,69,2018-03-16,,SAC,L,93,98,34,81,.420,12,26,.462,13,18,.722,9,40,21,10,5,11,21
75,70,2018-03-17,@,PHO,W,124,109,50,95,.526,13,31,.419,11,14,.786,9,43,29,8,9,12,21
76,71,2018-03-19,@,SAS,L,75,89,30,74,.405,3,19,.158,12,16,.750,2,36,17,7,9,15,24
77,72,2018-03-23,,ATL,W,106,94,42,93,.452,12,30,.400,10,11,.909,10,46,28,8,6,7,17
78,73,2018-03-25,,UTA,L,91,110,38,91,.418,6,15,.400,9,10,.900,14,41,24,9,7,11,19
79,74,2018-03-27,,IND,L,81,92,35,86,.407,5,17,.294,6,9,.667,17,51,21,4,9,16,17
80,75,2018-03-29,,MIL,L,107,116,41,75,.547,10,20,.500,15,15,1.000,2,31,26,10,7,18,19
81,76,2018-03-31,@,SAC,W,112,96,41,83,.494,9,26,.346,21,28,.750,6,42,28,9,6,10,18
82,77,2018-04-01,,PHO,W,117,107,48,89,.539,13,28,.464,8,9,.889,7,45,31,10,7,14,14
83,78,2018-04-03,@,OKC,W,111,107,41,83,.494,8,29,.276,21,24,.875,6,40,27,9,5,13,25
84,79,2018-04-05,@,IND,L,106,126,37,83,.446,9,29,.310,23,24,.958,13,39,29,6,5,16,14
85,80,2018-04-07,,NOP,L,120,126,49,90,.544,15,33,.455,7,11,.636,8,42,31,3,0,17,21
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
