,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-28,@,LAL,W,108,90,28,79,.354,3,10,.300,31,39,.795,11,36,16,7,3,11,32
1,2,2014-10-29,@,UTA,W,104,93,38,81,.469,3,18,.167,14,17,.824,13,34,16,8,6,13,16
2,3,2014-11-01,,BOS,W,104,90,37,98,.378,1,25,.040,15,18,.833,14,44,20,10,8,10,26
3,4,2014-11-03,@,PHI,W,104,93,33,74,.446,11,22,.500,16,23,.696,6,31,19,12,4,17,20
4,5,2014-11-04,@,MIA,W,108,91,31,74,.419,12,28,.429,17,27,.630,13,34,16,7,2,15,21
5,6,2014-11-06,,SAS,W,98,81,31,90,.344,2,20,.100,17,19,.895,12,41,17,12,1,14,24
6,7,2014-11-08,,GSW,L,87,98,39,87,.448,9,28,.321,11,17,.647,15,54,22,11,8,26,19
7,8,2014-11-12,@,MIN,W,113,101,36,81,.444,6,12,.500,23,30,.767,9,41,22,6,6,13,17
8,9,2014-11-14,,PHI,W,88,87,34,80,.425,7,21,.333,12,18,.667,14,46,19,10,5,23,28
9,10,2014-11-16,@,OKC,W,69,65,20,68,.294,3,19,.158,22,28,.786,11,45,14,6,15,15,30
10,11,2014-11-17,@,MEM,L,93,119,46,86,.535,7,17,.412,20,22,.909,10,38,27,14,5,10,19
11,12,2014-11-19,,LAL,L,92,98,37,91,.407,5,20,.250,19,23,.826,14,47,17,8,3,13,18
12,13,2014-11-22,,DAL,W,95,92,35,88,.398,6,35,.171,16,22,.727,16,50,17,6,5,14,22
13,14,2014-11-24,,NYK,W,91,86,35,76,.461,6,22,.273,10,15,.667,9,40,25,8,5,17,20
14,15,2014-11-26,,SAC,W,102,89,31,71,.437,5,16,.313,22,28,.786,10,48,16,2,8,20,19
15,16,2014-11-28,,LAC,L,85,102,38,81,.469,9,25,.360,17,22,.773,8,45,23,8,4,10,18
16,17,2014-11-29,@,MIL,W,117,103,33,74,.446,6,19,.316,31,35,.886,8,32,23,7,5,10,16
17,18,2014-12-03,,MEM,W,105,96,39,76,.513,2,13,.154,16,27,.593,10,39,26,9,7,20,15
18,19,2014-12-05,@,MIN,W,114,112,45,97,.464,3,10,.300,19,27,.704,14,43,23,12,5,14,26
19,20,2014-12-06,,PHO,W,100,95,34,93,.366,7,28,.250,20,26,.769,16,40,16,14,8,12,20
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2014-12-10,@,GSW,L,93,105,40,81,.494,8,23,.348,17,20,.850,6,43,21,9,5,15,16
