,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2017-10-18,,BRK,W,140,131,45,94,.479,12,30,.400,29,32,.906,11,43,22,7,2,20,25
1,2,2017-10-20,,POR,L,96,114,46,95,.484,9,19,.474,13,17,.765,11,51,19,5,6,9,26
2,3,2017-10-21,@,MIA,L,108,112,45,87,.517,14,34,.412,8,14,.571,6,45,24,6,11,14,19
3,4,2017-10-24,@,MIN,W,130,107,42,86,.488,9,24,.375,14,22,.636,9,27,27,9,4,14,14
4,5,2017-10-25,@,OKC,L,96,114,43,89,.483,10,27,.370,18,26,.692,16,49,26,8,8,21,27
5,6,2017-10-29,,SAS,W,97,94,36,90,.400,9,28,.321,13,18,.722,12,44,19,12,8,15,11
6,7,2017-10-31,,SAC,W,101,83,37,88,.420,2,14,.143,7,14,.500,9,45,15,8,5,14,18
7,8,2017-11-01,@,CLE,W,124,107,43,86,.500,7,31,.226,14,20,.700,8,41,25,6,3,16,19
8,9,2017-11-03,@,PHI,L,110,121,46,92,.500,18,36,.500,11,14,.786,12,50,34,7,9,18,20
9,10,2017-11-05,@,NYK,L,101,108,44,88,.500,6,23,.261,14,19,.737,12,46,24,8,7,12,21
10,11,2017-11-07,,NOP,L,112,117,44,87,.506,14,35,.400,15,22,.682,11,43,23,6,5,12,18
11,12,2017-11-08,@,DET,L,97,114,43,83,.518,12,27,.444,16,25,.640,8,50,25,3,5,15,22
12,13,2017-11-10,@,CHI,W,105,87,37,93,.398,7,27,.259,6,9,.667,11,43,24,10,3,12,13
13,14,2017-11-12,,HOU,L,95,118,43,90,.478,17,47,.362,15,18,.833,10,47,24,10,5,13,20
14,15,2017-11-15,@,MEM,W,116,113,44,86,.512,8,32,.250,17,22,.773,11,43,29,5,10,14,19
15,16,2017-11-17,,DET,W,107,100,39,93,.419,14,33,.424,8,10,.800,11,43,20,4,8,11,18
16,17,2017-11-19,@,MIA,W,120,95,35,83,.422,13,37,.351,12,14,.857,10,35,21,8,2,14,11
17,18,2017-11-20,@,ORL,W,105,97,35,84,.417,13,38,.342,14,23,.609,11,50,23,6,7,22,20
18,19,2017-11-24,,TOR,W,107,104,40,81,.494,9,30,.300,15,20,.750,7,42,17,14,4,18,20
19,20,2017-11-25,,BOS,L,98,108,45,80,.563,10,25,.400,8,9,.889,4,30,22,8,4,14,13
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2017-11-27,,ORL,W,121,109,40,92,.435,16,41,.390,13,16,.813,10,35,22,4,9,14,23
23,22,2017-11-29,@,HOU,L,97,118,42,86,.488,18,40,.450,16,21,.762,10,49,26,9,0,15,10
24,23,2017-12-01,@,TOR,L,115,120,48,97,.495,10,32,.313,14,21,.667,12,47,29,6,8,12,18
25,24,2017-12-04,,NYK,W,115,97,40,91,.440,6,23,.261,11,16,.688,15,43,26,4,2,17,15
26,25,2017-12-06,,CHI,W,98,96,39,83,.470,10,26,.385,8,16,.500,11,46,18,3,5,16,15
27,26,2017-12-08,,CLE,W,106,102,37,85,.435,11,36,.306,17,22,.773,9,44,23,4,4,11,23
28,27,2017-12-10,,DEN,W,126,116,43,95,.453,17,42,.405,13,16,.813,19,47,24,7,5,21,20
29,28,2017-12-13,,OKC,L,95,100,36,88,.409,13,29,.448,15,24,.625,17,52,26,10,6,13,12
30,29,2017-12-15,,DET,L,98,104,39,93,.419,13,32,.406,13,17,.765,11,44,22,7,10,9,22
31,30,2017-12-17,@,BRK,W,109,97,34,81,.420,12,33,.364,17,21,.810,7,29,26,7,2,9,17
32,31,2017-12-18,,BOS,L,111,112,44,79,.557,16,26,.615,8,14,.571,6,38,26,6,4,19,31
33,32,2017-12-20,@,ATL,W,105,95,35,81,.432,8,29,.276,17,20,.850,11,43,27,5,6,13,17
34,33,2017-12-23,,BRK,W,123,119,42,98,.429,16,36,.444,19,25,.760,18,51,24,2,2,10,20
35,34,2017-12-26,@,DET,L,83,107,41,82,.500,12,34,.353,13,16,.813,10,46,26,5,1,10,17
36,35,2017-12-27,,DAL,L,94,98,40,78,.513,8,29,.276,10,15,.667,4,35,26,7,3,9,12
37,36,2017-12-29,@,CHI,L,107,119,43,85,.506,18,39,.462,15,15,1.000,7,40,31,6,4,15,20
38,37,2017-12-31,,MIN,L,90,107,41,86,.477,4,19,.211,21,25,.840,13,44,20,11,8,7,20
