,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-30,,OKC,W,93,90,28,65,.431,6,21,.286,28,34,.824,8,47,23,5,2,22,27
1,2,2014-10-31,@,LAL,W,118,111,42,82,.512,7,20,.350,20,28,.714,9,40,24,5,2,14,35
2,3,2014-11-02,,SAC,L,92,98,34,68,.500,3,10,.300,27,33,.818,9,46,21,4,11,19,22
3,4,2014-11-03,,UTA,W,107,101,36,77,.468,10,27,.370,19,24,.792,9,43,24,4,2,17,20
4,5,2014-11-05,@,GSW,L,104,121,43,74,.581,15,25,.600,20,20,1.000,4,39,29,7,3,23,22
5,6,2014-11-08,,POR,W,106,102,36,80,.450,10,25,.400,20,25,.800,9,43,25,2,3,16,26
6,7,2014-11-10,,SAS,L,85,89,33,83,.398,2,19,.105,21,27,.778,10,39,20,11,4,8,17
7,8,2014-11-15,,PHO,W,120,107,38,99,.384,11,30,.367,20,23,.870,16,43,26,9,3,10,30
8,9,2014-11-17,,CHI,L,89,105,39,80,.488,10,26,.385,17,25,.680,9,45,28,7,2,8,24
9,10,2014-11-19,@,ORL,W,114,90,34,86,.395,8,24,.333,14,18,.778,11,48,21,5,1,13,17
10,11,2014-11-20,@,MIA,W,110,93,30,67,.448,6,26,.231,27,31,.871,6,30,11,10,3,12,15
11,12,2014-11-23,@,MEM,L,91,107,42,85,.494,7,21,.333,16,23,.696,12,52,20,3,3,17,21
12,13,2014-11-24,@,CHO,W,113,92,31,75,.413,2,20,.100,28,35,.800,5,33,21,6,4,5,17
13,14,2014-11-26,@,DET,W,104,98,35,78,.449,10,27,.370,18,24,.750,12,38,18,8,4,15,17
14,15,2014-11-28,@,HOU,W,102,85,32,82,.390,10,37,.270,11,15,.733,8,40,17,7,6,14,27
15,16,2014-11-29,@,UTA,W,112,96,34,75,.453,7,21,.333,21,33,.636,12,37,19,6,2,13,15
16,17,2014-12-01,,MIN,W,127,101,35,82,.427,2,12,.167,29,40,.725,6,32,26,9,3,10,27
17,18,2014-12-03,,ORL,W,114,86,33,79,.418,7,20,.350,13,25,.520,6,34,21,11,2,16,24
18,19,2014-12-06,,NOP,W,120,100,38,80,.475,8,23,.348,16,25,.640,12,45,26,4,2,11,18
19,20,2014-12-08,,PHO,W,121,120,44,91,.484,16,37,.432,16,20,.800,7,43,32,9,3,16,28
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2014-12-10,@,IND,W,103,96,35,89,.393,9,27,.333,17,22,.773,12,43,27,6,1,11,18
