,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2015-10-28,,MIN,L,111,112,35,90,.389,9,34,.265,32,35,.914,12,48,18,2,4,13,29
1,2,2015-10-30,@,SAC,L,114,132,41,89,.461,11,34,.324,21,27,.778,8,37,20,7,9,19,24
2,3,2015-11-01,,DAL,L,93,103,31,85,.365,10,34,.294,21,28,.750,8,42,18,8,9,12,20
3,4,2015-11-03,,DEN,L,109,120,36,86,.419,6,26,.231,31,38,.816,11,40,18,9,4,10,28
4,5,2015-11-06,@,BRK,W,104,98,33,78,.423,7,23,.304,31,40,.775,5,40,14,9,6,15,22
5,6,2015-11-08,@,NYK,L,95,99,36,94,.383,9,27,.333,14,23,.609,12,46,19,7,3,9,20
6,7,2015-11-10,@,MIA,L,88,101,34,77,.442,11,22,.500,9,12,.750,5,36,21,7,7,17,21
7,8,2015-11-11,@,ORL,L,99,101,39,79,.494,7,22,.318,14,18,.778,7,43,25,5,7,13,11
8,9,2015-11-13,@,DAL,L,82,90,29,88,.330,9,27,.333,15,18,.833,15,57,18,10,7,20,27
9,10,2015-11-15,,DET,W,97,85,31,75,.413,6,19,.316,29,39,.744,7,46,24,5,5,16,19
10,11,2015-11-16,@,PHO,L,101,120,37,77,.481,9,20,.450,18,20,.900,7,37,12,5,2,16,23
11,12,2015-11-20,,TOR,L,91,102,35,77,.455,8,25,.320,13,17,.765,9,41,21,8,4,15,18
12,13,2015-11-22,,POR,L,93,107,32,88,.364,6,18,.333,23,27,.852,15,51,17,2,6,10,12
13,14,2015-11-24,@,GSW,L,77,111,31,83,.373,3,21,.143,12,16,.750,8,45,16,8,2,14,15
14,15,2015-11-28,@,POR,L,96,108,36,82,.439,7,23,.304,17,23,.739,6,33,20,12,2,9,19
15,16,2015-11-29,,IND,L,103,107,38,99,.384,11,33,.333,16,22,.727,15,54,17,6,5,10,27
16,17,2015-12-01,@,PHI,L,91,103,33,89,.371,8,34,.235,17,24,.708,12,46,15,4,2,11,19
17,18,2015-12-02,@,WAS,W,108,104,41,96,.427,8,25,.320,18,20,.900,16,45,17,18,3,16,22
18,19,2015-12-04,@,ATL,L,87,100,32,86,.372,13,27,.481,10,13,.769,15,42,19,10,7,16,14
19,20,2015-12-06,@,DET,L,91,111,32,80,.400,5,18,.278,22,29,.759,8,39,12,6,4,15,21
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2015-12-07,@,TOR,L,93,102,34,83,.410,7,19,.368,18,20,.900,14,47,14,4,4,15,23
23,22,2015-12-09,@,MIN,L,122,123,48,93,.516,9,23,.391,17,27,.630,9,40,19,9,1,9,23
24,23,2015-12-11,@,SAS,L,87,109,36,88,.409,9,25,.360,6,10,.600,9,36,20,7,5,15,21
25,24,2015-12-12,@,HOU,L,97,126,35,88,.398,10,32,.313,17,20,.850,11,40,21,11,4,19,23
26,25,2015-12-15,,MIL,W,113,95,41,89,.461,10,27,.370,21,25,.840,18,52,26,7,3,14,18
27,26,2015-12-17,,HOU,L,87,107,36,84,.429,5,24,.208,10,18,.556,13,46,22,5,5,14,27
28,27,2015-12-19,@,OKC,L,78,118,30,86,.349,8,28,.286,10,17,.588,8,32,14,10,2,14,20
29,28,2015-12-22,@,DEN,W,111,107,40,84,.476,7,26,.269,24,32,.750,11,40,17,6,6,11,21
30,29,2015-12-23,,OKC,L,85,120,32,89,.360,7,25,.280,14,22,.636,12,35,19,6,5,10,18
31,30,2015-12-25,,LAC,L,84,94,32,77,.416,7,23,.304,13,25,.520,6,40,17,10,2,15,13
32,31,2015-12-27,@,MEM,L,96,112,32,84,.381,8,29,.276,24,32,.750,18,46,16,6,5,13,18
