,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2016-10-26,,HOU,W,120,114,44,86,.512,7,29,.241,19,27,.704,10,39,29,10,1,14,23
1,2,2016-10-28,@,UTA,L,89,96,31,75,.413,6,25,.240,28,40,.700,13,47,14,4,7,14,18
2,3,2016-10-30,@,OKC,L,96,113,45,95,.474,9,26,.346,14,17,.824,10,45,29,15,6,19,22
3,4,2016-11-01,@,IND,L,108,115,41,87,.471,10,28,.357,23,29,.793,11,43,19,10,8,15,20
4,5,2016-11-02,@,ATL,W,123,116,41,85,.482,11,32,.344,23,29,.793,10,37,30,10,1,18,19
5,6,2016-11-04,,GSW,W,117,97,39,86,.453,5,32,.156,14,20,.700,9,40,26,13,3,20,13
6,7,2016-11-06,,PHO,W,119,108,40,91,.440,6,20,.300,22,28,.786,11,40,20,8,2,17,30
7,8,2016-11-08,,DAL,L,97,109,43,82,.524,10,23,.435,13,15,.867,8,37,24,11,4,11,12
8,9,2016-11-10,@,SAC,W,101,91,34,85,.400,8,21,.381,15,20,.750,11,43,18,13,3,15,19
9,10,2016-11-12,@,NOP,W,126,99,39,90,.433,6,20,.300,15,19,.789,12,42,20,4,5,10,10
10,11,2016-11-13,@,MIN,L,99,125,42,80,.525,13,27,.481,28,42,.667,9,44,28,10,4,10,19
11,12,2016-11-15,,BRK,W,125,118,45,99,.455,12,41,.293,16,20,.800,9,47,23,8,6,14,27
12,13,2016-11-18,,SAS,L,107,116,44,78,.564,10,24,.417,18,19,.947,3,34,30,8,6,12,18
13,14,2016-11-20,,CHI,L,110,118,45,87,.517,8,22,.364,20,28,.714,16,56,27,6,3,16,16
14,15,2016-11-22,,OKC,W,111,109,45,92,.489,11,27,.407,8,11,.727,11,40,29,11,6,15,14
15,16,2016-11-23,@,GSW,L,106,149,53,86,.616,19,36,.528,24,35,.686,6,48,47,7,5,10,20
16,17,2016-11-25,,GSW,L,85,109,43,83,.518,11,28,.393,12,17,.706,4,44,31,10,10,17,21
17,18,2016-11-27,,ATL,W,109,94,39,88,.443,12,35,.343,4,10,.400,7,38,25,5,6,12,19
18,19,2016-11-29,@,NOP,L,88,105,38,88,.432,8,31,.258,21,25,.840,13,54,24,10,3,8,17
19,20,2016-11-30,@,CHI,W,96,90,32,91,.352,4,21,.190,22,29,.759,14,46,22,15,11,14,26
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2016-12-02,@,TOR,L,80,113,45,83,.542,12,29,.414,11,13,.846,7,44,25,8,5,10,18
23,22,2016-12-03,@,MEM,L,100,103,41,88,.466,10,30,.333,11,15,.733,14,43,32,13,7,11,19
24,23,2016-12-05,,UTA,L,101,107,38,80,.475,13,32,.406,18,29,.621,11,39,26,5,7,12,18
25,24,2016-12-07,@,HOU,L,95,134,51,94,.543,15,36,.417,17,21,.810,15,52,35,20,2,20,22
26,25,2016-12-09,,PHO,L,115,119,45,95,.474,13,30,.433,16,21,.762,9,44,26,8,8,7,24
27,26,2016-12-11,,NYK,L,112,118,41,84,.488,10,22,.455,26,31,.839,8,44,21,9,11,10,15
28,27,2016-12-12,@,SAC,L,92,116,47,84,.560,10,23,.435,12,21,.571,13,47,23,16,6,21,20
29,28,2016-12-14,@,BRK,L,97,107,33,86,.384,11,35,.314,30,40,.750,19,61,19,7,4,15,26
30,29,2016-12-16,@,PHI,W,100,89,32,88,.364,6,31,.194,19,24,.792,16,48,22,7,4,17,17
31,30,2016-12-17,@,CLE,L,108,119,46,89,.517,15,33,.455,12,18,.667,11,44,30,8,3,8,12
32,31,2016-12-20,@,CHO,L,113,117,43,94,.457,11,25,.440,20,24,.833,16,44,30,5,2,10,13
33,32,2016-12-22,@,MIA,L,107,115,45,84,.536,11,22,.500,14,21,.667,10,47,25,7,6,12,15
34,33,2016-12-23,@,ORL,L,90,109,45,89,.506,11,27,.407,8,14,.571,7,47,25,10,11,14,20
35,34,2016-12-25,,LAC,W,111,102,37,85,.435,10,29,.345,18,22,.818,10,42,24,9,5,15,20
36,35,2016-12-27,,UTA,L,100,102,38,75,.507,9,26,.346,17,24,.708,14,39,19,6,4,19,18
37,36,2016-12-29,,DAL,L,89,101,38,77,.494,14,31,.452,11,14,.786,10,42,24,8,2,15,17
38,37,2017-01-01,,TOR,L,114,123,42,75,.560,10,17,.588,29,32,.906,5,40,18,5,9,16,25
39,38,2017-01-03,,MEM,W,116,102,30,77,.390,10,31,.323,32,35,.914,5,39,18,6,1,10,16
