,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2017-10-18,,NOP,W,103,91,30,79,.380,7,25,.280,24,29,.828,16,51,15,4,12,17,31
1,2,2017-10-21,,GSW,W,111,101,33,84,.393,12,38,.316,23,27,.852,12,46,20,10,7,17,28
2,3,2017-10-23,@,HOU,W,98,90,32,77,.416,9,38,.237,17,23,.739,9,39,25,5,2,16,31
3,4,2017-10-25,@,DAL,L,94,103,36,74,.486,11,26,.423,20,29,.690,4,35,20,6,4,11,20
4,5,2017-10-26,,DAL,W,96,91,32,94,.340,10,34,.294,17,20,.850,18,53,20,10,3,14,22
5,6,2017-10-28,,HOU,W,103,89,29,77,.377,14,38,.368,17,21,.810,8,43,18,4,3,17,23
6,7,2017-10-30,,CHO,L,99,104,37,89,.416,7,17,.412,23,29,.793,10,56,15,3,7,11,22
7,8,2017-11-01,,ORL,L,99,101,38,75,.507,13,29,.448,12,14,.857,6,38,25,6,8,24,22
8,9,2017-11-04,@,LAC,W,113,104,38,83,.458,4,26,.154,24,31,.774,15,43,18,7,7,13,22
9,10,2017-11-05,@,LAL,L,102,107,40,85,.471,9,27,.333,18,23,.783,8,46,25,5,4,16,16
10,11,2017-11-07,@,POR,W,98,97,36,81,.444,6,19,.316,19,20,.950,10,42,11,9,1,16,18
11,12,2017-11-11,@,HOU,L,96,111,37,83,.446,16,45,.356,21,28,.750,11,46,18,14,4,15,19
12,13,2017-11-13,@,MIL,L,103,110,40,82,.488,12,22,.545,18,25,.720,10,36,23,6,5,9,19
13,14,2017-11-15,,IND,L,113,116,43,85,.506,12,24,.500,18,20,.900,5,36,29,6,6,12,17
14,15,2017-11-18,,HOU,L,83,105,35,78,.449,18,43,.419,17,21,.810,9,45,21,8,9,16,24
15,16,2017-11-20,,POR,L,92,100,33,83,.398,6,15,.400,28,32,.875,15,60,11,1,9,15,23
16,17,2017-11-22,,DAL,L,94,95,39,91,.429,9,28,.321,8,16,.500,4,40,23,9,2,8,14
17,18,2017-11-24,@,DEN,L,92,104,40,79,.506,9,32,.281,15,26,.577,15,50,24,9,4,21,18
18,19,2017-11-26,,BRK,L,88,98,33,74,.446,13,29,.448,19,23,.826,12,43,19,7,7,17,22
19,20,2017-11-29,@,SAS,L,95,104,38,75,.507,8,20,.400,20,24,.833,5,32,22,9,5,8,17
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2017-12-01,,SAS,L,79,95,31,70,.443,11,27,.407,22,32,.688,7,43,20,8,5,13,18
23,22,2017-12-02,@,CLE,L,111,116,42,75,.560,11,24,.458,21,23,.913,1,31,24,8,7,10,14
24,23,2017-12-04,,MIN,W,95,92,35,79,.443,4,17,.235,18,19,.947,7,34,17,9,2,9,16
25,24,2017-12-06,@,NYK,L,88,99,35,67,.522,9,14,.643,20,27,.741,10,42,22,8,3,16,21
26,25,2017-12-08,,TOR,L,107,116,37,78,.474,13,31,.419,29,33,.879,10,36,21,8,3,11,23
27,26,2017-12-09,,OKC,L,101,102,36,92,.391,12,34,.353,18,31,.581,17,47,18,7,5,10,21
28,27,2017-12-11,,MIA,L,82,107,37,66,.561,14,27,.519,19,24,.792,2,35,24,8,8,13,22
29,28,2017-12-13,@,WAS,L,87,93,36,77,.468,9,22,.409,12,24,.500,6,44,21,7,8,15,22
30,29,2017-12-15,,ATL,W,96,94,34,77,.442,12,31,.387,14,16,.875,7,35,27,12,5,17,19
31,30,2017-12-16,,BOS,L,93,102,39,80,.488,14,30,.467,10,14,.714,14,42,21,6,6,16,19
32,31,2017-12-20,@,GSW,L,84,97,34,74,.459,7,21,.333,22,25,.880,14,44,26,9,8,16,19
33,32,2017-12-21,@,PHO,L,95,97,33,81,.407,10,26,.385,21,27,.778,12,44,21,4,1,10,17
34,33,2017-12-23,,LAC,W,115,112,39,79,.494,13,34,.382,21,28,.750,5,36,14,4,7,10,22
35,34,2017-12-26,@,PHO,L,97,99,32,72,.444,8,22,.364,27,35,.771,6,41,24,5,5,19,29
36,35,2017-12-27,@,LAL,W,109,99,35,93,.376,8,28,.286,21,33,.636,22,49,14,5,4,11,26
37,36,2017-12-30,@,GSW,L,128,141,50,85,.588,18,33,.545,23,25,.920,7,38,37,3,6,10,17
38,37,2017-12-31,@,SAC,W,114,96,37,86,.430,9,24,.375,13,25,.520,12,42,20,6,2,16,21
39,38,2018-01-02,@,LAC,L,105,113,39,71,.549,9,23,.391,26,31,.839,4,34,23,5,3,19,24
40,39,2018-01-05,,WAS,L,100,102,33,84,.393,10,27,.370,26,34,.765,12,48,21,7,7,13,23
41,40,2018-01-10,,NOP,W,105,102,34,77,.442,11,35,.314,23,34,.676,9,40,20,5,7,12,26
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2018-01-12,@,DEN,L,78,87,27,70,.386,7,22,.318,26,32,.813,12,47,15,8,3,14,18
45,42,2018-01-15,,LAL,W,123,114,38,96,.396,12,35,.343,26,31,.839,12,44,25,11,8,13,23
46,43,2018-01-17,,NYK,W,105,99,35,82,.427,7,27,.259,22,23,.957,12,45,22,5,12,14,15
47,44,2018-01-19,,SAC,W,106,88,32,80,.400,11,27,.407,13,18,.722,11,44,18,10,3,21,20
48,45,2018-01-20,@,NOP,L,104,111,39,78,.500,7,27,.259,26,32,.813,6,41,23,6,5,10,15
49,46,2018-01-22,,PHI,W,105,101,32,71,.451,14,31,.452,23,31,.742,16,48,21,2,4,23,28
50,47,2018-01-24,,SAS,L,85,108,38,82,.463,10,24,.417,22,25,.880,11,45,29,9,6,13,19
51,48,2018-01-26,,LAC,L,100,109,39,80,.488,10,27,.370,21,29,.724,3,36,23,15,6,10,20
52,49,2018-01-29,,PHO,W,120,109,38,82,.463,7,23,.304,26,36,.722,15,37,20,11,2,19,20
53,50,2018-01-31,@,IND,L,101,105,37,70,.529,10,26,.385,21,31,.677,8,33,20,16,4,14,15
54,51,2018-02-01,@,DET,L,102,104,35,76,.461,7,25,.280,27,37,.730,4,41,20,8,4,7,19
55,52,2018-02-04,@,TOR,L,86,101,41,89,.461,6,35,.171,13,15,.867,10,44,21,13,7,11,20
56,53,2018-02-06,@,ATL,L,82,108,42,83,.506,8,25,.320,16,21,.762,8,36,29,13,5,13,16
57,54,2018-02-07,,UTA,L,88,92,29,69,.420,6,22,.273,28,33,.848,9,43,14,6,4,19,16
58,55,2018-02-11,@,OKC,L,92,110,34,77,.442,16,37,.432,26,40,.650,9,38,21,6,3,9,23
59,56,2018-02-14,,OKC,L,114,121,40,81,.494,17,37,.459,24,35,.686,8,38,26,7,6,9,19
