,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2018-10-17,@,IND,L,83,111,25,84,.298,10,29,.345,23,28,.821,7,28,16,11,3,7,18
1,2,2018-10-19,,ATL,W,131,117,44,81,.543,13,26,.500,30,43,.698,7,41,32,9,4,16,29
2,3,2018-10-22,@,UTA,W,92,84,31,84,.369,9,28,.321,21,26,.808,7,43,18,10,2,10,22
3,4,2018-10-24,@,SAC,L,92,97,36,94,.383,10,37,.270,10,13,.769,13,49,18,7,6,15,25
4,5,2018-10-27,,PHO,W,117,96,44,79,.557,9,26,.346,20,22,.909,3,39,30,12,1,12,21
5,6,2018-10-30,,WAS,W,107,95,36,74,.486,13,28,.464,22,31,.710,6,38,28,16,3,15,20
6,7,2018-11-02,@,UTA,W,110,100,38,75,.507,13,26,.500,21,34,.618,9,39,23,9,3,11,29
7,8,2018-11-04,@,PHO,L,100,102,36,76,.474,7,23,.304,21,29,.724,9,30,19,13,3,13,21
8,9,2018-11-05,@,GSW,L,101,117,38,83,.458,9,27,.333,16,21,.762,4,30,31,8,8,10,19
9,10,2018-11-07,,DEN,W,89,87,30,70,.429,8,21,.381,21,25,.840,8,36,19,7,7,17,22
10,11,2018-11-10,,PHI,W,112,106,45,103,.437,11,30,.367,11,15,.733,15,45,16,9,3,11,18
11,12,2018-11-12,,UTA,L,88,96,33,79,.418,4,24,.167,18,23,.783,8,42,19,7,9,16,28
12,13,2018-11-14,@,MIL,W,116,113,42,83,.506,14,36,.389,18,24,.750,4,34,24,8,4,12,20
13,14,2018-11-16,,SAC,W,112,104,43,85,.506,11,25,.440,15,24,.625,9,40,24,11,5,13,23
14,15,2018-11-18,@,MIN,W,100,87,35,82,.427,12,28,.429,18,25,.720,10,43,26,11,9,12,20
15,16,2018-11-19,,DAL,W,98,88,37,79,.468,12,30,.400,12,14,.857,5,45,29,8,11,15,21
16,17,2018-11-21,@,SAS,W,104,103,39,81,.481,8,25,.320,18,21,.857,4,40,21,4,7,9,25
17,18,2018-11-23,@,LAC,L,107,112,42,92,.457,9,27,.333,14,18,.778,6,47,29,6,7,16,29
18,19,2018-11-25,,NYK,L,98,103,38,86,.442,11,30,.367,11,19,.579,6,41,27,5,19,7,23
19,20,2018-11-27,,TOR,L,114,122,43,85,.506,10,29,.345,18,21,.857,11,35,27,9,5,13,23
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2018-11-30,@,BRK,W,131,125,50,101,.495,12,30,.400,19,22,.864,11,45,27,8,6,17,23
23,22,2018-12-02,@,PHI,L,95,103,33,79,.418,11,28,.393,18,23,.783,3,35,19,7,7,14,24
24,23,2018-12-05,,LAC,W,96,86,37,85,.435,7,28,.250,15,24,.625,11,49,18,9,6,15,27
25,24,2018-12-07,@,NOP,W,107,103,39,83,.470,8,19,.421,21,28,.750,10,42,30,10,7,11,25
26,25,2018-12-08,,LAL,L,88,111,34,84,.405,6,30,.200,14,18,.778,9,36,17,13,7,15,19
27,26,2018-12-10,@,DEN,L,99,105,37,74,.500,9,27,.333,16,17,.941,6,34,22,7,4,14,19
28,27,2018-12-12,,POR,W,92,83,34,82,.415,8,24,.333,16,24,.667,9,51,19,9,10,12,22
29,28,2018-12-14,,MIA,L,97,100,35,83,.422,8,29,.276,19,25,.760,10,34,21,9,5,7,18
30,29,2018-12-15,,HOU,L,97,105,40,75,.533,5,23,.217,12,17,.706,6,35,20,8,6,14,22
31,30,2018-12-17,@,GSW,L,93,110,36,79,.456,7,25,.280,14,18,.778,2,41,24,6,4,16,23
32,31,2018-12-19,@,POR,L,92,99,33,78,.423,9,27,.333,17,19,.895,11,36,22,12,10,14,21
33,32,2018-12-21,@,SAC,L,99,102,37,80,.463,16,32,.500,9,10,.900,8,44,24,7,8,18,25
34,33,2018-12-23,@,LAL,W,107,99,42,90,.467,14,26,.538,9,14,.643,9,43,24,9,7,9,20
35,34,2018-12-26,,CLE,W,95,87,36,72,.500,5,22,.227,18,24,.750,3,34,22,7,9,12,16
36,35,2018-12-29,,BOS,L,103,112,36,76,.474,7,26,.269,24,29,.828,8,36,24,11,2,16,22
37,36,2018-12-31,@,HOU,L,101,113,38,82,.463,6,25,.240,19,30,.633,6,39,24,11,4,10,31
38,37,2019-01-02,,DET,L,94,101,36,78,.462,4,18,.222,18,21,.857,8,44,21,2,5,11,22
39,38,2019-01-04,,BRK,L,100,109,42,93,.452,5,24,.208,11,15,.733,8,40,23,9,5,13,24
40,39,2019-01-05,@,SAS,L,88,108,31,82,.378,11,28,.393,15,19,.789,8,42,21,12,3,20,29
41,40,2019-01-07,@,NOP,L,95,114,35,78,.449,10,30,.333,15,18,.833,6,36,28,5,7,18,23
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2019-01-09,,SAS,W,96,86,37,90,.411,8,33,.242,14,20,.700,9,52,22,6,8,9,22
45,42,2019-01-12,@,MIA,L,108,112,39,81,.481,9,29,.310,21,27,.778,10,38,18,9,6,10,21
46,43,2019-01-14,@,HOU,L,94,112,36,71,.507,10,22,.455,12,22,.545,9,43,31,5,5,24,20
47,44,2019-01-16,,MIL,L,101,111,37,95,.389,10,31,.323,17,25,.680,13,48,29,11,9,14,15
48,45,2019-01-18,@,BOS,L,116,122,41,92,.446,16,35,.457,18,20,.900,9,39,33,11,5,9,22
49,46,2019-01-19,@,TOR,L,90,119,34,80,.425,10,29,.345,12,15,.800,10,42,21,7,3,24,13
