,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2016-10-26,@,ORL,W,108,96,47,97,.485,4,16,.250,10,16,.625,16,52,27,5,7,10,22
1,2,2016-10-28,,CHO,L,91,97,32,86,.372,14,34,.412,13,20,.650,11,52,19,2,4,19,23
2,3,2016-10-30,,SAS,L,99,106,37,80,.463,7,20,.350,18,26,.692,6,36,19,7,6,12,24
3,4,2016-11-01,,SAC,W,108,96,37,86,.430,13,29,.448,21,29,.724,6,45,24,10,9,15,21
4,5,2016-11-04,@,TOR,L,87,96,34,88,.386,9,28,.321,10,15,.667,12,43,19,10,5,13,22
5,6,2016-11-07,@,OKC,L,85,97,31,84,.369,4,17,.235,19,22,.864,12,41,12,8,7,12,16
6,7,2016-11-10,,CHI,L,95,98,36,88,.409,13,29,.448,10,15,.667,14,46,22,8,5,13,19
7,8,2016-11-12,,UTA,L,91,102,38,81,.469,5,17,.294,10,19,.526,4,39,21,5,4,8,17
8,9,2016-11-14,@,SAS,L,90,94,37,84,.440,4,15,.267,12,21,.571,10,41,22,14,8,13,23
9,10,2016-11-15,,ATL,L,90,93,36,89,.404,7,23,.304,11,14,.786,17,48,13,11,7,23,23
10,11,2016-11-17,,MIL,W,96,73,39,97,.402,7,30,.233,11,21,.524,17,59,19,5,8,7,18
11,12,2016-11-19,@,WAS,W,114,111,43,85,.506,13,27,.481,15,26,.577,17,47,21,6,7,16,21
12,13,2016-11-21,@,PHI,L,94,101,34,88,.386,7,31,.226,19,28,.679,21,50,17,7,6,13,22
13,14,2016-11-23,@,DET,L,84,107,27,75,.360,7,26,.269,23,30,.767,7,37,19,5,4,14,22
14,15,2016-11-25,@,MEM,W,90,81,33,85,.388,12,31,.387,12,18,.667,10,44,17,8,8,8,21
15,16,2016-11-26,,MEM,L,107,110,40,81,.494,11,31,.355,16,24,.667,8,39,18,3,6,9,21
16,17,2016-11-28,,BOS,L,104,112,38,80,.475,6,30,.200,22,32,.688,7,41,24,6,2,13,25
17,18,2016-11-30,@,DEN,W,106,98,41,93,.441,9,24,.375,15,26,.577,11,48,26,14,7,6,25
18,19,2016-12-01,@,UTA,W,111,110,44,86,.512,8,19,.421,15,19,.789,13,40,16,7,2,6,15
19,20,2016-12-03,@,POR,L,92,99,38,86,.442,6,22,.273,10,15,.667,8,46,23,6,6,13,14
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2016-12-06,,NYK,L,103,114,38,89,.427,11,25,.440,16,27,.593,16,46,21,8,4,10,16
23,22,2016-12-07,@,ATL,L,95,103,34,80,.425,11,27,.407,16,20,.800,8,33,20,6,6,16,16
24,23,2016-12-09,@,CLE,L,84,114,31,90,.344,6,27,.222,16,21,.762,23,46,18,6,3,13,18
25,24,2016-12-10,@,CHI,L,100,105,42,91,.462,5,20,.250,11,18,.611,14,43,25,5,5,12,22
26,25,2016-12-12,,WAS,W,112,101,45,88,.511,9,26,.346,13,19,.684,11,47,25,6,3,11,18
27,26,2016-12-14,,IND,W,95,89,37,82,.451,7,25,.280,14,25,.560,14,58,23,4,6,15,16
28,27,2016-12-16,,LAC,L,98,102,38,93,.409,6,27,.222,16,25,.640,10,47,20,5,5,4,23
29,28,2016-12-18,,BOS,L,95,105,36,69,.522,9,24,.375,14,25,.560,6,41,23,7,5,23,20
30,29,2016-12-20,,ORL,L,130,136,50,108,.463,12,30,.400,18,26,.692,9,48,22,4,6,10,30
31,30,2016-12-22,,LAL,W,115,107,45,84,.536,11,22,.500,14,21,.667,10,47,25,7,6,12,15
32,31,2016-12-23,@,NOP,L,87,91,36,87,.414,8,20,.400,7,13,.538,11,59,19,4,4,14,20
33,32,2016-12-27,,OKC,L,94,106,36,82,.439,7,22,.318,15,21,.714,9,32,14,10,4,12,23
34,33,2016-12-29,@,CHO,L,82,91,33,82,.402,10,28,.357,6,13,.462,4,46,26,6,10,16,19
35,34,2016-12-30,@,BOS,L,114,117,48,90,.533,11,28,.393,7,10,.700,9,39,35,7,8,12,20
36,35,2017-01-01,,DET,L,98,107,35,77,.455,14,26,.538,14,18,.778,3,34,25,6,4,10,22
37,36,2017-01-03,@,PHO,L,90,99,36,91,.396,6,23,.261,12,16,.750,15,43,18,8,4,12,23
