,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2021-10-21,,MIL,W,137,95,32,84,.381,12,42,.286,19,29,.655,5,38,19,6,0,15,26
1,2,2021-10-23,@,IND,L,91,102,38,97,.392,10,39,.256,16,21,.762,14,55,18,10,5,16,18
2,3,2021-10-25,,ORL,W,107,90,33,81,.407,12,44,.273,12,19,.632,6,39,21,7,6,16,22
3,4,2021-10-27,@,BRK,W,106,93,33,85,.388,14,43,.326,13,14,.929,4,42,21,7,7,15,24
4,5,2021-10-29,,CHO,W,114,99,35,90,.389,13,37,.351,16,22,.727,11,37,21,8,6,11,17
5,6,2021-10-30,@,MEM,W,129,103,34,88,.386,16,50,.320,19,21,.905,8,32,26,14,7,14,17
6,7,2021-11-02,@,DAL,W,125,110,37,84,.440,14,42,.333,22,31,.710,11,41,17,1,3,9,21
7,8,2021-11-04,,BOS,L,78,95,31,78,.397,16,41,.390,17,20,.850,11,46,16,7,4,16,16
8,9,2021-11-06,,UTA,W,118,115,43,83,.518,15,45,.333,14,19,.737,7,31,26,10,3,6,19
9,10,2021-11-08,@,DEN,L,96,113,42,91,.462,12,41,.293,17,24,.708,12,49,28,7,5,9,23
10,11,2021-11-10,@,LAL,L,117,120,46,92,.500,18,38,.474,10,16,.625,9,50,26,5,6,22,27
11,12,2021-11-11,@,LAC,L,109,112,43,91,.473,11,37,.297,15,17,.882,9,42,20,9,9,12,14
12,13,2021-11-13,@,UTA,W,111,105,35,85,.412,17,53,.321,18,25,.720,12,38,23,13,2,16,19
13,14,2021-11-15,@,OKC,W,103,90,34,83,.410,15,41,.366,7,10,.700,9,42,26,6,10,20,15
14,15,2021-11-17,,NOP,W,113,98,33,75,.440,10,35,.286,22,28,.786,10,38,18,6,3,16,21
15,16,2021-11-18,,WAS,W,112,97,38,77,.494,15,36,.417,6,10,.600,5,37,25,4,3,17,19
16,17,2021-11-20,@,WAS,L,100,103,36,74,.486,11,30,.367,20,23,.870,9,35,22,6,2,19,19
17,18,2021-11-23,@,DET,W,100,92,35,84,.417,10,38,.263,12,14,.857,9,35,22,7,1,14,23
18,19,2021-11-24,@,MIN,L,101,113,38,93,.409,18,55,.327,19,21,.905,15,52,24,10,7,16,26
19,20,2021-11-27,@,CHI,W,107,104,38,81,.469,11,39,.282,17,21,.810,10,47,22,6,4,22,20
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2021-11-29,,DEN,L,111,120,43,74,.581,18,35,.514,16,21,.762,5,35,32,2,1,13,18
23,22,2021-12-01,,CLE,L,85,111,37,68,.544,16,31,.516,21,23,.913,6,46,27,8,14,20,15
24,23,2021-12-03,@,IND,W,113,104,35,80,.438,9,36,.250,25,33,.758,12,39,20,7,3,12,19
25,24,2021-12-04,@,MIL,L,102,124,44,98,.449,18,50,.360,18,20,.900,19,57,32,3,6,14,22
26,25,2021-12-06,,MEM,L,90,105,38,89,.427,13,33,.394,16,21,.762,16,47,26,11,6,19,18
27,26,2021-12-08,,MIL,W,113,104,36,85,.424,12,39,.308,20,27,.741,12,41,18,11,4,18,20
28,27,2021-12-11,,CHI,W,118,92,31,83,.373,17,40,.425,13,20,.650,7,34,22,5,3,14,15
29,28,2021-12-13,@,CLE,L,94,105,36,81,.444,16,36,.444,17,18,.944,8,42,24,6,1,12,16
30,29,2021-12-15,@,PHI,W,101,96,35,79,.443,12,37,.324,14,17,.824,4,35,26,9,5,11,19
31,30,2021-12-17,@,ORL,W,115,105,43,89,.483,11,32,.344,8,10,.800,9,36,23,10,5,11,19
32,31,2021-12-19,@,DET,L,90,100,35,75,.467,8,32,.250,22,30,.733,6,47,24,4,2,13,28
33,32,2021-12-21,,IND,W,125,96,31,87,.356,11,31,.355,23,28,.821,11,42,22,6,3,11,13
34,33,2021-12-23,,DET,W,115,112,36,80,.450,18,40,.450,22,25,.880,6,43,23,9,5,16,25
35,34,2021-12-26,,ORL,W,93,83,31,72,.431,10,32,.313,11,17,.647,8,43,17,6,4,18,19
36,35,2021-12-28,,WAS,W,119,112,42,85,.494,17,42,.405,11,14,.786,13,47,27,5,3,18,20
37,36,2021-12-31,@,HOU,W,120,110,41,93,.441,14,42,.333,14,17,.824,15,46,21,9,4,18,27
38,37,2022-01-02,@,SAC,L,113,115,40,78,.513,13,34,.382,22,27,.815,7,39,31,3,2,16,18
39,38,2022-01-03,@,GSW,L,108,115,45,92,.489,14,38,.368,11,13,.846,7,43,39,11,6,12,17
40,39,2022-01-05,@,POR,W,115,109,33,78,.423,15,38,.395,28,36,.778,8,36,18,8,4,5,23
41,40,2022-01-08,@,PHO,W,123,100,30,79,.380,14,34,.412,26,29,.897,6,35,24,10,1,15,14
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2022-01-12,@,ATL,W,115,91,31,82,.378,13,45,.289,16,23,.696,6,37,20,8,3,14,15
45,42,2022-01-14,,ATL,W,124,118,38,79,.481,16,38,.421,26,30,.867,9,34,26,6,6,15,27
46,43,2022-01-15,,PHI,L,98,109,40,79,.506,13,32,.406,16,21,.762,6,43,24,5,5,15,22
47,44,2022-01-17,,TOR,W,104,99,37,90,.411,13,36,.361,12,17,.706,15,45,24,9,5,11,21
48,45,2022-01-19,,POR,W,104,92,33,81,.407,14,46,.304,12,16,.750,10,43,19,7,6,16,22
49,46,2022-01-21,@,ATL,L,108,110,38,68,.559,14,33,.424,20,24,.833,6,36,26,3,1,16,17
50,47,2022-01-23,,LAL,W,113,107,36,79,.456,11,40,.275,24,30,.800,7,38,20,7,1,17,20
51,48,2022-01-26,,NYK,W,110,96,35,83,.422,15,44,.341,11,17,.647,15,44,24,8,4,17,23
52,49,2022-01-28,,LAC,W,121,114,41,92,.446,9,35,.257,23,32,.719,9,37,22,7,3,13,21
53,50,2022-01-29,,TOR,L,120,124,47,107,.439,16,45,.356,14,18,.778,12,53,24,15,9,16,22
54,51,2022-01-31,@,BOS,L,92,122,44,84,.524,16,42,.381,18,27,.667,9,44,24,9,6,10,15
55,52,2022-02-01,@,TOR,L,106,110,39,81,.481,12,26,.462,20,29,.690,15,43,20,9,3,15,24
56,53,2022-02-03,@,SAS,W,112,95,30,80,.375,8,33,.242,27,38,.711,12,43,21,9,5,17,19
57,54,2022-02-05,@,CHO,W,104,86,33,86,.384,10,36,.278,10,16,.625,12,50,23,4,5,19,19
58,55,2022-02-07,@,WAS,W,121,100,36,80,.450,7,31,.226,21,23,.913,7,33,25,10,0,16,18
59,56,2022-02-10,@,NOP,W,112,97,36,85,.424,11,41,.268,14,16,.875,12,39,19,8,6,17,23
60,57,2022-02-12,,BRK,W,115,111,42,93,.452,12,40,.300,15,22,.682,9,41,16,12,2,8,27
61,58,2022-02-15,,DAL,L,99,107,34,76,.447,18,41,.439,21,33,.636,12,38,27,5,7,8,26
62,59,2022-02-17,@,CHO,W,111,107,38,95,.400,10,42,.238,21,30,.700,17,58,27,6,4,18,28
63,60,2022-02-25,@,NYK,W,115,100,30,75,.400,14,40,.350,26,36,.722,5,45,19,4,1,18,30
64,,,,,,,,,,,,,,,,,,,,,,,
