,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-29,@,CHO,L,106,108,41,101,.406,6,21,.286,20,29,.690,15,50,27,8,9,10,20
1,2,2014-10-31,,PHI,W,93,81,32,86,.372,5,23,.217,12,22,.545,12,42,20,9,5,16,18
2,3,2014-11-01,@,WAS,L,97,108,40,73,.548,4,13,.308,24,33,.727,6,34,28,18,5,19,21
3,4,2014-11-04,@,IND,W,87,81,31,78,.397,6,24,.250,13,22,.591,15,47,14,4,9,17,17
4,5,2014-11-05,,CHI,L,86,95,34,73,.466,5,16,.313,22,30,.733,7,42,24,8,3,16,18
5,6,2014-11-07,@,DET,L,95,98,37,75,.493,11,23,.478,13,24,.542,12,40,18,7,5,18,24
6,7,2014-11-08,,MEM,W,93,92,29,82,.354,3,14,.214,31,34,.912,15,40,15,9,2,13,18
7,8,2014-11-11,,OKC,W,85,78,29,87,.333,6,20,.300,14,19,.737,13,46,15,6,5,15,22
8,9,2014-11-14,@,ORL,L,85,101,35,80,.438,10,24,.417,21,27,.778,10,45,22,7,3,15,15
9,10,2014-11-16,@,MIA,W,91,84,30,73,.411,11,25,.440,13,22,.591,6,40,19,10,6,17,20
10,11,2014-11-18,,NYK,W,117,113,44,80,.550,11,25,.440,14,19,.737,11,28,30,9,3,12,22
11,12,2014-11-19,@,BRK,W,122,118,44,92,.478,9,31,.290,21,29,.724,10,49,26,7,6,20,25
12,13,2014-11-21,@,TOR,L,82,124,45,86,.523,15,25,.600,19,24,.792,15,57,27,8,4,16,24
13,14,2014-11-22,,WAS,L,100,111,43,93,.462,8,18,.444,17,22,.773,20,53,27,7,6,14,24
14,15,2014-11-25,,DET,W,98,86,36,78,.462,7,20,.350,7,17,.412,8,36,23,7,5,19,18
15,16,2014-11-26,@,MIN,W,103,86,31,81,.383,3,14,.214,21,34,.618,14,38,19,11,6,19,22
16,17,2014-11-28,@,DET,W,104,88,34,83,.410,6,23,.261,14,25,.560,14,39,25,8,5,14,19
17,18,2014-11-29,,HOU,L,103,117,44,87,.506,15,38,.395,14,16,.875,13,44,26,7,5,13,24
18,19,2014-12-02,@,CLE,L,108,111,39,73,.534,6,21,.286,27,38,.711,7,40,22,5,5,19,17
19,20,2014-12-03,,DAL,L,105,107,42,92,.457,8,27,.296,15,22,.682,17,46,20,8,6,16,23
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2014-12-05,,MIA,W,109,85,30,68,.441,7,18,.389,18,27,.667,3,20,21,16,3,18,22
23,22,2014-12-07,@,DAL,L,102,125,49,84,.583,12,31,.387,15,19,.789,8,36,29,14,8,11,14
24,23,2014-12-09,@,OKC,L,101,114,41,82,.500,4,21,.190,28,34,.824,15,54,23,10,6,20,28
25,24,2014-12-13,,LAC,W,111,106,39,91,.429,14,29,.483,14,19,.737,10,35,24,8,3,12,24
26,25,2014-12-15,@,PHO,W,96,94,30,75,.400,12,38,.316,22,27,.815,16,42,17,12,5,20,24
27,26,2014-12-17,@,POR,L,97,104,41,87,.471,7,23,.304,15,29,.517,16,52,25,4,3,14,19
28,27,2014-12-18,@,SAC,W,108,107,38,67,.567,6,14,.429,25,33,.758,4,35,24,5,0,21,23
29,28,2014-12-20,@,LAC,L,102,106,37,81,.457,12,26,.462,20,27,.741,11,41,29,10,4,12,18
30,29,2014-12-23,,CHO,L,101,108,36,82,.439,8,21,.381,28,36,.778,11,43,21,6,5,12,21
