,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2015-10-28,@,LAL,W,112,111,38,83,.458,5,20,.250,31,37,.838,6,39,24,3,4,8,26
1,2,2015-10-30,@,DEN,W,95,78,30,71,.423,2,11,.182,33,41,.805,7,49,18,7,6,17,24
2,3,2015-11-02,,POR,L,101,106,34,79,.430,3,13,.231,30,39,.769,8,41,22,10,4,15,22
3,4,2015-11-05,,MIA,L,84,96,30,85,.353,4,12,.333,20,22,.909,10,44,16,7,6,16,27
4,5,2015-11-07,@,CHI,W,102,93,39,96,.406,7,16,.438,17,27,.630,14,58,26,8,7,15,23
5,6,2015-11-09,@,ATL,W,117,107,46,80,.575,7,15,.467,18,22,.818,8,40,27,10,5,19,18
6,7,2015-11-10,,CHO,L,95,104,36,80,.450,9,19,.474,14,19,.737,10,48,25,6,4,22,21
7,8,2015-11-12,,GSW,L,116,129,43,87,.494,3,9,.333,27,36,.750,15,47,21,4,1,13,18
8,9,2015-11-13,@,IND,L,103,107,42,83,.506,7,20,.350,12,13,.923,8,39,16,5,0,15,19
9,10,2015-11-15,,MEM,L,106,114,41,82,.500,5,16,.313,19,21,.905,9,33,20,10,2,12,24
10,11,2015-11-17,@,MIA,W,103,91,36,97,.371,4,21,.190,27,35,.771,15,54,14,12,5,8,26
11,12,2015-11-18,@,ORL,L,101,104,36,85,.424,4,18,.222,25,30,.833,11,57,21,4,13,14,23
12,13,2015-11-20,,DET,L,86,96,33,77,.429,3,13,.231,17,25,.680,6,40,17,7,4,17,19
13,14,2015-11-23,,PHI,W,100,95,36,78,.462,3,12,.250,25,27,.926,8,41,20,8,7,17,25
14,15,2015-11-25,,ATL,W,99,95,34,82,.415,9,21,.429,22,29,.759,7,45,22,9,4,11,23
15,16,2015-11-27,@,SAC,W,101,91,37,77,.481,9,25,.360,18,19,.947,12,46,20,4,3,17,19
16,17,2015-11-29,@,LAC,L,99,107,37,82,.451,8,16,.500,17,21,.810,7,39,21,7,3,13,27
17,18,2015-12-01,,ORL,L,93,96,29,77,.377,4,19,.211,31,38,.816,12,46,14,7,11,13,20
18,19,2015-12-05,,POR,L,103,109,38,83,.458,5,15,.333,22,26,.846,13,45,24,3,4,14,24
19,20,2015-12-07,,LAC,L,106,110,36,82,.439,7,18,.389,27,35,.771,11,46,18,10,3,18,29
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2015-12-09,,LAL,W,123,122,46,93,.495,7,19,.368,24,31,.774,14,47,30,4,4,14,20
23,22,2015-12-11,@,DEN,L,108,111,38,87,.437,7,19,.368,25,29,.862,8,43,22,5,8,10,27
24,23,2015-12-13,@,PHO,L,101,108,33,73,.452,8,19,.421,27,34,.794,9,38,22,7,4,24,26
25,24,2015-12-15,,DEN,L,100,112,36,77,.468,4,10,.400,24,31,.774,10,31,21,6,6,9,24
26,25,2015-12-16,@,NYK,L,102,107,42,101,.416,4,21,.190,14,14,1.000,16,50,21,12,2,7,23
27,26,2015-12-18,,SAC,W,99,95,39,82,.476,6,18,.333,15,16,.938,14,49,25,2,6,18,19
28,27,2015-12-20,@,BRK,W,100,85,38,80,.475,3,12,.250,21,24,.875,7,46,29,12,5,13,21
29,28,2015-12-21,@,BOS,L,99,113,36,79,.456,2,13,.154,25,32,.781,6,36,20,9,6,12,19
30,29,2015-12-23,,SAS,L,83,108,30,72,.417,3,10,.300,20,25,.800,8,31,19,5,2,13,17
31,30,2015-12-26,,IND,L,88,102,35,75,.467,4,12,.333,14,18,.778,9,33,22,14,2,21,16
32,31,2015-12-28,@,SAS,L,95,101,39,82,.476,3,11,.273,14,24,.583,6,32,25,12,4,15,29
33,32,2015-12-30,,UTA,W,94,80,36,77,.468,5,10,.500,17,27,.630,13,47,27,13,3,10,16
34,33,2015-12-31,@,DET,L,90,115,35,86,.407,5,14,.357,15,19,.789,6,36,22,9,3,15,24
35,34,2016-01-02,,MIL,L,85,95,33,84,.393,3,14,.214,16,24,.667,16,47,19,10,6,16,18
36,35,2016-01-04,@,PHI,L,99,109,39,73,.534,2,5,.400,19,24,.792,6,27,26,11,4,16,18
37,36,2016-01-06,,DEN,L,74,78,28,73,.384,3,11,.273,15,20,.750,8,40,23,5,5,9,19
38,37,2016-01-08,,CLE,L,99,125,36,79,.456,7,16,.438,20,26,.769,7,33,24,8,2,12,21
39,38,2016-01-10,,DAL,L,87,93,33,79,.418,4,16,.250,17,22,.773,11,38,23,8,2,16,25
40,39,2016-01-12,,OKC,L,96,101,36,81,.444,7,18,.389,17,23,.739,11,45,22,7,6,18,15
41,40,2016-01-13,@,HOU,L,104,107,36,78,.462,8,17,.471,24,30,.800,14,43,25,11,1,20,27
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2016-01-15,@,OKC,L,93,113,34,85,.400,5,12,.417,20,23,.870,16,45,15,3,2,12,19
45,42,2016-01-17,,PHO,W,117,87,39,69,.565,7,18,.389,32,40,.800,8,41,23,11,7,15,25
46,43,2016-01-19,@,NOP,L,99,114,36,76,.474,3,14,.214,24,31,.774,12,39,18,10,7,16,21
47,44,2016-01-20,@,DAL,L,94,106,40,91,.440,5,23,.217,9,11,.818,10,52,26,4,9,17,21
48,45,2016-01-23,,MEM,W,106,101,34,68,.500,5,17,.294,33,36,.917,8,38,26,7,5,15,21
49,46,2016-01-25,@,CLE,L,107,114,41,84,.488,4,16,.250,21,23,.913,8,38,28,10,2,10,24
50,47,2016-01-27,,OKC,L,123,126,50,90,.556,5,14,.357,18,28,.643,12,35,31,6,4,8,16
51,48,2016-01-29,@,UTA,L,90,103,35,75,.467,2,10,.200,18,26,.692,13,38,17,9,2,14,13
52,49,2016-01-31,@,POR,L,93,96,35,80,.438,4,16,.250,19,28,.679,15,49,20,10,4,16,23
53,50,2016-02-02,@,LAL,L,115,119,46,80,.575,4,17,.235,19,25,.760,8,33,36,6,4,15,21
54,51,2016-02-03,@,LAC,W,108,102,39,77,.506,8,17,.471,22,26,.846,10,42,24,6,3,15,24
55,52,2016-02-06,,CHI,W,112,105,45,87,.517,1,12,.083,21,22,.955,14,45,24,7,4,9,15
56,53,2016-02-08,,NOP,L,102,116,36,81,.444,2,12,.167,28,35,.800,11,50,24,0,9,12,23
57,54,2016-02-10,,TOR,W,117,112,35,76,.461,4,14,.286,43,53,.811,12,45,22,5,6,7,21
58,55,2016-02-19,@,MEM,L,104,109,31,75,.413,11,26,.423,31,31,1.000,11,42,25,7,6,20,25
59,56,2016-02-20,,NYK,L,95,103,36,84,.429,5,12,.417,18,25,.720,7,31,24,9,6,7,11
60,57,2016-02-22,,BOS,W,124,122,43,83,.518,8,15,.533,30,40,.750,15,51,24,5,6,17,17
61,58,2016-02-24,@,TOR,L,105,114,37,74,.500,6,10,.600,25,33,.758,11,36,25,8,4,15,22
62,59,2016-02-27,@,NOP,W,112,110,42,84,.500,5,15,.333,23,30,.767,7,44,28,9,5,11,21
63,60,2016-02-28,@,DAL,L,101,128,34,90,.378,7,23,.304,26,37,.703,23,53,19,5,3,15,17
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2016-03-02,,WAS,L,98,104,32,75,.427,5,14,.357,29,34,.853,9,45,17,8,2,19,20
67,62,2016-03-04,@,MIL,L,101,116,42,87,.483,7,22,.318,10,14,.714,15,43,25,9,5,25,22
68,63,2016-03-05,,BRK,W,132,118,52,76,.684,10,18,.556,18,22,.818,4,30,36,8,8,12,26
69,64,2016-03-07,@,CHO,L,103,108,39,80,.488,4,15,.267,21,24,.875,5,43,22,10,6,15,19
70,65,2016-03-08,,SAS,L,91,116,36,79,.456,4,15,.267,15,19,.789,7,35,18,5,2,15,17
71,66,2016-03-11,@,OKC,W,99,96,37,86,.430,7,21,.333,18,21,.857,6,37,22,12,7,12,23
72,67,2016-03-14,@,PHO,L,104,107,37,84,.440,4,16,.250,26,30,.867,6,36,25,13,4,16,20
73,68,2016-03-16,@,MEM,W,114,108,40,71,.563,10,21,.476,24,31,.774,7,33,31,5,8,13,20
74,69,2016-03-18,@,HOU,L,111,116,43,85,.506,6,16,.375,19,24,.792,11,35,30,14,4,12,14
75,70,2016-03-21,,GSW,L,104,109,36,82,.439,7,19,.368,25,30,.833,10,37,26,8,5,15,20
76,71,2016-03-23,,SAC,W,113,104,45,80,.563,5,13,.385,18,32,.563,9,43,29,8,6,17,18
77,72,2016-03-25,@,WAS,W,132,129,51,96,.531,8,26,.308,22,22,1.000,8,42,33,9,2,14,22
78,73,2016-03-26,,UTA,L,84,93,32,84,.381,4,11,.364,16,19,.842,9,41,18,9,4,10,13
