,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2017-10-18,@,SAS,L,99,107,41,89,.461,8,21,.381,17,19,.895,12,50,22,8,11,11,18
1,2,2017-10-20,,UTA,W,100,97,37,77,.481,9,22,.409,14,17,.824,7,38,23,10,8,19,21
2,3,2017-10-22,@,OKC,W,115,113,46,96,.479,11,31,.355,10,16,.625,9,36,26,9,6,11,22
3,4,2017-10-24,,IND,L,107,130,56,84,.667,10,22,.455,8,11,.727,8,42,31,8,2,17,21
4,5,2017-10-25,@,DET,L,101,122,48,92,.522,15,34,.441,11,17,.647,12,47,32,7,3,14,22
5,6,2017-10-27,,OKC,W,119,116,43,86,.500,8,28,.286,22,25,.880,11,35,19,8,9,14,29
6,7,2017-10-30,@,MIA,W,125,122,49,93,.527,7,27,.259,17,25,.680,15,50,17,8,5,24,28
7,8,2017-11-01,@,NOP,W,104,98,36,84,.429,8,31,.258,18,21,.857,9,38,27,13,4,19,24
8,9,2017-11-04,,DAL,W,112,99,40,87,.460,10,27,.370,9,12,.750,7,31,18,7,2,15,19
9,10,2017-11-05,,CHO,W,112,94,37,89,.416,9,28,.321,11,21,.524,10,40,24,8,3,11,24
10,11,2017-11-08,@,GSW,L,101,125,48,85,.565,15,36,.417,14,18,.778,3,45,37,10,9,19,23
11,12,2017-11-11,@,PHO,L,110,118,46,86,.535,10,26,.385,16,24,.667,7,46,21,4,10,18,25
12,13,2017-11-13,@,UTA,W,109,98,37,84,.440,14,40,.350,10,11,.909,8,31,23,8,4,15,23
13,14,2017-11-15,,SAS,W,98,86,33,79,.418,7,24,.292,13,15,.867,13,45,20,4,4,16,18
14,15,2017-11-17,@,DAL,W,111,87,32,86,.372,8,38,.211,15,17,.882,11,41,18,3,3,11,20
15,16,2017-11-19,,DET,L,97,100,39,83,.470,8,25,.320,14,20,.700,11,37,25,10,2,19,21
16,17,2017-11-20,@,CHO,L,102,118,42,85,.494,11,26,.423,23,29,.793,11,52,22,5,7,17,18
17,18,2017-11-22,,ORL,W,124,118,46,91,.505,12,37,.324,14,22,.636,7,44,28,4,4,14,31
18,19,2017-11-24,,MIA,L,97,109,38,80,.475,19,39,.487,14,16,.875,9,42,29,4,4,13,24
19,20,2017-11-26,,PHO,W,119,108,43,85,.506,13,26,.500,9,12,.750,11,37,25,6,1,15,20
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2017-11-28,,WAS,L,89,92,36,83,.434,10,28,.357,10,17,.588,9,44,23,5,4,7,16
23,22,2017-11-29,@,NOP,W,120,102,39,84,.464,14,35,.400,10,11,.909,8,28,27,8,2,16,17
24,23,2017-12-01,@,OKC,L,107,111,41,79,.519,8,26,.308,21,22,.955,13,42,28,7,7,18,24
25,24,2017-12-03,,LAC,W,112,106,37,73,.507,15,34,.441,17,22,.773,8,37,21,3,7,16,26
26,25,2017-12-04,@,MEM,L,92,95,34,72,.472,6,21,.286,21,24,.875,6,41,22,6,8,16,22
27,26,2017-12-06,@,LAC,W,113,107,44,99,.444,10,32,.313,9,15,.600,17,43,23,6,3,9,17
28,27,2017-12-10,,DAL,W,97,92,37,81,.457,11,31,.355,7,9,.778,6,33,23,6,5,10,22
29,28,2017-12-12,,PHI,L,112,118,40,80,.500,11,26,.423,27,32,.844,7,52,32,6,3,24,18
30,29,2017-12-14,,SAC,W,119,96,36,87,.414,14,33,.424,10,12,.833,15,42,24,4,2,14,21
31,30,2017-12-16,,PHO,L,106,108,33,72,.458,11,24,.458,31,35,.886,13,52,22,4,3,23,21
32,31,2017-12-18,,POR,W,108,107,46,84,.548,10,24,.417,5,5,1.000,7,40,26,6,8,17,19
33,32,2017-12-20,@,DEN,W,112,104,36,72,.500,13,28,.464,19,24,.792,8,42,27,6,5,21,18
34,33,2017-12-23,@,PHO,W,115,106,40,86,.465,11,32,.344,15,24,.625,9,36,24,5,4,13,22
35,34,2017-12-25,@,LAL,W,121,104,40,92,.435,10,30,.333,14,20,.700,13,37,21,10,1,12,16
36,35,2017-12-27,,DEN,W,128,125,42,91,.462,15,39,.385,26,31,.839,11,48,26,3,2,9,24
37,36,2017-12-28,@,MIL,L,96,102,41,75,.547,5,15,.333,15,16,.938,7,36,23,10,0,16,18
38,37,2017-12-31,@,IND,W,107,90,33,85,.388,10,25,.400,14,18,.778,13,43,20,3,5,16,18
39,38,2018-01-01,,LAL,W,114,96,34,76,.447,8,26,.308,20,29,.690,9,37,18,12,4,24,25
40,39,2018-01-03,@,BRK,L,97,98,37,72,.514,14,30,.467,10,11,.909,4,38,22,3,3,19,23
