,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2017-10-18,@,MEM,L,91,103,30,79,.380,7,25,.280,24,29,.828,16,51,15,4,12,17,31
1,2,2017-10-20,,GSW,L,120,128,45,98,.459,16,36,.444,14,22,.636,16,51,26,8,4,17,19
2,3,2017-10-22,@,LAL,W,119,112,47,83,.566,10,32,.313,15,21,.714,6,42,26,14,5,18,20
3,4,2017-10-24,@,POR,L,93,103,30,76,.395,9,30,.300,24,32,.750,4,42,17,5,7,17,26
4,5,2017-10-26,@,SAC,W,114,106,42,86,.488,13,32,.406,17,23,.739,10,47,22,5,3,15,24
5,6,2017-10-28,,CLE,W,123,101,49,95,.516,13,33,.394,12,16,.750,10,47,33,10,4,11,20
6,7,2017-10-30,,ORL,L,99,115,39,85,.459,7,28,.250,14,18,.778,9,43,30,9,5,19,22
7,8,2017-11-01,,MIN,L,98,104,36,84,.429,8,31,.258,18,21,.857,9,38,27,13,4,19,24
8,9,2017-11-03,@,DAL,W,99,94,36,89,.404,7,29,.241,20,26,.769,9,53,23,9,4,12,22
9,10,2017-11-04,@,CHI,W,96,90,35,87,.402,9,31,.290,17,22,.773,5,52,23,9,4,13,9
10,11,2017-11-07,@,IND,W,117,112,44,87,.506,14,35,.400,15,22,.682,11,43,23,6,5,12,18
11,12,2017-11-09,@,TOR,L,118,122,44,82,.537,13,31,.419,17,25,.680,4,38,31,7,4,13,20
12,13,2017-11-11,,LAC,W,111,103,43,80,.538,6,16,.375,19,24,.792,8,51,26,7,4,23,19
13,14,2017-11-13,,ATL,W,106,105,41,75,.547,13,33,.394,11,17,.647,7,38,31,10,5,19,13
14,15,2017-11-15,,TOR,L,116,125,46,91,.505,10,27,.370,14,14,1.000,10,32,31,13,3,14,21
15,16,2017-11-17,@,DEN,L,114,146,48,91,.527,12,33,.364,6,10,.600,8,29,32,2,0,13,19
16,17,2017-11-20,,OKC,W,114,107,41,80,.513,7,25,.280,25,32,.781,7,49,26,8,3,19,22
17,18,2017-11-22,,SAS,W,107,90,39,81,.481,7,24,.292,22,24,.917,7,45,23,7,2,15,18
18,19,2017-11-24,@,PHO,W,115,91,45,91,.495,9,27,.333,16,22,.727,13,49,29,10,4,15,18
19,20,2017-11-25,@,GSW,L,95,110,34,84,.405,11,31,.355,16,23,.696,9,45,24,2,9,17,24
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2017-11-29,,MIN,L,102,120,39,84,.464,14,35,.400,10,11,.909,8,28,27,8,2,16,17
23,22,2017-12-01,@,UTA,L,108,114,42,87,.483,15,30,.500,9,15,.600,6,42,28,4,7,10,20
24,23,2017-12-02,@,POR,W,123,116,45,86,.523,15,31,.484,18,25,.720,4,48,22,2,3,10,16
25,24,2017-12-04,,GSW,L,115,125,45,91,.495,16,39,.410,9,15,.600,11,47,33,11,4,21,26
26,25,2017-12-06,,DEN,W,123,114,46,86,.535,12,31,.387,19,29,.655,11,49,28,4,5,11,19
27,26,2017-12-08,,SAC,L,109,116,41,89,.461,10,28,.357,17,19,.895,7,35,19,7,3,17,14
28,27,2017-12-10,,PHI,W,131,124,46,80,.575,15,24,.625,24,32,.750,5,33,31,11,9,14,21
29,28,2017-12-11,@,HOU,L,123,130,49,85,.576,18,33,.545,7,13,.538,6,41,32,6,2,18,19
30,29,2017-12-13,,MIL,W,115,108,45,80,.563,13,25,.520,12,15,.800,9,41,35,5,8,21,16
31,30,2017-12-15,@,DEN,L,111,117,43,91,.473,15,34,.441,10,14,.714,7,42,27,8,8,19,15
32,31,2017-12-19,@,WAS,L,106,116,34,80,.425,5,20,.250,33,40,.825,11,42,20,7,1,16,16
33,32,2017-12-22,@,ORL,W,111,97,43,86,.500,10,30,.333,15,24,.625,11,48,23,10,2,15,25
34,33,2017-12-23,@,MIA,W,109,94,39,73,.534,15,25,.600,16,19,.842,6,37,27,5,10,14,20
35,34,2017-12-27,,BRK,W,128,113,48,90,.533,17,33,.515,15,19,.789,6,43,40,8,9,10,15
36,35,2017-12-29,,DAL,L,120,128,42,85,.494,8,31,.258,28,32,.875,4,31,28,8,6,8,19
37,36,2017-12-30,,NYK,L,103,105,38,84,.452,6,26,.231,21,27,.778,4,48,24,3,5,10,19
38,37,2018-01-03,@,UTA,W,108,98,41,82,.500,14,30,.467,12,12,1.000,7,42,23,8,2,20,18
39,38,2018-01-06,@,MIN,L,98,116,33,78,.423,6,29,.207,26,28,.929,7,38,20,5,6,15,19
40,39,2018-01-08,,DET,W,112,109,46,82,.561,6,22,.273,14,21,.667,9,41,31,7,9,16,18
41,40,2018-01-10,@,MEM,L,102,105,34,77,.442,11,35,.314,23,34,.676,9,40,20,5,7,12,26
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2018-01-12,,POR,W,119,113,45,82,.549,7,19,.368,22,23,.957,9,43,26,7,6,18,16
45,42,2018-01-14,@,NYK,W,123,118,45,95,.474,9,32,.281,24,34,.706,12,46,19,17,7,19,17
46,43,2018-01-16,@,BOS,W,116,113,45,100,.450,7,27,.259,19,25,.760,13,55,28,11,6,15,14
47,44,2018-01-17,@,ATL,L,93,94,35,80,.438,10,27,.370,13,19,.684,9,43,27,5,6,12,20
48,45,2018-01-20,,MEM,W,111,104,39,78,.500,7,27,.259,26,32,.813,6,41,23,6,5,10,15
49,46,2018-01-22,,CHI,W,132,128,47,113,.416,16,44,.364,22,26,.846,15,55,32,14,3,13,28
50,47,2018-01-24,@,CHO,W,101,96,39,87,.448,9,26,.346,14,18,.778,8,42,26,6,10,15,19
51,48,2018-01-26,,HOU,W,115,113,44,82,.537,11,27,.407,16,21,.762,6,42,36,8,5,15,26
52,49,2018-01-28,,LAC,L,103,112,38,85,.447,9,35,.257,18,25,.720,7,47,23,9,6,15,20
53,50,2018-01-30,,SAC,L,103,114,39,77,.506,9,25,.360,16,22,.727,2,36,26,7,8,15,18
54,51,2018-02-02,@,OKC,W,114,100,46,90,.511,13,24,.542,9,13,.692,5,41,30,10,2,16,20
55,52,2018-02-03,@,MIN,L,107,118,42,101,.416,8,33,.242,15,17,.882,18,51,23,9,8,13,11
56,53,2018-02-05,,UTA,L,109,133,47,93,.505,8,22,.364,7,13,.538,6,30,24,10,6,14,15
57,54,2018-02-09,@,PHI,L,82,100,33,95,.347,8,31,.258,8,16,.500,8,46,17,8,6,12,12
58,55,2018-02-10,@,BRK,W,138,128,52,106,.491,9,24,.375,25,39,.641,14,59,23,10,10,15,18
59,56,2018-02-12,@,DET,W,118,103,44,100,.440,14,34,.412,16,16,1.000,10,53,31,6,7,11,25
60,57,2018-02-14,,LAL,W,139,117,53,99,.535,14,32,.438,19,21,.905,12,48,35,13,7,11,20
61,58,2018-02-23,,MIA,W,124,123,48,108,.444,8,31,.258,20,24,.833,13,56,27,9,13,15,18
62,59,2018-02-25,@,MIL,W,123,121,51,107,.477,10,30,.333,11,14,.786,11,50,22,8,7,15,24
63,60,2018-02-26,,PHO,W,125,116,43,91,.473,8,28,.286,31,40,.775,9,46,30,7,8,14,22
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2018-02-28,@,SAS,W,121,116,50,99,.505,9,26,.346,12,15,.800,12,43,26,7,3,12,17
67,62,2018-03-04,@,DAL,W,126,109,49,91,.538,12,26,.462,16,21,.762,6,47,27,9,4,11,21
68,63,2018-03-06,@,LAC,W,121,116,46,103,.447,13,30,.433,16,18,.889,9,51,39,11,12,8,20
69,64,2018-03-07,@,SAC,W,114,101,47,83,.566,11,26,.423,9,9,1.000,5,40,26,6,7,16,22
70,65,2018-03-09,,WAS,L,97,116,38,82,.463,6,20,.300,15,18,.833,2,38,23,3,10,15,18
71,66,2018-03-11,,UTA,L,99,116,41,93,.441,6,21,.286,11,13,.846,10,38,28,7,14,13,25
72,67,2018-03-13,,CHO,W,119,115,52,104,.500,9,22,.409,6,8,.750,14,50,33,10,7,12,16
73,68,2018-03-15,@,SAS,L,93,98,36,90,.400,6,16,.375,15,16,.938,12,53,18,7,7,14,18
74,69,2018-03-17,,HOU,L,101,107,41,83,.494,8,24,.333,11,12,.917,6,40,18,4,8,12,19
75,70,2018-03-18,,BOS,W,108,89,41,82,.500,6,18,.333,20,25,.800,5,44,33,9,5,10,13
76,71,2018-03-20,,DAL,W,115,105,48,91,.527,10,25,.400,9,15,.600,9,46,33,5,2,9,11
77,72,2018-03-21,,IND,W,96,92,34,79,.430,8,23,.348,20,24,.833,10,50,15,4,11,18,19
78,73,2018-03-22,,LAL,W,128,125,52,95,.547,6,24,.250,18,22,.818,8,42,28,13,4,9,19
79,74,2018-03-24,@,HOU,L,91,114,38,96,.396,6,21,.286,9,12,.750,12,46,19,10,6,16,14
80,75,2018-03-27,,POR,L,103,107,43,94,.457,4,24,.167,13,14,.929,11,54,28,3,10,16,19
81,76,2018-03-30,@,CLE,L,102,107,43,89,.483,11,26,.423,5,6,.833,7,41,25,4,2,11,19
82,77,2018-04-01,,OKC,L,104,109,38,83,.458,11,32,.344,17,23,.739,7,44,28,13,3,21,20
83,78,2018-04-04,,MEM,W,123,95,45,86,.523,16,36,.444,17,19,.895,11,48,32,14,7,16,19
84,79,2018-04-06,@,PHO,W,122,103,45,99,.455,16,38,.421,16,20,.800,13,55,29,9,7,15,22
85,80,2018-04-07,@,GSW,W,126,120,49,87,.563,11,27,.407,17,22,.773,4,34,39,15,6,8,16
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
88,81,2018-04-09,@,LAC,W,113,100,44,95,.463,11,30,.367,14,20,.700,9,50,34,13,10,7,18
89,82,2018-04-11,,SAS,W,122,98,52,88,.591,5,19,.263,13,19,.684,11,51,30,11,5,19,20
