,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2018-10-17,@,HOU,W,131,112,39,92,.424,16,48,.333,18,24,.750,8,37,21,8,7,11,22
1,2,2018-10-19,,SAC,W,149,129,50,96,.521,10,25,.400,19,26,.731,9,39,24,6,2,13,26
2,3,2018-10-23,,LAC,W,116,109,41,87,.471,5,20,.250,22,27,.815,9,47,18,5,4,16,26
3,4,2018-10-26,,BRK,W,117,115,43,98,.439,19,40,.475,10,15,.667,16,54,26,6,8,18,22
4,5,2018-10-27,,UTA,L,111,132,46,88,.523,10,32,.313,30,37,.811,6,43,32,7,7,13,26
5,6,2018-10-29,@,DEN,L,111,116,42,93,.452,11,35,.314,21,23,.913,9,41,28,14,5,13,17
6,7,2018-10-31,@,GSW,L,121,131,47,89,.528,16,32,.500,21,30,.700,12,46,39,10,4,17,24
7,8,2018-11-01,@,POR,L,119,132,44,87,.506,18,35,.514,26,31,.839,8,46,26,4,4,14,30
8,9,2018-11-03,@,SAS,L,95,109,45,96,.469,8,23,.348,11,14,.786,8,43,29,8,4,9,21
9,10,2018-11-05,@,OKC,L,116,122,45,93,.484,10,27,.370,22,31,.710,9,41,26,15,3,12,23
10,11,2018-11-07,,CHI,W,107,98,38,96,.396,9,31,.290,13,17,.765,7,46,18,9,7,11,16
11,12,2018-11-10,,PHO,W,119,99,35,86,.407,10,36,.278,19,20,.950,10,37,16,10,7,14,27
12,13,2018-11-12,@,TOR,W,126,110,39,97,.402,13,45,.289,19,22,.864,13,43,22,9,5,10,20
13,14,2018-11-14,@,MIN,L,100,107,37,90,.411,14,32,.438,19,24,.792,11,47,29,14,6,15,22
14,15,2018-11-16,,NYK,W,129,124,48,98,.490,11,34,.324,17,24,.708,12,44,15,10,6,13,31
15,16,2018-11-17,,DEN,W,125,115,46,95,.484,15,39,.385,8,13,.615,10,43,30,5,6,13,23
16,17,2018-11-19,,SAS,W,140,126,45,94,.479,12,24,.500,24,30,.800,18,44,22,7,0,15,20
17,18,2018-11-21,@,PHI,L,120,121,44,98,.449,10,29,.345,23,26,.885,11,47,27,7,7,16,26
18,19,2018-11-23,@,NYK,L,109,114,41,91,.451,12,33,.364,20,27,.741,12,46,22,9,10,8,26
19,20,2018-11-24,@,WAS,L,114,124,51,90,.567,10,29,.345,12,23,.522,5,45,30,12,9,14,16
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2018-11-26,,BOS,L,107,124,48,97,.495,19,39,.487,9,10,.900,14,42,27,14,4,13,25
23,22,2018-11-28,,WAS,W,125,104,41,95,.432,13,39,.333,9,16,.563,12,38,26,12,2,16,22
24,23,2018-11-30,@,MIA,L,101,106,40,93,.430,11,33,.333,15,24,.625,13,46,22,10,4,10,24
25,24,2018-12-02,@,CHO,W,119,109,39,91,.429,10,36,.278,21,28,.750,11,41,25,9,6,11,19
26,25,2018-12-03,,LAC,L,126,129,49,83,.590,8,20,.400,23,30,.767,7,39,29,4,1,12,21
27,26,2018-12-05,,DAL,W,132,106,39,91,.429,14,46,.304,14,21,.667,11,45,26,7,4,18,17
28,27,2018-12-07,,MEM,L,103,107,39,83,.470,8,19,.421,21,28,.750,10,42,30,10,7,11,25
29,28,2018-12-09,@,DET,W,116,108,43,98,.439,9,29,.310,13,24,.542,17,47,28,8,5,10,22
30,29,2018-12-10,@,BOS,L,100,113,44,90,.489,12,39,.308,13,19,.684,14,51,23,8,5,13,21
31,30,2018-12-12,,OKC,W,118,114,42,87,.483,13,43,.302,17,27,.630,9,39,23,10,6,18,27
32,31,2018-12-16,,MIA,L,96,102,38,91,.418,10,35,.286,16,23,.696,22,57,22,6,4,18,21
33,32,2018-12-19,@,MIL,L,115,123,43,85,.506,13,33,.394,24,30,.800,9,48,26,11,3,14,18
34,33,2018-12-21,@,LAL,L,104,112,43,92,.467,8,32,.250,18,25,.720,8,48,28,7,4,12,17
35,34,2018-12-23,@,SAC,L,117,122,42,100,.420,14,31,.452,24,33,.727,12,50,26,9,4,9,21
36,35,2018-12-26,@,DAL,L,119,122,39,81,.481,12,35,.343,32,38,.842,8,46,23,3,13,12,25
37,36,2018-12-28,,DAL,W,114,112,37,78,.474,15,32,.469,23,33,.697,11,39,19,7,6,16,22
