,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-29,,CHI,L,80,104,36,71,.507,7,24,.292,25,30,.833,10,47,21,9,4,15,18
1,2,2014-10-30,@,CLE,W,95,90,32,70,.457,9,24,.375,17,20,.850,11,33,22,5,2,19,15
2,3,2014-11-02,,CHO,W,96,93,33,70,.471,6,15,.400,21,29,.724,8,38,20,7,2,12,16
3,4,2014-11-04,,WAS,L,83,98,39,80,.488,8,18,.444,12,19,.632,10,41,26,8,4,12,25
4,5,2014-11-05,@,DET,L,95,98,32,87,.368,11,23,.478,23,33,.697,19,55,17,5,4,8,16
5,6,2014-11-07,@,BRK,L,99,110,38,74,.514,14,24,.583,20,26,.769,7,42,18,6,6,16,24
6,7,2014-11-08,@,ATL,L,96,103,33,81,.407,9,22,.409,28,36,.778,12,41,18,10,5,8,17
7,8,2014-11-10,,ATL,L,85,91,27,71,.380,10,27,.370,27,28,.964,9,38,20,7,3,15,16
8,9,2014-11-12,,ORL,L,95,97,33,70,.471,6,12,.500,25,32,.781,4,37,20,4,1,10,19
9,10,2014-11-14,,UTA,L,100,102,36,70,.514,10,22,.455,20,25,.800,11,39,25,6,8,18,20
10,11,2014-11-16,,DEN,W,109,93,32,82,.390,13,34,.382,16,26,.615,10,39,20,9,0,17,21
11,12,2014-11-18,@,MIL,L,113,117,43,78,.551,9,17,.529,22,27,.815,17,44,30,5,0,16,24
12,13,2014-11-19,@,MIN,L,99,115,44,89,.494,11,22,.500,16,22,.727,15,35,26,15,2,14,23
13,14,2014-11-22,,PHI,W,91,83,30,75,.400,8,26,.308,15,25,.600,10,36,13,8,1,18,21
14,15,2014-11-24,@,HOU,L,86,91,32,76,.421,14,36,.389,13,19,.684,10,38,19,13,4,16,19
15,16,2014-11-26,@,DAL,L,102,109,38,95,.400,4,31,.129,29,38,.763,20,56,20,12,5,11,16
16,17,2014-11-28,@,OKC,L,78,105,38,86,.442,10,24,.417,19,23,.826,18,57,20,9,0,14,30
17,18,2014-11-30,,MIA,L,79,86,30,72,.417,7,23,.304,19,31,.613,10,41,20,8,1,14,20
18,19,2014-12-02,,BRK,L,93,98,39,89,.438,6,17,.353,14,20,.700,21,49,22,7,5,14,20
19,20,2014-12-04,,CLE,L,87,90,32,70,.457,5,18,.278,21,26,.808,6,33,19,8,1,17,16
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2014-12-05,@,CHO,L,102,103,42,88,.477,4,18,.222,15,18,.833,10,41,19,2,7,7,20
23,22,2014-12-07,,POR,L,99,103,36,85,.424,10,28,.357,21,29,.724,16,44,21,8,2,9,17
24,23,2014-12-09,@,NOP,L,93,104,40,80,.500,4,15,.267,20,26,.769,12,43,22,7,8,11,14
25,24,2014-12-10,@,SAS,L,95,109,37,73,.507,10,19,.526,25,30,.833,8,35,22,10,4,9,16
26,25,2014-12-12,@,BOS,W,101,95,37,85,.435,7,22,.318,14,18,.778,12,41,28,3,3,17,18
27,26,2014-12-14,,TOR,L,90,95,36,78,.462,9,24,.375,14,18,.778,9,42,24,14,2,23,25
28,27,2014-12-16,,DAL,L,87,107,42,83,.506,15,33,.455,8,8,1.000,10,41,30,9,4,17,14
29,28,2014-12-18,@,CHI,L,97,103,34,75,.453,12,23,.522,23,30,.767,11,32,23,9,8,11,17
30,29,2014-12-20,,PHO,L,90,99,35,78,.449,10,25,.400,19,23,.826,12,43,15,10,3,14,12
31,30,2014-12-21,@,TOR,L,108,118,42,86,.488,14,33,.424,20,27,.741,16,43,24,7,4,10,24
32,31,2014-12-25,,WAS,L,91,102,44,86,.512,7,16,.438,7,10,.700,13,45,25,4,3,10,20
33,32,2014-12-27,@,SAC,L,129,135,49,89,.551,8,16,.500,29,33,.879,10,39,23,9,7,17,27
34,33,2014-12-28,@,POR,L,79,101,38,81,.469,16,36,.444,9,12,.750,7,48,25,8,7,11,15
35,34,2014-12-31,@,LAC,L,78,99,36,82,.439,15,34,.441,12,20,.600,5,50,28,6,3,10,13
36,35,2015-01-02,,DET,L,81,97,38,76,.500,13,33,.394,8,14,.571,9,49,24,10,3,16,16
37,36,2015-01-04,,MIL,L,82,95,35,77,.455,4,16,.250,21,27,.778,14,48,23,10,4,18,20
38,37,2015-01-05,@,MEM,L,83,105,43,82,.524,7,15,.467,12,19,.632,11,45,25,14,5,17,15
39,38,2015-01-07,@,WAS,L,91,101,39,76,.513,8,16,.500,15,21,.714,9,44,28,9,4,16,13
40,39,2015-01-08,,HOU,L,96,120,41,77,.532,16,36,.444,22,32,.688,7,36,25,14,5,19,23
41,40,2015-01-10,,CHO,L,82,110,39,78,.500,7,16,.438,25,33,.758,11,51,18,8,5,15,14
