,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2022-10-19,@,MEM,L,112,115,44,109,.404,9,37,.243,15,18,.833,18,54,28,7,5,12,26
1,2,2022-10-21,,DET,W,130,106,50,95,.526,16,38,.421,14,22,.636,11,50,29,4,6,12,26
2,3,2022-10-24,,ORL,W,115,102,43,93,.462,11,37,.297,18,25,.720,18,50,24,7,3,13,24
3,4,2022-10-26,,CHO,W,134,131,52,97,.536,11,30,.367,19,22,.864,12,46,26,5,11,16,24
4,5,2022-10-28,@,MIL,L,108,119,37,93,.398,12,35,.343,22,32,.688,13,54,19,6,5,12,19
5,6,2022-10-30,@,CLE,L,108,121,45,92,.489,10,27,.370,8,16,.500,12,45,26,9,2,14,25
6,7,2022-11-02,,ATL,L,99,112,37,90,.411,10,36,.278,15,20,.750,12,52,23,3,9,16,19
7,8,2022-11-04,@,PHI,W,106,104,37,80,.463,9,33,.273,23,27,.852,10,50,24,5,8,21,21
8,9,2022-11-05,,BOS,L,118,133,46,90,.511,11,27,.407,15,16,.938,12,44,22,6,4,13,14
9,10,2022-11-07,@,MIN,W,120,107,39,89,.438,19,48,.396,23,25,.920,9,43,26,13,2,16,23
10,11,2022-11-09,@,BRK,L,85,112,28,87,.322,12,43,.279,17,26,.654,11,46,21,5,4,15,18
11,12,2022-11-11,,DET,W,121,112,42,94,.447,10,40,.250,27,29,.931,16,47,23,7,3,11,31
12,13,2022-11-13,,OKC,L,135,145,48,97,.495,10,31,.323,29,33,.879,13,35,25,13,2,13,18
13,14,2022-11-15,@,UTA,W,118,111,44,93,.473,11,32,.344,19,25,.760,13,43,26,10,3,12,25
14,15,2022-11-16,@,DEN,W,106,103,37,84,.440,8,34,.235,24,31,.774,6,40,24,12,5,7,18
15,16,2022-11-18,@,GSW,L,101,111,30,87,.345,9,34,.265,32,34,.941,13,45,16,8,7,16,16
16,17,2022-11-20,@,PHO,L,95,116,34,85,.400,7,25,.280,20,25,.800,10,39,20,4,7,10,15
17,18,2022-11-21,@,OKC,W,129,119,51,97,.526,11,34,.324,16,20,.800,14,48,21,10,2,13,28
18,19,2022-11-25,,POR,L,129,132,46,105,.438,13,41,.317,24,28,.857,12,44,27,7,5,10,35
19,20,2022-11-27,,MEM,L,123,127,44,87,.506,10,30,.333,25,30,.833,12,42,30,3,7,8,27
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2022-11-29,@,DET,W,140,110,54,96,.563,16,35,.457,16,21,.762,17,51,31,9,1,14,19
23,22,2022-11-30,,MIL,L,103,109,42,100,.420,6,30,.200,13,20,.650,19,55,18,2,3,7,20
24,23,2022-12-03,,DAL,L,100,121,35,77,.455,10,31,.323,20,28,.714,7,45,18,7,1,19,17
25,24,2022-12-04,,CLE,W,92,81,35,86,.407,5,29,.172,17,21,.810,14,54,17,6,3,20,16
26,25,2022-12-07,,ATL,W,113,89,37,83,.446,17,36,.472,22,24,.917,13,55,26,6,2,14,23
27,26,2022-12-09,@,CHO,W,121,102,41,93,.441,13,34,.382,26,30,.867,16,48,25,6,7,11,21
28,27,2022-12-11,,SAC,W,112,99,40,89,.449,8,35,.229,24,27,.889,15,55,19,8,4,14,22
29,28,2022-12-14,@,CHI,W,128,120,45,91,.495,18,34,.529,20,25,.800,15,48,25,7,5,15,25
30,29,2022-12-16,@,CHI,W,114,91,37,92,.402,17,44,.386,23,32,.719,15,50,19,13,2,10,13
31,30,2022-12-18,@,IND,W,109,106,39,83,.470,8,26,.308,23,30,.767,14,49,13,7,9,16,21
32,31,2022-12-20,,GSW,W,132,94,45,87,.517,17,40,.425,25,32,.781,14,47,27,8,1,11,15
33,32,2022-12-21,,TOR,L,106,113,42,76,.553,11,26,.423,11,18,.611,9,38,25,2,3,16,19
34,33,2022-12-23,,CHI,L,117,118,43,86,.500,16,35,.457,15,26,.577,12,47,23,2,4,10,17
35,34,2022-12-25,,PHI,L,112,119,43,90,.478,12,32,.375,14,17,.824,12,46,30,4,6,8,19
36,35,2022-12-27,@,DAL,L,121,126,45,103,.437,16,50,.320,15,24,.625,17,55,27,5,0,9,23
37,36,2022-12-29,@,SAS,L,115,122,38,90,.422,15,41,.366,24,31,.774,13,38,20,7,2,12,21
38,37,2022-12-31,@,HOU,W,108,88,35,90,.389,15,51,.294,23,32,.719,16,46,20,10,5,10,20
39,38,2023-01-02,,PHO,W,102,83,36,74,.486,13,33,.394,17,25,.680,5,45,26,1,2,7,13
40,39,2023-01-04,,SAS,W,117,114,45,94,.479,10,31,.323,17,26,.654,14,47,16,7,6,12,21
41,40,2023-01-06,@,TOR,W,112,108,39,83,.470,16,37,.432,18,26,.692,13,51,19,3,4,11,23
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2023-01-09,,MIL,L,107,111,38,100,.380,11,41,.268,20,22,.909,18,48,16,8,1,7,14
45,42,2023-01-11,,IND,W,119,113,38,84,.452,15,42,.357,28,33,.848,12,50,21,9,4,12,16
46,43,2023-01-13,@,WAS,W,112,108,41,92,.446,8,29,.276,22,31,.710,14,54,15,3,6,7,23
47,44,2023-01-15,@,DET,W,117,104,40,88,.455,12,30,.400,25,31,.806,18,52,17,3,6,6,12
48,45,2023-01-16,,TOR,L,121,123,42,99,.424,9,31,.290,28,35,.800,20,54,17,3,5,11,28
49,46,2023-01-18,,WAS,L,105,116,40,96,.417,7,26,.269,18,27,.667,20,49,14,9,4,9,20
50,47,2023-01-20,@,ATL,L,124,139,49,83,.590,13,30,.433,13,17,.765,9,34,27,5,3,12,15
51,48,2023-01-22,@,TOR,L,116,125,40,82,.488,18,41,.439,18,26,.692,14,47,30,4,4,16,24
52,49,2023-01-24,,CLE,W,105,103,37,75,.493,17,33,.515,14,21,.667,9,42,25,4,3,15,18
53,50,2023-01-26,@,BOS,W,120,117,44,96,.458,13,38,.342,19,23,.826,10,50,17,5,5,8,20
54,51,2023-01-28,@,BRK,L,115,122,45,88,.511,10,28,.357,15,19,.789,14,45,19,4,4,10,14
55,52,2023-01-31,,LAL,L,123,129,44,98,.449,7,34,.206,28,32,.875,13,45,27,6,3,9,24
56,53,2023-02-02,,MIA,W,106,104,40,83,.482,12,36,.333,14,18,.778,11,44,25,8,0,17,17
57,54,2023-02-04,,LAC,L,128,134,45,94,.479,18,40,.450,20,26,.769,10,46,30,6,3,10,30
58,55,2023-02-05,,PHI,W,108,97,34,79,.430,12,36,.333,28,39,.718,14,49,21,5,1,9,28
59,56,2023-02-07,@,ORL,W,102,98,37,81,.457,15,43,.349,13,19,.684,11,43,21,6,2,10,22
60,57,2023-02-10,@,PHI,L,108,119,43,81,.531,11,32,.344,11,16,.688,4,35,23,1,5,12,17
61,58,2023-02-11,,UTA,W,126,120,43,95,.453,12,36,.333,28,38,.737,20,52,18,6,4,6,24
62,59,2023-02-13,,BRK,W,124,106,45,82,.549,15,34,.441,19,26,.731,6,38,18,4,3,8,24
63,60,2023-02-15,@,ATL,W,122,101,45,96,.469,14,43,.326,18,22,.818,10,55,16,2,4,9,21
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2023-02-24,@,WAS,W,115,109,45,92,.489,12,29,.414,13,16,.813,12,43,21,9,2,12,17
67,62,2023-02-25,,NOP,W,128,106,45,88,.511,19,48,.396,19,23,.826,11,54,24,1,7,19,22
68,63,2023-02-27,,BOS,W,109,94,37,78,.474,12,31,.387,23,34,.676,7,44,20,6,3,11,11
69,64,2023-03-01,,BRK,W,142,118,54,89,.607,20,35,.571,14,21,.667,7,46,28,5,3,16,21
70,65,2023-03-03,@,MIA,W,122,120,47,81,.580,17,41,.415,11,17,.647,6,34,23,8,4,11,23
71,66,2023-03-05,@,BOS,W,131,129,47,95,.495,15,41,.366,22,32,.688,11,54,18,7,4,19,27
72,67,2023-03-07,,CHO,L,105,112,38,89,.427,11,40,.275,18,24,.750,10,39,18,3,4,8,18
73,68,2023-03-09,@,SAC,L,117,122,42,101,.416,13,50,.260,20,31,.645,23,58,27,8,1,13,25
74,69,2023-03-11,@,LAC,L,95,106,32,90,.356,7,31,.226,24,27,.889,20,54,21,5,3,9,17
75,70,2023-03-12,@,LAL,W,112,108,42,88,.477,11,37,.297,17,21,.810,12,46,18,8,3,11,18
76,71,2023-03-14,@,POR,W,123,107,42,81,.519,15,35,.429,24,34,.706,9,52,23,8,8,12,13
77,72,2023-03-18,,DEN,W,116,110,41,83,.494,9,32,.281,25,28,.893,15,43,23,9,4,12,16
78,73,2023-03-20,,MIN,L,134,140,48,85,.565,14,28,.500,24,28,.857,7,34,26,7,3,16,22
79,74,2023-03-22,@,MIA,L,120,127,42,82,.512,16,40,.400,20,25,.800,9,42,29,7,5,16,25
80,75,2023-03-23,@,ORL,L,106,111,37,88,.420,12,40,.300,20,26,.769,13,44,26,8,8,13,15
81,76,2023-03-27,,HOU,W,137,115,50,86,.581,17,39,.436,20,28,.714,7,39,35,11,8,10,20
82,77,2023-03-29,,MIA,W,101,92,38,76,.500,13,31,.419,12,23,.522,9,47,22,8,3,15,14
83,78,2023-03-31,@,CLE,W,130,116,49,93,.527,17,36,.472,15,24,.625,16,48,24,6,5,7,12
84,79,2023-04-02,,WAS,W,118,109,46,88,.523,13,32,.406,13,18,.722,7,39,31,12,4,11,17
85,80,2023-04-05,@,IND,W,138,129,52,100,.520,18,46,.391,16,25,.640,20,52,34,13,8,14,21
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
88,81,2023-04-07,@,NOP,L,105,113,38,88,.432,14,43,.326,15,20,.750,7,37,19,5,2,9,17
89,82,2023-04-09,,IND,L,136,141,52,108,.481,15,40,.375,17,22,.773,19,53,29,8,8,15,24
