,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2017-10-19,,NYK,W,105,84,32,79,.405,7,24,.292,13,19,.684,11,41,19,8,4,25,23
1,2,2017-10-21,@,UTA,L,87,96,38,77,.494,9,29,.310,11,14,.786,7,41,22,11,4,18,21
2,3,2017-10-22,,MIN,L,113,115,43,86,.500,10,25,.400,19,23,.826,10,45,25,5,1,17,17
3,4,2017-10-25,,IND,W,114,96,28,83,.337,10,29,.345,30,35,.857,14,41,13,13,2,19,23
4,5,2017-10-27,@,MIN,L,116,119,42,86,.488,8,22,.364,27,35,.771,17,44,23,5,7,15,21
5,6,2017-10-28,@,CHI,W,101,69,22,78,.282,10,37,.270,15,20,.750,12,47,16,9,5,19,16
6,7,2017-10-31,@,MIL,W,110,91,32,77,.416,9,31,.290,18,22,.818,4,31,24,8,4,14,22
7,8,2017-11-03,,BOS,L,94,101,36,84,.429,13,28,.464,16,24,.667,11,49,23,6,2,10,14
8,9,2017-11-05,@,POR,L,99,103,37,74,.500,7,20,.350,22,28,.786,7,44,20,6,7,21,20
9,10,2017-11-07,@,SAC,L,86,94,37,79,.468,9,24,.375,11,12,.917,5,47,21,6,5,23,24
10,11,2017-11-09,@,DEN,L,94,102,38,82,.463,9,27,.333,17,22,.773,14,45,27,7,7,18,15
11,12,2017-11-10,,LAC,W,120,111,39,84,.464,12,30,.400,21,30,.700,16,46,13,4,2,18,30
12,13,2017-11-12,,DAL,W,112,99,37,87,.425,11,37,.297,14,18,.778,11,41,18,9,4,20,20
13,14,2017-11-15,,CHI,W,92,79,26,75,.347,11,29,.379,16,20,.800,6,38,16,7,2,13,27
14,15,2017-11-17,@,SAS,L,101,104,34,77,.442,14,35,.400,22,28,.786,12,44,23,6,7,13,18
15,16,2017-11-20,@,NOP,L,107,114,41,80,.513,7,25,.280,25,32,.781,7,49,26,8,3,19,22
16,17,2017-11-22,,GSW,W,108,91,33,80,.413,10,31,.323,15,18,.833,7,39,22,11,8,22,20
17,18,2017-11-24,,DET,L,98,99,39,84,.464,14,37,.378,7,9,.778,8,43,22,6,5,20,17
18,19,2017-11-25,@,DAL,L,81,97,37,75,.493,15,35,.429,8,11,.727,8,43,25,11,5,17,18
19,20,2017-11-29,@,ORL,L,108,121,45,76,.592,13,30,.433,18,26,.692,2,37,28,9,7,13,22
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2017-12-01,,MIN,W,111,107,39,76,.513,12,24,.500,17,21,.810,6,26,26,7,5,16,20
23,22,2017-12-03,,SAS,W,90,87,31,76,.408,8,28,.286,17,23,.739,8,39,14,11,9,17,24
24,23,2017-12-05,,UTA,W,100,94,34,79,.430,11,33,.333,15,21,.714,9,35,18,16,5,16,21
25,24,2017-12-07,@,BRK,L,95,100,35,80,.438,11,37,.297,19,30,.633,7,49,24,3,7,13,21
26,25,2017-12-09,@,MEM,W,102,101,39,88,.443,13,33,.394,10,17,.588,13,47,23,5,5,13,30
27,26,2017-12-11,,CHO,L,103,116,43,81,.531,13,25,.520,17,24,.708,9,41,22,7,4,12,20
28,27,2017-12-13,@,IND,W,100,95,40,89,.449,11,31,.355,4,6,.667,11,42,18,11,7,13,21
29,28,2017-12-15,@,PHI,W,119,117,44,100,.440,13,46,.283,16,20,.800,7,50,35,13,4,19,20
30,29,2017-12-16,@,NYK,L,96,111,38,69,.551,14,23,.609,21,26,.808,6,35,21,9,3,13,22
31,30,2017-12-18,,DEN,W,95,94,37,86,.430,12,37,.324,8,12,.667,8,45,21,8,3,11,18
32,31,2017-12-20,,UTA,W,107,79,26,73,.356,7,31,.226,20,27,.741,11,39,13,6,3,18,15
33,32,2017-12-22,,ATL,W,120,117,44,85,.518,15,32,.469,14,17,.824,7,27,28,12,3,15,24
34,33,2017-12-23,@,UTA,W,103,89,33,72,.458,6,26,.231,17,20,.850,6,37,16,3,2,12,13
35,34,2017-12-25,,HOU,W,112,107,35,81,.432,12,37,.324,25,31,.806,12,38,23,11,4,13,20
36,35,2017-12-27,,TOR,W,124,107,36,85,.424,11,38,.289,24,26,.923,7,34,24,9,4,11,29
