,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2022-10-19,@,MIN,L,108,115,38,99,.384,14,45,.311,18,22,.818,16,57,22,6,6,13,26
1,2,2022-10-22,@,DEN,L,117,122,42,94,.447,15,38,.395,18,23,.783,10,47,29,10,5,12,27
2,3,2022-10-23,,MIN,L,106,116,41,94,.436,9,41,.220,15,21,.714,11,42,24,7,4,11,15
3,4,2022-10-25,,LAC,W,108,94,42,110,.382,4,30,.133,20,25,.800,21,60,19,12,8,5,13
4,5,2022-10-27,,LAC,W,118,110,47,95,.495,17,38,.447,7,8,.875,13,36,27,10,4,11,21
5,6,2022-10-29,@,DAL,W,117,111,44,89,.494,5,25,.200,24,31,.774,9,47,25,9,6,15,29
6,7,2022-11-01,,ORL,W,116,108,45,95,.474,10,34,.294,16,20,.800,8,36,28,13,9,15,17
7,8,2022-11-03,,DEN,L,110,122,45,93,.484,6,29,.207,14,19,.737,10,40,19,9,5,10,19
8,9,2022-11-05,@,MIL,L,94,108,36,84,.429,12,35,.343,10,16,.625,9,38,22,6,3,15,18
9,10,2022-11-07,@,DET,L,103,112,41,102,.402,10,33,.303,11,17,.647,16,46,23,9,11,10,26
10,11,2022-11-09,,MIL,L,132,136,50,111,.450,18,45,.400,14,19,.737,16,55,24,9,9,13,26
11,12,2022-11-11,,TOR,W,132,113,52,93,.559,15,36,.417,13,17,.765,15,44,31,10,6,19,27
12,13,2022-11-13,@,NYK,W,145,135,55,88,.625,17,31,.548,18,20,.900,4,38,31,9,5,19,27
13,14,2022-11-14,@,BOS,L,122,126,47,98,.480,11,30,.367,17,21,.810,10,51,21,4,6,19,21
14,15,2022-11-16,@,WAS,W,121,120,44,81,.543,16,31,.516,17,26,.654,9,37,24,4,7,15,22
15,16,2022-11-18,@,MEM,L,110,121,45,96,.469,11,34,.324,9,11,.818,8,43,34,5,9,10,28
16,17,2022-11-21,,NYK,L,119,129,43,88,.489,8,24,.333,25,32,.781,11,38,25,5,5,14,18
17,18,2022-11-23,,DEN,L,126,131,42,97,.433,18,40,.450,24,28,.857,12,39,26,6,7,9,27
18,19,2022-11-25,,CHI,W,123,119,44,95,.463,7,29,.241,28,32,.875,10,50,24,7,5,13,21
19,20,2022-11-26,@,HOU,L,105,118,38,97,.392,10,44,.227,19,23,.826,16,41,19,12,3,15,15
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2022-11-28,@,NOP,L,101,105,34,92,.370,12,38,.316,21,23,.913,18,47,16,11,4,19,22
23,22,2022-11-30,,SAS,W,119,111,48,94,.511,9,27,.333,14,21,.667,15,52,17,4,4,11,20
24,23,2022-12-03,@,MIN,W,135,128,48,93,.516,11,26,.423,28,35,.800,13,42,26,11,5,21,18
25,24,2022-12-05,@,ATL,W,121,114,43,95,.453,12,34,.353,23,24,.958,14,49,25,8,4,16,19
26,25,2022-12-07,@,MEM,L,102,123,34,92,.370,14,38,.368,20,23,.870,14,48,25,9,3,18,16
27,26,2022-12-10,@,CLE,L,102,110,38,83,.458,10,29,.345,16,20,.800,7,40,25,8,6,10,26
28,27,2022-12-12,@,DAL,L,114,121,42,88,.477,10,31,.323,20,21,.952,10,42,21,4,1,13,22
29,28,2022-12-14,,MIA,L,108,110,41,82,.500,9,24,.375,17,23,.739,7,44,26,7,4,14,16
30,29,2022-12-16,,MIN,L,110,112,41,88,.466,11,37,.297,17,21,.810,9,45,29,7,4,22,21
31,30,2022-12-17,,MEM,W,115,109,38,92,.413,19,45,.422,20,31,.645,9,53,29,7,0,9,25
32,31,2022-12-19,,POR,W,123,121,40,88,.455,11,31,.355,32,37,.865,11,39,20,7,5,10,21
33,32,2022-12-21,,POR,W,101,98,36,77,.468,8,24,.333,21,25,.840,9,37,19,9,3,18,16
34,33,2022-12-23,,NOP,L,125,128,47,102,.461,13,35,.371,18,25,.720,10,47,27,9,5,18,26
35,34,2022-12-27,,SAS,W,130,114,46,86,.535,13,24,.542,25,31,.806,13,45,25,10,10,12,18
36,35,2022-12-29,@,CHO,L,113,121,42,99,.424,11,36,.306,18,21,.857,11,41,15,9,1,12,27
37,36,2022-12-31,,PHI,L,96,115,35,92,.380,12,36,.333,14,22,.636,15,50,16,7,6,16,21
38,37,2023-01-03,,BOS,W,150,117,58,98,.592,20,40,.500,14,22,.636,9,44,31,14,3,13,23
39,38,2023-01-04,@,ORL,L,115,126,36,89,.404,15,37,.405,28,31,.903,9,33,23,9,3,9,23
40,39,2023-01-06,,WAS,W,127,110,50,98,.510,17,37,.459,10,14,.714,11,41,30,9,6,9,26
41,40,2023-01-08,,DAL,W,120,109,46,95,.484,12,28,.429,16,20,.800,13,48,27,5,8,8,26
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2023-01-10,@,MIA,L,111,112,44,91,.484,9,35,.257,14,21,.667,14,44,27,8,3,18,27
45,42,2023-01-12,@,PHI,W,133,114,44,86,.512,14,33,.424,31,33,.939,5,39,28,7,6,11,22
46,43,2023-01-13,@,CHI,W,124,110,47,92,.511,11,33,.333,19,22,.864,12,46,22,12,6,10,19
47,44,2023-01-15,@,BRK,W,112,102,40,90,.444,12,31,.387,20,26,.769,11,50,21,5,7,8,14
48,45,2023-01-18,,IND,W,126,106,47,93,.505,16,38,.421,16,21,.762,13,42,41,12,7,17,25
49,46,2023-01-20,@,SAC,L,113,118,45,93,.484,16,40,.400,7,11,.636,8,36,21,4,1,9,20
50,47,2023-01-22,@,DEN,W,101,99,40,89,.449,7,26,.269,14,16,.875,14,50,21,4,5,8,24
51,48,2023-01-25,,ATL,L,132,137,53,102,.520,15,34,.441,11,16,.688,12,37,31,12,2,11,23
