,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2018-10-17,,MIA,W,104,101,39,94,.415,7,25,.280,19,31,.613,14,51,20,7,7,12,25
1,2,2018-10-19,,CHO,L,88,120,36,94,.383,6,31,.194,10,14,.714,12,44,18,8,7,15,16
2,3,2018-10-20,@,PHI,L,115,116,41,90,.456,16,29,.552,17,22,.773,14,49,31,7,7,14,15
3,4,2018-10-22,@,BOS,W,93,90,38,93,.409,10,35,.286,7,10,.700,8,49,28,6,2,9,15
4,5,2018-10-25,,POR,L,114,128,43,86,.500,12,30,.400,16,20,.800,11,40,29,5,7,14,21
5,6,2018-10-27,@,MIL,L,91,113,33,101,.327,10,43,.233,15,17,.882,11,41,21,9,6,11,22
6,7,2018-10-30,,SAC,L,99,107,36,91,.396,11,43,.256,16,22,.727,11,48,28,10,8,16,22
7,8,2018-11-02,,LAC,L,95,120,40,90,.444,4,17,.235,11,19,.579,8,40,20,7,4,10,24
8,9,2018-11-04,@,SAS,W,117,110,46,91,.505,12,32,.375,13,18,.722,11,43,29,7,4,8,22
9,10,2018-11-05,,CLE,W,102,100,39,87,.448,11,34,.324,13,15,.867,10,40,22,11,5,15,16
10,11,2018-11-07,,DET,L,96,103,40,87,.460,9,27,.333,7,9,.778,6,40,28,10,8,20,19
11,12,2018-11-09,,WAS,W,117,108,44,86,.512,13,31,.419,16,19,.842,10,41,26,8,6,15,18
12,13,2018-11-11,@,NYK,W,115,89,44,98,.449,17,42,.405,10,11,.909,10,52,31,10,9,11,21
13,14,2018-11-12,@,WAS,L,109,117,43,89,.483,15,30,.500,8,11,.727,8,34,28,5,6,12,28
14,15,2018-11-14,,PHI,W,111,106,40,80,.500,12,28,.429,19,22,.864,5,37,23,7,4,10,21
15,16,2018-11-17,,LAL,W,130,117,50,93,.538,11,32,.344,19,23,.826,11,41,28,5,8,13,23
16,17,2018-11-18,,NYK,W,131,117,48,84,.571,13,32,.406,22,26,.846,7,35,35,5,6,15,26
