,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2020-12-23,,MIA,W,113,107,42,83,.506,7,20,.350,16,19,.842,7,43,25,11,2,22,21
1,2,2020-12-26,@,WAS,W,130,120,46,95,.484,13,37,.351,15,28,.536,7,43,28,5,3,14,25
2,3,2020-12-27,@,WAS,W,120,113,47,97,.485,8,32,.250,11,13,.846,13,47,27,6,4,13,26
3,4,2020-12-29,@,OKC,W,118,107,43,87,.494,11,34,.324,10,19,.526,10,47,20,3,7,20,18
4,5,2020-12-31,,PHI,L,92,116,44,91,.484,15,33,.455,13,15,.867,7,54,23,7,10,14,23
5,6,2021-01-02,,OKC,L,99,108,38,86,.442,13,41,.317,19,21,.905,6,52,22,5,5,10,17
6,7,2021-01-04,,CLE,W,103,83,33,85,.388,10,28,.357,7,12,.583,9,35,20,12,4,14,14
7,8,2021-01-06,,CLE,W,105,94,36,85,.424,4,26,.154,18,26,.692,13,45,24,9,4,10,19
8,9,2021-01-08,@,HOU,L,90,132,51,91,.560,22,47,.468,8,11,.727,7,49,34,6,8,8,18
9,10,2021-01-09,@,DAL,L,98,112,39,79,.494,20,40,.500,14,18,.778,6,44,25,5,8,17,17
10,11,2021-01-11,,MIL,L,99,121,46,91,.505,13,35,.371,16,20,.800,11,43,25,15,7,14,17
11,12,2021-01-15,@,BOS,L,97,124,45,88,.511,17,42,.405,17,19,.895,6,45,25,7,4,10,18
12,13,2021-01-16,@,BRK,L,115,122,42,78,.538,16,35,.457,22,25,.880,4,41,24,9,5,19,14
13,14,2021-01-18,@,NYK,L,84,91,31,87,.356,5,27,.185,24,34,.706,13,53,15,6,4,6,16
14,15,2021-01-20,@,MIN,W,97,96,36,85,.424,15,35,.429,9,14,.643,8,43,25,5,12,13,20
15,16,2021-01-22,@,IND,L,118,120,46,93,.495,12,34,.353,16,18,.889,8,44,28,9,5,10,19
16,17,2021-01-24,,CHO,L,104,107,42,88,.477,14,36,.389,9,16,.563,9,43,28,10,5,12,17
17,18,2021-01-25,,CHO,W,117,108,39,89,.438,11,38,.289,19,27,.704,11,41,22,5,6,14,20
18,19,2021-01-27,,SAC,L,107,121,45,92,.489,14,33,.424,17,26,.654,17,50,30,8,3,15,18
19,20,2021-01-29,,LAC,L,90,116,46,94,.489,13,37,.351,11,11,1.000,9,49,25,8,5,11,15
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2021-01-31,@,TOR,L,102,115,41,90,.456,12,39,.308,21,22,.955,9,48,27,8,5,11,22
23,22,2021-02-02,,TOR,L,108,123,40,83,.482,20,45,.444,23,25,.920,6,40,32,14,4,11,18
24,23,2021-02-05,,CHI,W,123,119,46,96,.479,9,30,.300,18,20,.900,10,40,27,9,5,8,22
25,24,2021-02-06,,CHI,L,92,118,47,91,.516,15,30,.500,9,13,.692,11,47,28,6,10,10,12
26,25,2021-02-09,@,POR,L,97,106,35,90,.389,18,46,.391,18,19,.947,9,54,18,6,6,8,17
27,26,2021-02-11,@,GSW,L,105,111,41,88,.466,20,50,.400,9,12,.750,9,46,29,6,6,17,20
28,27,2021-02-12,@,SAC,W,123,112,43,83,.518,12,33,.364,14,19,.737,8,42,33,8,1,18,18
29,28,2021-02-14,@,PHO,L,90,109,41,92,.446,12,37,.324,15,16,.938,11,59,24,6,2,8,17
30,29,2021-02-17,,NYK,W,107,89,33,87,.379,7,27,.259,16,19,.842,10,46,16,7,5,16,14
31,30,2021-02-19,,GSW,W,124,120,46,97,.474,19,42,.452,9,15,.600,9,45,37,8,0,13,19
32,31,2021-02-21,,DET,W,105,96,34,91,.374,11,40,.275,17,21,.810,9,49,23,10,4,11,21
33,32,2021-02-23,,DET,L,93,105,41,88,.466,10,34,.294,13,16,.813,8,49,24,10,9,15,19
34,33,2021-02-25,@,BRK,L,92,129,49,92,.533,20,45,.444,11,14,.786,7,51,30,11,2,13,18
35,34,2021-02-27,,UTA,L,109,124,45,85,.529,17,45,.378,17,24,.708,10,52,29,2,3,12,14
36,35,2021-03-01,,DAL,L,124,130,47,90,.522,17,46,.370,19,23,.826,7,46,29,6,6,8,12
37,36,2021-03-03,,ATL,L,112,115,38,85,.447,21,45,.467,18,19,.947,6,42,26,7,5,12,25
38,37,2021-03-11,@,MIA,L,103,111,41,91,.451,16,49,.327,13,22,.591,9,44,27,8,4,10,16
39,38,2021-03-12,@,SAS,L,77,104,40,89,.449,10,29,.345,14,18,.778,7,45,24,8,5,9,15
40,39,2021-03-14,,MIA,L,97,102,37,89,.416,14,50,.280,14,15,.933,10,43,28,15,6,11,17
41,40,2021-03-18,@,NYK,L,93,94,37,86,.430,14,34,.412,6,11,.545,5,43,24,6,4,7,14
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2021-03-19,,BRK,W,121,113,43,91,.473,10,37,.270,17,23,.739,9,39,24,9,3,8,16
45,42,2021-03-21,@,BOS,L,96,112,40,88,.455,23,55,.418,9,9,1.000,7,45,27,6,3,9,21
46,43,2021-03-23,,DEN,L,99,110,45,91,.495,8,30,.267,12,13,.923,13,52,25,12,7,10,13
