,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2016-10-26,,OKC,L,97,103,36,84,.429,7,24,.292,18,25,.720,5,43,21,5,10,13,22
1,2,2016-10-29,,ATL,L,72,104,28,80,.350,5,18,.278,11,15,.733,4,39,16,9,5,20,20
2,3,2016-11-01,,ORL,L,101,103,40,81,.494,9,20,.450,12,16,.750,7,42,28,5,8,15,20
3,4,2016-11-02,@,CHO,L,93,109,34,86,.395,12,38,.316,13,15,.867,8,37,23,8,2,17,24
4,5,2016-11-05,,CLE,L,101,102,40,87,.460,14,38,.368,7,12,.583,5,45,21,9,9,17,23
5,6,2016-11-07,,UTA,L,84,109,31,77,.403,7,21,.333,15,22,.682,9,42,16,5,2,18,19
6,7,2016-11-09,@,IND,L,115,122,46,95,.484,14,36,.389,9,19,.474,10,43,23,11,6,17,21
7,8,2016-11-11,,IND,W,109,105,36,86,.419,11,32,.344,26,31,.839,13,54,24,7,6,19,21
8,9,2016-11-12,@,ATL,L,96,117,36,83,.434,11,29,.379,13,20,.650,10,39,21,14,4,19,20
9,10,2016-11-14,@,HOU,L,88,115,34,90,.378,5,22,.227,15,17,.882,10,39,18,10,7,12,17
10,11,2016-11-16,,WAS,W,109,102,42,77,.545,10,28,.357,15,22,.682,5,41,30,6,1,17,26
11,12,2016-11-17,@,MIN,L,86,110,31,83,.373,9,32,.281,15,19,.789,13,40,15,9,2,15,17
12,13,2016-11-19,,PHO,W,120,105,45,86,.523,17,35,.486,13,20,.650,6,44,33,11,9,18,23
13,14,2016-11-21,,MIA,W,101,94,37,78,.474,11,26,.423,16,20,.800,7,40,21,8,5,14,25
14,15,2016-11-23,,MEM,L,99,104,35,93,.376,12,36,.333,17,23,.739,8,56,24,9,10,26,32
15,16,2016-11-25,,CHI,L,89,105,31,78,.397,9,22,.409,18,22,.818,8,48,18,7,8,19,21
16,17,2016-11-27,,CLE,L,108,112,43,92,.467,15,34,.441,7,10,.700,13,50,29,5,5,16,24
17,18,2016-11-28,@,TOR,L,95,122,36,86,.419,14,34,.412,9,13,.692,12,38,27,9,4,14,21
18,19,2016-12-02,,ORL,L,88,105,36,95,.379,9,32,.281,7,10,.700,15,46,24,3,6,10,18
19,20,2016-12-03,,BOS,L,106,107,35,76,.461,15,33,.455,21,26,.808,8,38,20,5,3,15,23
20,,,,,,,,,,,,,,,,,,,,,,,
