,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2018-10-16,@,BOS,L,87,105,42,97,.433,11,37,.297,10,14,.714,12,55,21,7,5,14,20
1,2,2018-10-18,,CHI,W,127,108,44,101,.436,11,33,.333,9,12,.750,5,39,28,4,6,12,23
2,3,2018-10-20,,ORL,W,116,115,41,90,.456,16,29,.552,17,22,.773,14,49,31,7,7,14,15
3,4,2018-10-23,@,DET,L,132,133,51,108,.472,12,33,.364,19,27,.704,12,46,22,4,4,8,24
4,5,2018-10-24,@,MIL,L,108,123,41,100,.410,13,43,.302,28,30,.933,9,51,24,7,10,11,27
5,6,2018-10-27,,CHO,W,105,103,37,95,.389,9,35,.257,20,24,.833,9,48,19,3,8,9,25
6,7,2018-10-29,,ATL,W,113,92,35,94,.372,8,37,.216,14,21,.667,10,47,20,10,3,13,18
7,8,2018-10-30,@,TOR,L,112,129,47,92,.511,11,27,.407,24,28,.857,9,43,29,13,6,15,26
8,9,2018-11-01,,LAC,W,122,113,38,86,.442,9,23,.391,28,33,.848,8,42,19,6,7,18,28
9,10,2018-11-03,,DET,W,109,99,33,83,.398,5,30,.167,28,41,.683,7,44,16,8,3,17,32
10,11,2018-11-04,@,BRK,L,97,122,50,105,.476,9,28,.321,13,18,.722,15,38,27,11,3,9,28
11,12,2018-11-07,@,IND,W,100,94,37,94,.394,8,31,.258,12,17,.706,8,41,19,9,6,9,21
12,13,2018-11-09,,CHO,W,133,132,43,110,.391,16,40,.400,30,40,.750,14,49,25,10,5,4,33
13,14,2018-11-10,@,MEM,L,106,112,45,103,.437,11,30,.367,11,15,.733,15,45,16,9,3,11,18
14,15,2018-11-12,@,MIA,W,124,114,37,77,.481,13,31,.419,27,33,.818,8,40,19,5,6,15,30
15,16,2018-11-14,@,ORL,L,106,111,40,80,.500,12,28,.429,19,22,.864,5,37,23,7,4,10,21
16,17,2018-11-16,,UTA,W,113,107,41,88,.466,4,22,.182,21,37,.568,10,39,15,10,4,13,25
17,18,2018-11-17,@,CHO,W,122,119,42,99,.424,10,31,.323,25,27,.926,9,49,23,10,3,17,29
18,19,2018-11-19,,PHO,W,119,114,44,87,.506,13,33,.394,13,24,.542,5,31,25,9,4,13,34
19,20,2018-11-21,,NOP,W,121,120,42,98,.429,11,30,.367,25,33,.758,20,54,24,8,8,15,21
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2018-11-23,,CLE,L,112,121,49,93,.527,11,22,.500,12,16,.750,14,42,16,7,1,8,25
23,22,2018-11-25,@,BRK,W,127,125,50,88,.568,10,25,.400,15,20,.750,10,43,19,2,4,16,25
24,23,2018-11-28,,NYK,W,117,91,32,92,.348,6,29,.207,21,22,.955,11,41,14,11,5,13,21
25,24,2018-11-30,,WAS,W,123,98,37,92,.402,8,28,.286,16,19,.842,8,42,22,10,4,15,20
26,25,2018-12-02,,MEM,W,103,95,33,79,.418,11,28,.393,18,23,.783,3,35,19,7,7,14,24
