,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2016-10-26,,SAC,L,94,113,36,77,.468,4,16,.250,18,27,.667,10,41,20,6,3,18,29
1,2,2016-10-28,@,OKC,L,110,113,42,94,.447,5,28,.179,21,32,.656,7,44,15,11,3,15,29
2,3,2016-10-30,,GSW,L,100,106,37,90,.411,8,23,.348,18,25,.720,11,50,19,10,6,11,26
3,4,2016-10-31,@,LAC,L,98,116,35,84,.417,5,15,.333,23,31,.742,10,44,19,11,0,20,33
4,5,2016-11-02,,POR,W,118,115,44,103,.427,5,16,.313,25,30,.833,14,59,15,10,5,12,20
5,6,2016-11-04,@,NOP,W,112,111,40,93,.430,8,24,.333,24,28,.857,12,59,18,7,2,15,27
6,7,2016-11-06,@,LAL,L,108,119,40,91,.440,6,20,.300,22,28,.786,11,40,20,8,2,17,30
7,8,2016-11-08,@,POR,L,121,124,43,86,.500,7,21,.333,28,33,.848,15,41,18,10,2,16,27
8,9,2016-11-09,,DET,W,107,100,38,84,.452,8,22,.364,23,30,.767,10,49,20,7,6,17,20
9,10,2016-11-12,,BRK,L,104,122,40,107,.374,8,33,.242,16,21,.762,17,55,23,9,3,12,20
10,11,2016-11-13,@,GSW,L,120,133,46,90,.511,8,24,.333,20,26,.769,8,38,27,10,3,13,29
11,12,2016-11-16,@,DEN,L,104,120,39,79,.494,8,20,.400,18,29,.621,7,35,14,8,4,16,29
12,13,2016-11-18,@,IND,W,116,96,46,97,.474,9,26,.346,15,18,.833,18,46,21,14,7,11,28
13,14,2016-11-19,@,PHI,L,105,120,39,92,.424,6,21,.286,21,34,.618,12,44,18,11,7,15,19
14,15,2016-11-21,@,WAS,L,101,106,39,91,.429,11,27,.407,12,15,.800,13,52,22,3,7,21,24
15,16,2016-11-23,@,ORL,W,92,87,33,73,.452,9,22,.409,17,22,.773,6,44,15,6,7,17,20
16,17,2016-11-25,,MIN,L,85,98,32,79,.405,6,26,.231,15,21,.714,12,48,17,11,6,25,26
17,18,2016-11-27,,DEN,L,114,120,36,89,.404,11,25,.440,31,36,.861,9,46,11,5,7,11,24
18,19,2016-11-30,,ATL,W,109,107,40,89,.449,10,21,.476,19,25,.760,13,41,15,11,4,15,17
19,20,2016-12-03,@,GSW,L,109,138,41,91,.451,11,32,.344,16,21,.762,14,36,24,8,2,14,29
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2016-12-06,@,UTA,L,105,112,39,84,.464,6,18,.333,21,25,.840,12,41,14,5,0,17,28
23,22,2016-12-07,,IND,L,94,109,34,85,.400,9,33,.273,17,18,.944,9,40,17,14,4,19,31
24,23,2016-12-09,@,LAL,W,119,115,45,95,.474,13,30,.433,16,21,.762,9,44,26,8,8,7,24
25,24,2016-12-11,,NOP,L,119,120,44,96,.458,14,41,.341,17,26,.654,14,57,21,6,3,16,27
26,25,2016-12-13,,NYK,W,113,111,38,93,.409,9,30,.300,28,33,.848,16,61,13,9,7,17,28
27,26,2016-12-15,,SAS,L,92,107,34,85,.400,10,27,.370,14,18,.778,11,35,15,9,3,13,25
28,27,2016-12-17,@,OKC,L,101,114,39,90,.433,8,22,.364,15,20,.750,16,43,16,5,5,16,23
29,28,2016-12-19,@,MIN,L,108,115,37,82,.451,9,21,.429,25,35,.714,8,34,16,11,5,17,23
30,29,2016-12-21,,HOU,L,111,125,44,93,.473,9,25,.360,14,20,.700,14,44,20,7,6,8,23
31,30,2016-12-23,,PHI,W,123,116,42,79,.532,12,26,.462,27,37,.730,11,43,25,7,6,20,24
32,31,2016-12-26,@,HOU,L,115,131,43,101,.426,7,30,.233,22,27,.815,16,53,17,14,6,17,25
33,32,2016-12-28,@,SAS,L,98,119,36,74,.486,7,16,.438,19,24,.792,7,33,20,11,4,21,25
34,33,2016-12-29,,TOR,W,99,91,37,83,.446,9,21,.429,16,23,.696,12,47,20,10,4,20,28
35,34,2016-12-31,@,UTA,L,86,91,36,87,.414,7,17,.412,7,10,.700,9,41,9,6,2,9,21
36,35,2017-01-02,@,LAC,L,98,109,39,102,.382,2,15,.133,18,22,.818,19,48,22,11,4,12,29
37,36,2017-01-03,,MIA,W,99,90,36,77,.468,9,23,.391,18,22,.818,13,49,21,7,7,18,23
38,37,2017-01-05,@,DAL,W,102,95,38,85,.447,7,17,.412,19,22,.864,18,53,15,4,3,15,21
39,38,2017-01-08,,CLE,L,116,120,46,87,.529,9,27,.333,15,19,.789,13,36,23,12,7,14,19
40,39,2017-01-12,,DAL,L,108,113,38,78,.487,10,18,.556,22,27,.815,13,47,15,2,4,19,23
41,40,2017-01-14,,SAS,W,108,105,39,85,.459,8,21,.381,22,24,.917,15,45,18,10,0,15,30
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2017-01-16,,UTA,L,101,106,40,81,.494,5,22,.227,16,17,.941,6,39,13,4,5,9,21
45,42,2017-01-19,@,CLE,L,103,118,37,85,.435,4,19,.211,25,31,.806,15,46,23,10,4,14,22
46,43,2017-01-21,@,NYK,W,107,105,37,85,.435,9,24,.375,24,27,.889,14,44,15,9,4,13,18
47,44,2017-01-22,@,TOR,W,115,103,40,79,.506,9,22,.409,26,28,.929,7,45,20,6,1,15,28
48,45,2017-01-24,,MIN,L,111,112,38,86,.442,7,19,.368,28,32,.875,13,44,20,7,4,15,23
49,46,2017-01-26,@,DEN,L,120,127,48,89,.539,10,24,.417,14,17,.824,8,28,21,8,2,11,26
50,47,2017-01-28,,DEN,L,112,123,41,91,.451,6,21,.286,24,32,.750,11,43,20,9,3,10,36
51,48,2017-01-30,,MEM,L,96,115,31,74,.419,5,19,.263,29,39,.744,13,42,11,8,8,17,19
52,49,2017-02-01,,LAC,L,114,124,39,96,.406,7,20,.350,29,35,.829,17,44,21,5,3,12,27
53,50,2017-02-03,@,SAC,W,105,103,32,77,.416,12,29,.414,29,35,.829,6,39,11,7,3,11,21
54,51,2017-02-04,,MIL,L,112,137,38,91,.418,11,28,.393,25,30,.833,14,40,22,9,3,16,28
55,52,2017-02-06,@,NOP,L,106,111,40,93,.430,5,27,.185,21,25,.840,9,49,26,7,10,16,23
56,53,2017-02-08,@,MEM,L,91,110,29,87,.333,5,23,.217,28,34,.824,18,46,13,12,5,15,27
57,54,2017-02-10,,CHI,W,115,97,48,95,.505,8,19,.421,11,13,.846,13,43,25,4,8,8,18
58,55,2017-02-11,@,HOU,L,102,133,37,94,.394,8,22,.364,20,26,.769,12,42,20,8,4,19,28
59,56,2017-02-13,,NOP,L,108,110,40,93,.430,8,23,.348,20,24,.833,13,43,14,7,3,18,25
60,57,2017-02-15,,LAL,W,137,101,49,88,.557,10,24,.417,29,34,.853,12,59,32,7,10,15,20
61,58,2017-02-24,@,CHI,L,121,128,49,93,.527,8,24,.333,15,25,.600,8,43,27,8,6,18,23
62,59,2017-02-26,@,MIL,L,96,100,40,83,.482,5,14,.357,11,16,.688,12,42,26,12,5,20,22
63,60,2017-02-28,@,MEM,L,112,130,43,83,.518,7,21,.333,19,24,.792,8,32,22,6,5,12,25
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2017-03-02,,CHO,W,120,103,46,77,.597,7,19,.368,21,25,.840,4,42,30,8,7,18,23
67,62,2017-03-03,,OKC,W,118,111,44,89,.494,5,21,.238,25,31,.806,9,45,28,10,7,17,26
68,63,2017-03-05,,BOS,W,109,106,42,94,.447,4,20,.200,21,26,.808,10,50,16,7,10,11,29
69,64,2017-03-07,,WAS,L,127,131,44,88,.500,13,27,.481,26,33,.788,9,49,23,5,8,19,32
70,65,2017-03-09,,LAL,L,110,122,42,91,.462,6,19,.316,20,25,.800,18,54,20,7,10,19,24
71,66,2017-03-11,@,DAL,W,100,98,38,83,.458,6,21,.286,18,20,.900,5,40,18,5,7,11,24
72,67,2017-03-12,,POR,L,101,110,41,93,.441,5,14,.357,14,20,.700,6,41,20,5,3,9,21
73,68,2017-03-15,,SAC,L,101,107,43,107,.402,6,25,.240,9,14,.643,16,47,24,9,11,13,25
74,69,2017-03-17,,ORL,L,103,109,38,87,.437,2,14,.143,25,30,.833,12,49,18,9,8,16,22
