,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2021-10-20,,DEN,L,98,110,44,83,.530,17,39,.436,5,9,.556,6,46,25,9,1,17,20
1,2,2021-10-22,@,LAL,W,115,105,34,86,.395,15,34,.441,22,29,.759,12,46,25,7,3,16,26
2,3,2021-10-23,@,POR,L,105,134,51,94,.543,21,50,.420,11,17,.647,8,48,24,8,5,9,15
3,4,2021-10-27,,SAC,L,107,110,42,95,.442,15,38,.395,11,15,.733,8,40,28,7,6,11,20
4,5,2021-10-30,,CLE,W,101,92,36,91,.396,14,44,.318,6,7,.857,10,47,21,8,3,19,21
5,6,2021-11-02,,NOP,W,112,100,36,91,.396,13,39,.333,15,16,.938,14,43,21,17,6,17,16
6,7,2021-11-04,,HOU,W,123,111,38,88,.432,11,32,.344,24,28,.857,7,43,25,4,4,18,21
7,8,2021-11-06,,ATL,W,121,117,42,97,.433,13,33,.394,20,23,.870,14,50,18,3,1,12,16
8,9,2021-11-08,@,SAC,W,109,104,37,82,.451,10,24,.417,20,26,.769,8,46,18,6,6,24,18
9,10,2021-11-10,,POR,W,119,109,44,91,.484,7,30,.233,14,16,.875,14,46,24,5,2,14,21
10,11,2021-11-12,@,MEM,W,119,94,37,98,.378,7,33,.212,13,23,.565,17,59,19,6,6,15,16
11,12,2021-11-14,@,HOU,W,115,89,35,85,.412,7,32,.219,12,18,.667,9,48,19,7,5,23,19
12,13,2021-11-15,@,MIN,W,99,96,31,85,.365,13,44,.295,21,27,.778,13,54,18,8,3,18,28
13,14,2021-11-17,,DAL,W,105,98,38,91,.418,16,32,.500,6,6,1.000,8,49,28,5,2,10,14
14,15,2021-11-19,,DAL,W,112,104,37,90,.411,12,40,.300,18,23,.783,10,40,25,15,1,10,17
15,16,2021-11-21,,DEN,W,126,97,33,90,.367,11,38,.289,20,28,.714,12,42,20,5,1,10,22
16,17,2021-11-22,@,SAS,W,115,111,49,93,.527,5,20,.250,8,16,.500,11,44,23,9,4,15,16
17,18,2021-11-24,@,CLE,W,120,115,43,97,.443,12,39,.308,17,25,.680,13,44,22,7,0,10,23
18,19,2021-11-26,@,NYK,W,118,97,34,92,.370,12,39,.308,17,22,.773,17,51,13,7,1,15,20
