,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-29,,OKC,W,106,89,33,81,.407,2,16,.125,21,26,.808,14,43,19,9,5,13,28
1,2,2014-10-31,@,SAC,L,94,103,34,81,.420,4,10,.400,31,35,.886,14,49,14,6,2,10,24
2,3,2014-11-02,,GSW,L,90,95,36,81,.444,6,19,.316,17,21,.810,7,41,22,11,7,17,16
3,4,2014-11-04,,CLE,W,101,82,31,85,.365,9,21,.429,11,14,.786,13,41,18,5,3,14,19
4,5,2014-11-06,,DAL,W,108,87,33,90,.367,5,23,.217,16,16,1.000,8,34,14,6,4,7,17
5,6,2014-11-08,@,LAC,L,102,106,40,81,.494,5,12,.417,21,30,.700,8,37,17,8,4,7,19
6,7,2014-11-09,,DEN,W,116,100,36,91,.396,5,13,.385,23,30,.767,18,55,14,5,7,15,22
7,8,2014-11-11,,CHO,W,102,100,35,75,.467,7,16,.438,23,27,.852,6,38,16,5,3,13,16
8,9,2014-11-12,@,DEN,W,130,113,39,90,.433,8,23,.348,27,33,.818,15,47,21,10,2,12,24
9,10,2014-11-15,,BRK,W,97,87,35,89,.393,1,19,.053,16,17,.941,12,43,15,7,2,9,24
10,11,2014-11-17,,NOP,W,102,93,38,85,.447,5,19,.263,12,19,.632,13,41,16,11,4,11,23
11,12,2014-11-21,,CHI,W,105,87,30,83,.361,8,22,.364,19,28,.679,11,48,14,9,2,14,18
12,13,2014-11-23,@,BOS,W,94,88,37,95,.389,5,23,.217,9,12,.750,12,46,17,12,1,8,15
13,14,2014-11-24,@,PHI,W,114,104,42,84,.500,0,8,.000,20,24,.833,7,29,28,11,6,10,20
14,15,2014-11-26,@,CHO,W,105,97,41,94,.436,5,15,.333,10,15,.667,10,47,29,3,5,6,20
15,16,2014-11-28,,MEM,L,99,112,45,84,.536,6,13,.462,16,26,.615,8,46,28,7,4,9,14
16,17,2014-11-30,,MIN,W,107,93,39,90,.433,2,9,.222,13,20,.650,11,43,24,12,4,14,23
17,18,2014-12-02,@,DEN,W,105,103,41,81,.506,7,20,.350,14,19,.737,7,41,21,8,2,14,19
18,19,2014-12-04,,IND,W,88,82,36,91,.396,5,18,.278,5,8,.625,11,51,19,5,5,17,19
19,20,2014-12-07,@,NYK,W,103,99,41,79,.519,5,19,.263,12,14,.857,4,37,20,6,4,13,23
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2014-12-09,@,DET,W,98,86,34,97,.351,5,22,.227,13,16,.813,17,47,23,7,2,6,8
23,22,2014-12-10,@,MIN,L,82,90,32,81,.395,1,12,.083,25,33,.758,20,56,22,13,3,18,19
24,23,2014-12-12,@,CHI,L,106,115,44,88,.500,5,15,.333,22,28,.786,14,47,18,5,3,7,11
25,24,2014-12-13,@,IND,W,95,85,34,88,.386,4,15,.267,13,16,.813,12,49,16,8,2,13,18
26,25,2014-12-15,,SAS,W,108,95,38,78,.487,4,11,.364,15,22,.682,9,42,19,5,4,15,21
27,26,2014-12-17,,MIL,W,104,97,37,77,.481,7,19,.368,16,22,.727,5,32,16,8,0,13,25
28,27,2014-12-19,@,SAS,W,129,119,45,109,.413,8,20,.400,21,26,.808,17,60,24,8,4,16,22
