,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-29,,OKC,W,106,89,39,87,.448,11,29,.379,17,22,.773,13,42,23,4,9,10,19
1,2,2014-10-31,@,SAC,L,94,103,34,83,.410,9,26,.346,17,19,.895,10,38,20,5,8,10,26
2,3,2014-11-02,,GSW,L,90,95,37,92,.402,7,27,.259,9,14,.643,17,56,20,9,2,19,19
3,4,2014-11-04,,CLE,W,101,82,37,75,.493,8,25,.320,19,25,.760,9,48,21,7,4,11,20
4,5,2014-11-06,,DAL,W,108,87,40,77,.519,12,30,.400,16,19,.842,12,53,25,3,6,17,21
5,6,2014-11-08,@,LAC,L,102,106,36,80,.450,10,25,.400,20,25,.800,9,43,25,2,3,16,26
6,7,2014-11-09,,DEN,W,116,100,45,100,.450,16,31,.516,10,14,.714,16,51,27,7,11,10,21
7,8,2014-11-11,,CHO,W,102,100,40,93,.430,8,25,.320,14,16,.875,15,48,25,6,4,12,21
8,9,2014-11-12,@,DEN,W,130,113,45,88,.511,16,33,.485,24,29,.828,12,46,30,7,9,14,21
9,10,2014-11-15,,BRK,W,97,87,33,78,.423,11,26,.423,20,27,.741,13,47,26,6,3,14,16
10,11,2014-11-17,,NOP,W,102,93,38,76,.500,7,19,.368,19,23,.826,10,43,20,7,1,18,21
11,12,2014-11-21,,CHI,W,105,87,39,79,.494,9,16,.563,18,22,.818,6,46,26,8,5,17,19
12,13,2014-11-23,@,BOS,W,94,88,37,86,.430,7,19,.368,13,15,.867,10,55,20,7,3,16,13
13,14,2014-11-24,@,PHI,W,114,104,44,89,.494,7,27,.259,19,23,.826,18,52,30,6,5,15,19
14,15,2014-11-26,@,CHO,W,105,97,39,92,.424,12,27,.444,15,20,.750,10,50,21,4,7,8,18
15,16,2014-11-28,,MEM,L,99,112,39,97,.402,8,28,.286,13,18,.722,15,45,22,6,6,7,18
16,17,2014-11-30,,MIN,W,107,93,39,86,.453,12,33,.364,17,25,.680,15,54,27,8,9,18,17
17,18,2014-12-02,@,DEN,W,105,103,43,86,.500,5,22,.227,14,17,.824,4,37,26,7,5,12,19
18,19,2014-12-04,,IND,W,88,82,33,83,.398,4,21,.190,18,23,.783,5,48,20,9,5,12,16
19,20,2014-12-07,@,NYK,W,103,99,36,85,.424,10,28,.357,21,29,.724,16,44,21,8,2,9,17
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2014-12-09,@,DET,W,98,86,41,84,.488,9,21,.429,7,8,.875,10,47,25,4,7,13,12
23,22,2014-12-10,@,MIN,L,82,90,31,80,.388,10,35,.286,10,12,.833,11,38,20,7,10,20,25
24,23,2014-12-12,@,CHI,L,106,115,43,88,.489,12,24,.500,8,11,.727,11,37,20,3,5,10,17
25,24,2014-12-13,@,IND,W,95,85,40,90,.444,5,17,.294,10,12,.833,11,46,21,9,5,12,21
26,25,2014-12-15,,SAS,W,108,95,41,89,.461,7,18,.389,19,22,.864,11,46,18,8,2,11,19
