,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2017-10-18,,HOU,L,100,105,42,88,.477,8,23,.348,8,10,.800,9,42,19,5,4,17,20
1,2,2017-10-20,@,DAL,W,93,88,37,87,.425,10,23,.435,9,13,.692,16,57,20,8,3,14,18
2,3,2017-10-21,@,DEN,L,79,96,31,85,.365,8,22,.364,9,13,.692,12,39,15,6,3,13,21
3,4,2017-10-23,@,PHO,L,115,117,43,99,.434,9,22,.409,20,29,.690,13,37,19,13,2,9,25
4,5,2017-10-26,,NOP,L,106,114,38,81,.469,7,20,.350,23,25,.920,5,34,25,7,5,12,17
5,6,2017-10-29,,WAS,L,83,110,32,82,.390,6,22,.273,13,16,.813,11,43,13,8,2,17,20
6,7,2017-10-31,@,IND,L,83,101,37,88,.420,2,14,.143,7,14,.500,9,45,15,8,5,14,18
7,8,2017-11-01,@,BOS,L,86,113,35,81,.432,6,20,.300,10,12,.833,7,26,24,10,5,15,18
8,9,2017-11-04,@,DET,L,99,108,40,76,.526,10,21,.476,9,13,.692,3,32,24,6,1,17,23
9,10,2017-11-07,,OKC,W,94,86,37,79,.468,9,24,.375,11,12,.917,5,47,21,6,5,23,24
10,11,2017-11-09,,PHI,W,109,108,40,93,.430,12,27,.444,17,28,.607,8,45,29,6,5,9,19
11,12,2017-11-11,@,NYK,L,91,118,30,80,.375,7,22,.318,24,30,.800,11,42,19,6,4,13,18
12,13,2017-11-13,@,WAS,L,92,110,34,84,.405,12,23,.522,12,18,.667,10,35,19,8,4,10,15
13,14,2017-11-15,@,ATL,L,80,126,31,88,.352,6,28,.214,12,20,.600,11,29,18,12,2,12,19
14,15,2017-11-17,,POR,W,86,82,36,85,.424,4,14,.286,10,15,.667,12,43,20,11,5,13,22
15,16,2017-11-18,@,POR,L,90,102,34,89,.382,8,17,.471,14,18,.778,9,36,14,9,4,11,24
16,17,2017-11-20,,DEN,L,98,114,41,86,.477,8,20,.400,8,9,.889,5,34,18,11,6,12,19
17,18,2017-11-22,,LAL,W,113,102,47,85,.553,10,21,.476,9,14,.643,10,44,26,9,4,17,20
18,19,2017-11-25,,LAC,L,95,97,38,83,.458,11,21,.524,8,9,.889,8,37,19,9,8,18,17
19,20,2017-11-27,@,GSW,W,110,106,42,79,.532,9,17,.529,17,21,.810,11,36,27,7,6,13,15
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2017-11-28,,MIL,L,87,112,31,77,.403,5,17,.294,20,29,.690,9,40,15,5,2,16,21
23,22,2017-12-01,@,CHI,W,107,106,45,85,.529,6,18,.333,11,14,.786,8,43,29,5,10,12,15
24,23,2017-12-02,@,MIL,L,104,109,37,77,.481,11,24,.458,19,21,.905,6,33,20,7,1,15,28
25,24,2017-12-06,@,CLE,L,95,101,39,86,.453,10,32,.313,7,13,.538,9,45,25,15,5,12,20
26,25,2017-12-08,@,NOP,W,116,109,47,97,.485,13,30,.433,9,14,.643,11,46,21,12,4,17,21
27,26,2017-12-10,,TOR,L,87,102,35,73,.479,10,23,.435,7,14,.500,7,42,15,7,6,21,17
28,27,2017-12-12,,PHO,W,99,92,38,89,.427,7,22,.318,16,22,.727,11,45,21,9,3,9,18
29,28,2017-12-14,@,MIN,L,96,119,36,87,.414,14,33,.424,10,12,.833,15,42,24,4,2,14,21
30,29,2017-12-17,@,TOR,L,93,108,38,81,.469,11,26,.423,6,8,.750,6,32,25,9,9,15,19
31,30,2017-12-19,@,PHI,W,101,95,41,91,.451,7,27,.259,12,23,.522,9,39,21,11,6,12,20
32,31,2017-12-20,@,BRK,W,104,99,40,82,.488,7,19,.368,17,20,.850,13,48,14,4,4,12,19
33,32,2017-12-23,,SAS,L,99,108,40,86,.465,12,22,.545,7,11,.636,9,42,21,2,2,10,17
34,33,2017-12-26,@,LAC,L,95,122,40,96,.417,7,22,.318,8,12,.667,10,37,25,11,7,9,19
35,34,2017-12-27,,CLE,W,109,95,41,79,.519,12,30,.400,15,18,.833,7,40,25,8,6,11,19
36,35,2017-12-29,,PHO,L,101,111,37,80,.463,8,23,.348,19,23,.826,8,37,23,6,2,9,23
37,36,2017-12-31,,MEM,L,96,114,37,86,.430,9,24,.375,13,25,.520,12,42,20,6,2,16,21
38,37,2018-01-02,,CHO,L,111,131,45,87,.517,7,17,.412,14,18,.778,16,47,22,1,2,15,19
39,38,2018-01-06,,DEN,W,106,98,42,94,.447,9,25,.360,13,17,.765,10,39,21,16,4,9,22
40,39,2018-01-08,,SAS,L,100,107,40,82,.488,8,23,.348,12,16,.750,8,45,19,6,1,18,14
41,40,2018-01-09,@,LAL,L,86,99,30,87,.345,8,21,.381,18,27,.667,10,43,15,15,4,16,19
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2018-01-11,,LAC,L,115,121,42,85,.494,8,26,.308,23,28,.821,10,44,23,9,3,15,25
45,42,2018-01-13,@,LAC,L,105,126,43,85,.506,6,17,.353,13,22,.591,10,37,26,12,4,16,24
