,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2018-10-17,,UTA,L,117,123,41,79,.519,13,27,.481,28,38,.737,5,44,21,8,4,17,19
1,2,2018-10-19,@,NOP,L,129,149,56,95,.589,16,31,.516,21,33,.636,12,52,35,6,4,16,25
2,3,2018-10-21,@,OKC,W,131,120,46,104,.442,9,39,.231,19,30,.633,18,51,23,11,9,18,29
3,4,2018-10-23,@,DEN,L,112,126,51,99,.515,11,30,.367,13,15,.867,15,49,31,11,3,12,22
4,5,2018-10-24,,MEM,W,97,92,36,94,.383,10,37,.270,10,13,.769,13,49,18,7,6,15,25
5,6,2018-10-26,,WAS,W,116,112,40,86,.465,14,42,.333,18,23,.783,5,42,22,8,7,21,27
6,7,2018-10-29,@,MIA,W,123,113,38,92,.413,13,39,.333,24,34,.706,13,52,20,10,9,18,21
7,8,2018-10-30,@,ORL,W,107,99,36,91,.396,11,43,.256,16,22,.727,11,48,28,10,8,16,22
8,9,2018-11-01,@,ATL,W,146,115,42,87,.483,8,31,.258,23,34,.676,10,43,26,6,6,22,28
9,10,2018-11-04,@,MIL,L,109,144,46,95,.484,22,56,.393,30,33,.909,10,56,30,6,7,12,20
10,11,2018-11-07,,TOR,L,105,114,41,89,.461,11,36,.306,21,23,.913,13,53,17,10,4,20,20
11,12,2018-11-09,,MIN,W,121,110,39,94,.415,7,25,.280,25,31,.806,15,52,20,6,1,17,23
12,13,2018-11-10,,LAL,L,86,101,41,99,.414,12,38,.316,7,17,.412,17,59,23,11,3,14,20
13,14,2018-11-12,,SAS,W,104,99,38,87,.437,10,31,.323,13,16,.813,9,43,25,5,4,15,12
14,15,2018-11-16,@,MEM,L,104,112,43,85,.506,11,25,.440,15,24,.625,9,40,24,11,5,13,23
15,16,2018-11-17,@,HOU,L,112,132,46,81,.568,20,47,.426,20,24,.833,6,41,27,9,10,22,20
16,17,2018-11-19,,OKC,W,117,113,45,108,.417,12,41,.293,11,16,.688,13,53,22,8,3,13,22
17,18,2018-11-21,@,UTA,W,119,110,38,88,.432,12,39,.308,22,31,.710,12,46,21,7,7,10,21
18,19,2018-11-24,@,GSW,L,116,117,41,88,.466,10,34,.294,25,29,.862,12,54,28,5,6,14,24
19,20,2018-11-25,,UTA,L,112,133,49,92,.533,10,30,.333,25,33,.758,13,49,30,11,5,18,26
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2018-11-29,,LAC,L,121,133,50,90,.556,12,28,.429,21,28,.750,8,38,25,7,5,9,21
23,22,2018-12-01,,IND,W,111,110,43,82,.524,10,24,.417,14,18,.778,6,42,32,11,5,25,26
24,23,2018-12-04,@,PHO,W,122,105,38,87,.437,12,43,.279,17,21,.810,13,43,27,9,4,21,27
25,24,2018-12-07,@,CLE,W,129,110,43,81,.531,10,26,.385,14,19,.737,7,35,20,4,0,16,17
26,25,2018-12-08,@,IND,L,97,107,40,92,.435,8,30,.267,19,22,.864,15,52,26,7,8,15,17
27,26,2018-12-10,@,CHI,W,108,89,34,76,.447,8,28,.286,13,13,1.000,7,40,16,10,3,27,17
28,27,2018-12-12,,MIN,W,141,130,50,93,.538,9,22,.409,21,27,.778,12,39,30,4,4,11,24
29,28,2018-12-14,,GSW,L,125,130,44,96,.458,15,40,.375,27,36,.750,15,60,32,5,0,18,23
30,29,2018-12-16,@,DAL,W,120,113,40,96,.417,9,35,.257,24,31,.774,16,53,22,6,5,14,18
31,30,2018-12-17,@,MIN,L,105,132,48,96,.500,10,27,.370,26,30,.867,11,58,37,10,7,11,24
32,31,2018-12-19,,OKC,L,113,132,51,102,.500,13,32,.406,17,27,.630,18,66,27,8,6,17,24
33,32,2018-12-21,,MEM,W,102,99,37,80,.463,16,32,.500,9,10,.900,8,44,24,7,8,18,25
34,33,2018-12-23,,NOP,W,122,117,44,94,.468,6,26,.231,23,28,.821,12,58,26,6,9,12,29
35,34,2018-12-26,@,LAC,L,118,127,48,96,.500,12,28,.429,19,23,.826,14,50,23,7,6,12,20
36,35,2018-12-27,,LAL,W,117,116,45,88,.511,10,25,.400,16,23,.696,9,46,25,7,5,17,19
37,36,2018-12-30,@,LAL,L,114,121,47,98,.480,15,44,.341,12,20,.600,12,50,30,7,5,14,17
38,37,2019-01-01,,POR,L,108,113,39,90,.433,9,32,.281,26,30,.867,10,56,22,11,10,18,19
39,38,2019-01-03,,DEN,L,113,117,41,89,.461,14,39,.359,21,30,.700,16,54,24,3,3,14,20
40,39,2019-01-05,,GSW,L,123,127,47,93,.505,21,47,.447,12,14,.857,12,47,29,5,8,13,16
41,40,2019-01-07,,ORL,W,111,95,32,87,.368,13,37,.351,18,24,.750,5,46,15,8,1,16,15
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2019-01-08,@,PHO,L,111,115,45,88,.511,10,25,.400,15,19,.789,9,37,31,18,7,19,25
45,42,2019-01-10,,DET,W,112,102,35,82,.427,11,38,.289,21,24,.875,9,37,22,13,3,19,21
46,43,2019-01-12,,CHO,W,104,97,36,88,.409,12,36,.333,13,22,.591,13,56,21,6,11,18,17
47,44,2019-01-14,,POR,W,115,107,37,92,.402,10,31,.323,23,29,.793,17,49,22,6,3,14,23
48,45,2019-01-17,@,CHO,L,95,114,39,87,.448,11,38,.289,25,29,.862,12,46,21,11,4,13,16
49,46,2019-01-19,@,DET,W,103,101,36,82,.439,10,29,.345,19,25,.760,13,46,21,6,2,14,23
50,47,2019-01-21,@,BRK,L,94,123,45,90,.500,13,35,.371,20,24,.833,12,56,25,9,4,16,15
51,48,2019-01-22,@,TOR,L,105,120,40,91,.440,16,40,.400,24,35,.686,12,46,25,7,5,16,21
52,49,2019-01-25,@,MEM,W,99,96,34,80,.425,6,20,.300,22,27,.815,9,44,22,13,5,16,22
53,50,2019-01-27,@,LAC,L,108,122,42,88,.477,11,29,.379,27,29,.931,14,52,35,6,1,18,28
54,51,2019-01-30,,ATL,W,135,113,38,86,.442,16,46,.348,21,25,.840,9,36,24,7,3,20,19
55,52,2019-02-02,,PHI,W,115,108,41,93,.441,7,33,.212,19,25,.760,14,46,19,9,5,13,22
56,53,2019-02-04,,SAS,W,127,112,42,98,.429,9,32,.281,19,21,.905,15,46,18,6,3,8,20
57,54,2019-02-06,,HOU,L,101,127,45,100,.450,20,51,.392,17,18,.944,13,42,17,13,7,11,19
58,55,2019-02-08,,MIA,W,102,96,38,88,.432,11,33,.333,9,19,.474,11,49,26,6,8,18,21
59,56,2019-02-10,,PHO,W,117,104,38,91,.418,6,27,.222,22,30,.733,15,54,22,5,4,17,31
60,57,2019-02-13,@,DEN,L,118,120,45,99,.455,8,31,.258,22,25,.880,14,53,26,7,1,13,19
61,58,2019-02-21,@,GSW,L,123,125,43,94,.457,19,46,.413,20,24,.833,8,49,32,5,11,15,26
62,59,2019-02-23,@,OKC,W,119,116,40,105,.381,14,46,.304,22,28,.786,16,59,17,2,6,14,26
63,60,2019-02-25,@,MIN,L,105,112,42,83,.506,8,31,.258,20,28,.714,7,49,23,10,6,22,28
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2019-02-27,,MIL,L,140,141,54,112,.482,17,45,.378,16,21,.762,11,57,36,3,14,11,18
67,62,2019-03-01,,LAC,L,109,116,40,92,.435,12,31,.387,24,33,.727,16,58,19,4,6,11,23
68,63,2019-03-04,,NYK,W,115,108,39,85,.459,12,29,.414,18,28,.643,10,48,17,8,5,17,25
69,64,2019-03-06,,BOS,L,109,111,40,79,.506,13,33,.394,18,21,.857,3,35,26,11,1,17,22
70,65,2019-03-09,@,NYK,W,102,94,35,94,.372,10,35,.286,14,21,.667,13,58,16,3,5,9,20
71,66,2019-03-11,@,WAS,L,115,121,40,86,.465,14,37,.378,27,33,.818,7,47,29,12,1,17,25
72,67,2019-03-14,@,BOS,L,120,126,49,97,.505,9,28,.321,19,26,.731,10,52,32,7,2,13,20
73,68,2019-03-15,@,PHI,L,114,123,46,91,.505,7,24,.292,24,27,.889,10,49,28,7,6,10,18
74,69,2019-03-17,,CHI,W,129,102,39,88,.443,10,26,.385,14,21,.667,10,39,20,6,6,19,16
75,70,2019-03-19,,BRK,L,121,123,47,94,.500,12,35,.343,17,23,.739,11,41,28,16,4,18,19
76,71,2019-03-21,,DAL,W,116,100,36,92,.391,12,40,.300,16,23,.696,9,43,23,5,6,7,22
77,72,2019-03-23,,PHO,W,112,103,36,88,.409,9,34,.265,22,26,.846,10,43,25,10,4,14,21
