,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2020-12-23,@,MEM,W,131,119,48,95,.505,10,25,.400,25,29,.862,8,48,28,8,8,10,18
1,2,2020-12-26,,TOR,W,119,114,47,100,.470,14,34,.412,11,16,.688,14,53,36,4,3,16,20
2,3,2020-12-27,@,NOP,L,95,98,38,89,.427,11,36,.306,8,8,1.000,4,47,26,5,10,15,23
3,4,2020-12-30,,LAL,L,107,121,40,87,.460,10,24,.417,17,23,.739,7,39,25,8,4,10,18
4,5,2021-01-01,,LAL,L,103,109,36,85,.424,13,34,.382,18,26,.692,8,45,23,3,8,13,20
5,6,2021-01-03,,UTA,L,109,130,44,105,.419,6,19,.316,15,21,.714,14,45,23,13,4,7,16
6,7,2021-01-05,@,LAC,W,116,113,44,96,.458,20,40,.500,8,11,.727,11,44,23,9,3,10,13
7,8,2021-01-07,@,LAL,W,118,109,43,92,.467,16,35,.457,16,17,.941,6,40,28,4,3,6,15
8,9,2021-01-09,@,MIN,W,125,122,44,101,.436,13,32,.406,24,29,.828,12,48,22,8,3,6,19
9,10,2021-01-10,@,MIN,L,88,96,36,94,.383,8,30,.267,8,14,.571,9,45,21,4,5,10,16
10,11,2021-01-12,@,OKC,W,112,102,41,95,.432,10,35,.286,20,22,.909,7,46,26,8,5,4,20
11,12,2021-01-14,,HOU,L,105,109,42,92,.457,9,31,.290,12,16,.750,10,41,26,10,4,10,17
12,13,2021-01-16,,HOU,W,103,91,40,100,.400,5,24,.208,18,23,.783,17,58,19,10,7,12,21
13,14,2021-01-18,@,POR,W,125,104,48,90,.533,15,33,.455,14,16,.875,12,48,33,6,6,12,17
14,15,2021-01-20,@,GSW,L,99,121,35,94,.372,4,33,.121,25,31,.806,12,43,17,7,2,10,15
15,16,2021-01-22,,DAL,L,117,122,41,89,.461,12,28,.429,23,30,.767,9,49,21,3,5,7,18
16,17,2021-01-24,,WAS,W,121,101,48,96,.500,15,31,.484,10,11,.909,5,44,27,11,5,8,14
