,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2021-10-20,,ORL,W,123,97,35,86,.407,9,29,.310,18,23,.783,13,44,17,6,6,16,20
1,2,2021-10-22,@,DEN,L,96,102,44,86,.512,9,30,.300,5,8,.625,8,41,26,10,2,21,21
2,3,2021-10-23,,MIL,L,111,121,44,83,.530,15,35,.429,18,22,.818,7,44,21,6,5,20,15
3,4,2021-10-26,,LAL,L,121,125,50,105,.476,8,30,.267,17,22,.773,9,56,20,8,10,13,21
4,5,2021-10-28,@,DAL,L,99,104,41,89,.461,18,45,.400,4,13,.308,9,45,18,4,7,12,19
5,6,2021-10-30,@,MIL,W,102,93,36,89,.404,10,39,.256,11,16,.688,9,52,20,6,2,19,18
6,7,2021-11-01,@,IND,L,118,131,52,91,.571,18,38,.474,9,12,.750,10,39,37,11,4,14,19
7,8,2021-11-03,,DAL,L,108,109,40,93,.430,8,34,.235,21,29,.724,15,56,21,10,4,19,23
8,9,2021-11-05,@,ORL,W,102,89,35,89,.393,12,41,.293,7,10,.700,7,43,23,9,12,18,13
9,10,2021-11-07,@,OKC,L,94,99,35,94,.372,12,42,.286,17,20,.850,15,57,21,5,7,13,14
10,11,2021-11-10,,SAC,W,136,117,47,91,.516,10,36,.278,13,16,.813,11,44,20,4,6,15,26
11,12,2021-11-12,,DAL,L,109,123,46,100,.460,18,45,.400,13,19,.684,10,48,30,9,7,5,18
12,13,2021-11-14,@,LAL,L,106,114,43,83,.518,15,31,.484,13,17,.765,9,46,28,6,5,14,16
13,14,2021-11-16,@,LAC,L,92,106,37,85,.435,12,38,.316,20,22,.909,6,52,16,9,3,20,13
14,15,2021-11-18,@,MIN,L,90,115,41,86,.477,21,49,.429,12,15,.800,12,47,30,5,9,12,17
15,16,2021-11-22,,PHO,L,111,115,45,88,.511,12,27,.444,13,16,.813,11,44,25,10,0,15,18
16,17,2021-11-24,,ATL,L,106,124,45,88,.511,12,26,.462,22,24,.917,8,44,26,10,5,9,11
17,18,2021-11-26,,BOS,W,96,88,34,92,.370,10,34,.294,10,15,.667,12,51,20,4,8,10,20
18,19,2021-11-29,,WAS,W,116,99,41,92,.446,9,31,.290,8,13,.615,12,40,26,5,3,6,15
19,20,2021-12-02,@,POR,W,114,83,29,82,.354,12,34,.353,13,17,.765,8,41,19,8,6,18,20
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2021-12-04,@,GSW,W,112,107,40,90,.444,13,39,.333,14,21,.667,11,45,26,6,2,12,18
23,22,2021-12-06,@,PHO,L,104,108,43,94,.457,10,29,.345,12,18,.667,15,49,27,6,4,17,20
24,23,2021-12-07,,NYK,L,109,121,43,91,.473,18,38,.474,17,19,.895,17,52,22,7,5,10,19
25,24,2021-12-09,,DEN,W,123,111,42,94,.447,15,39,.385,12,13,.923,5,33,29,7,5,8,21
26,25,2021-12-11,,DEN,L,112,127,47,93,.505,20,43,.465,13,14,.929,10,41,33,9,8,11,25
27,26,2021-12-12,,NOP,W,112,97,40,94,.426,8,29,.276,9,15,.600,11,42,24,8,4,14,17
28,27,2021-12-15,,CHO,L,115,131,51,86,.593,18,34,.529,11,16,.688,9,48,34,3,4,11,16
29,28,2021-12-17,@,UTA,W,128,126,46,93,.495,13,37,.351,21,26,.808,13,50,26,5,6,12,18
30,29,2021-12-19,@,SAC,L,114,121,46,91,.505,14,25,.560,15,18,.833,11,40,23,11,3,11,19
31,30,2021-12-20,@,LAC,W,116,92,34,87,.391,9,32,.281,15,20,.750,9,43,18,6,5,14,15
32,31,2021-12-23,@,LAL,W,138,110,44,94,.468,5,27,.185,17,30,.567,14,48,21,4,6,14,20
33,32,2021-12-26,,DET,W,144,109,38,98,.388,8,32,.250,25,34,.735,14,42,16,10,5,14,30
34,33,2021-12-27,,UTA,L,104,110,39,86,.453,9,31,.290,23,30,.767,7,55,19,9,4,14,15
35,34,2021-12-31,@,MEM,L,105,118,49,102,.480,10,26,.385,10,16,.625,16,58,28,7,11,9,18
36,35,2022-01-01,@,DET,L,116,117,41,101,.406,9,35,.257,26,33,.788,22,63,18,12,6,20,23
37,36,2022-01-04,@,TOR,L,104,129,45,96,.469,18,44,.409,21,29,.724,16,52,30,13,8,12,20
38,37,2022-01-05,@,BOS,W,99,97,40,90,.444,9,28,.321,8,9,.889,13,41,19,10,9,8,12
39,38,2022-01-07,@,PHI,L,100,119,45,87,.517,8,23,.348,21,27,.778,12,49,28,7,4,13,18
40,39,2022-01-09,@,BRK,L,119,121,47,98,.480,8,28,.286,19,22,.864,13,55,26,8,8,21,18
41,40,2022-01-10,@,NYK,L,96,111,40,82,.488,13,32,.406,18,24,.750,9,49,23,7,9,15,22
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2022-01-12,,HOU,L,124,128,45,82,.549,16,36,.444,22,32,.688,4,48,23,5,7,14,24
45,42,2022-01-14,,CLE,L,109,114,46,95,.484,8,20,.400,14,24,.583,12,46,24,7,3,9,13
46,43,2022-01-15,,LAC,W,101,94,38,100,.380,12,38,.316,6,8,.750,21,54,24,8,4,14,21
47,44,2022-01-17,,PHO,L,107,121,49,95,.516,9,32,.281,14,20,.700,12,45,29,9,5,5,18
48,45,2022-01-19,,OKC,W,118,96,38,98,.388,8,31,.258,12,15,.800,14,46,20,5,2,14,14
49,46,2022-01-21,,BRK,L,102,117,48,100,.480,9,25,.360,12,12,1.000,12,53,24,3,5,7,17
50,47,2022-01-23,,PHI,L,109,115,44,92,.478,7,16,.438,20,23,.870,13,47,22,5,3,10,19
51,48,2022-01-25,@,HOU,W,134,104,39,95,.411,9,34,.265,17,25,.680,18,45,21,8,3,15,12
52,49,2022-01-26,,MEM,L,110,118,46,90,.511,7,23,.304,19,26,.731,12,44,24,9,9,13,18
53,50,2022-01-28,,CHI,W,131,122,46,88,.523,8,30,.267,22,26,.846,4,37,22,5,2,6,16
54,51,2022-01-30,@,PHO,L,110,115,48,97,.495,11,32,.344,8,12,.667,11,46,31,6,5,8,12
55,52,2022-02-01,,GSW,L,120,124,43,96,.448,20,46,.435,18,18,1.000,15,46,30,10,3,14,17
56,53,2022-02-03,,MIA,L,95,112,42,83,.506,12,30,.400,16,18,.889,7,42,27,13,3,13,27
57,54,2022-02-04,,HOU,W,131,106,36,83,.434,11,33,.333,23,29,.793,9,35,15,9,6,17,20
58,55,2022-02-09,@,CLE,L,92,105,39,82,.476,9,21,.429,18,24,.750,10,51,18,8,2,13,12
59,56,2022-02-11,@,ATL,W,136,121,47,103,.456,14,43,.326,13,15,.867,17,49,28,10,5,14,18
60,57,2022-02-12,@,NOP,W,124,114,43,87,.494,11,32,.344,17,20,.850,10,46,22,2,4,15,19
61,58,2022-02-14,@,CHI,L,109,120,46,88,.523,10,24,.417,18,21,.857,10,53,25,3,3,15,19
62,59,2022-02-16,@,OKC,W,114,106,41,105,.390,11,32,.344,13,19,.684,15,50,25,6,6,8,19
63,60,2022-02-25,@,WAS,W,157,153,59,108,.546,16,38,.421,19,24,.792,11,39,36,10,5,15,29
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2022-02-26,@,MIA,L,129,133,47,83,.566,12,28,.429,27,38,.711,4,32,25,8,3,11,20
67,62,2022-02-28,@,MEM,L,105,118,48,89,.539,11,26,.423,11,19,.579,13,55,24,5,6,16,18
68,63,2022-03-03,,SAC,L,112,115,39,85,.459,10,32,.313,27,32,.844,9,49,26,6,2,13,13
69,64,2022-03-05,@,CHO,L,117,123,42,91,.462,16,42,.381,23,29,.793,11,50,29,8,5,9,16
70,65,2022-03-07,,LAL,W,117,110,43,91,.473,8,26,.308,16,23,.696,12,43,19,7,3,15,26
71,66,2022-03-09,,TOR,L,104,119,41,85,.482,11,30,.367,26,28,.929,13,47,12,7,1,10,23
72,67,2022-03-11,,UTA,W,104,102,37,92,.402,13,40,.325,15,23,.652,16,57,20,10,8,17,26
73,68,2022-03-12,,IND,L,108,119,45,92,.489,14,36,.389,15,15,1.000,9,47,23,6,10,12,20
74,69,2022-03-14,,MIN,L,139,149,52,90,.578,17,33,.515,28,32,.875,7,40,28,8,3,15,20
75,70,2022-03-16,,OKC,W,122,120,43,82,.524,13,35,.371,21,29,.724,10,47,24,11,1,17,18
76,71,2022-03-18,,NOP,L,91,124,48,96,.500,14,34,.412,14,18,.778,13,58,24,13,4,9,21
77,72,2022-03-20,@,GSW,W,110,108,41,90,.456,11,33,.333,15,21,.714,20,57,26,5,1,15,20
78,73,2022-03-23,@,POR,W,133,96,36,94,.383,7,26,.269,17,18,.944,12,43,18,5,5,16,21
79,74,2022-03-26,@,NOP,W,107,103,40,90,.444,10,32,.313,13,19,.684,12,42,23,4,11,8,19
80,75,2022-03-28,@,HOU,W,123,120,38,92,.413,20,49,.408,24,28,.857,10,44,26,5,9,12,24
81,76,2022-03-30,,MEM,L,111,112,44,91,.484,16,39,.410,8,11,.727,12,40,26,8,5,12,15
82,77,2022-04-01,,POR,W,130,111,41,92,.446,15,35,.429,14,20,.700,12,42,27,12,2,10,20
83,78,2022-04-03,,POR,W,113,92,33,84,.393,16,45,.356,10,15,.667,7,39,22,7,4,14,22
84,79,2022-04-05,@,DEN,W,116,97,41,98,.418,7,33,.212,8,12,.667,10,51,22,4,2,11,19
85,80,2022-04-07,@,MIN,L,121,127,41,96,.427,20,53,.377,25,31,.806,13,47,25,8,2,10,29
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
88,81,2022-04-09,,GSW,L,94,100,33,81,.407,8,32,.250,26,33,.788,13,51,23,8,1,12,22
89,82,2022-04-10,@,DAL,L,120,130,46,85,.541,20,36,.556,18,23,.783,10,43,34,5,3,16,16
