,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2018-10-17,,CLE,W,116,104,34,85,.400,7,19,.368,29,39,.744,14,49,17,4,0,16,25
1,2,2018-10-19,,BOS,W,113,101,40,99,.404,14,36,.389,7,10,.700,16,49,29,4,6,14,27
2,3,2018-10-20,@,WAS,W,117,113,37,89,.416,13,39,.333,26,32,.813,9,37,20,11,9,11,27
3,4,2018-10-22,,CHO,W,127,106,41,97,.423,9,28,.321,15,18,.833,14,41,21,5,5,12,14
4,5,2018-10-24,,MIN,W,112,105,40,96,.417,15,30,.500,10,16,.625,16,44,25,10,5,15,17
5,6,2018-10-26,,DAL,W,116,107,38,92,.413,12,30,.400,19,24,.792,10,44,22,6,6,14,17
6,7,2018-10-29,@,MIL,L,109,124,45,92,.489,19,45,.422,15,19,.789,8,57,28,5,4,17,21
7,8,2018-10-30,,PHI,W,129,112,38,91,.418,14,40,.350,22,30,.733,17,47,25,7,5,23,24
8,9,2018-11-02,@,PHO,W,107,98,40,91,.440,8,26,.308,10,18,.556,12,49,20,3,4,15,18
9,10,2018-11-04,@,LAL,W,121,107,39,85,.459,6,24,.250,23,29,.793,6,38,25,6,4,16,18
10,11,2018-11-05,@,UTA,W,124,111,38,86,.442,8,31,.258,27,41,.659,12,40,29,10,4,12,19
11,12,2018-11-07,@,SAC,W,114,105,42,88,.477,8,23,.348,13,18,.722,6,31,27,10,5,15,26
12,13,2018-11-10,,NYK,W,128,112,44,96,.458,6,22,.273,18,22,.818,16,47,18,12,6,14,26
13,14,2018-11-12,,NOP,L,110,126,54,99,.545,10,27,.370,8,13,.615,14,54,30,2,4,13,20
14,15,2018-11-14,,DET,L,104,106,44,91,.484,10,33,.303,8,13,.615,7,39,24,8,5,17,24
15,16,2018-11-16,@,BOS,L,116,123,47,89,.528,9,26,.346,20,24,.833,9,46,25,9,6,18,23
16,17,2018-11-17,@,CHI,W,122,83,30,86,.349,8,27,.296,15,21,.714,7,34,21,13,3,22,19
17,18,2018-11-20,@,ORL,W,93,91,34,84,.405,8,30,.267,15,19,.789,11,49,24,5,4,14,11
18,19,2018-11-21,@,ATL,W,124,108,42,93,.452,10,36,.278,14,18,.778,9,34,24,10,7,9,21
19,20,2018-11-23,,WAS,W,125,107,40,100,.400,9,46,.196,18,19,.947,14,44,28,8,7,12,16
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2018-11-25,,MIA,W,125,115,39,95,.411,15,36,.417,22,32,.688,17,46,21,6,5,7,22
23,22,2018-11-27,@,MEM,W,122,114,43,85,.506,10,29,.345,18,21,.857,11,35,27,9,5,13,23
24,23,2018-11-29,,GSW,W,131,128,50,103,.485,11,30,.367,17,20,.850,17,46,27,6,5,14,22
25,24,2018-12-01,@,CLE,W,106,95,34,88,.386,5,22,.227,22,25,.880,11,44,14,6,0,11,23
26,25,2018-12-03,,DEN,L,103,106,40,89,.449,11,28,.393,15,24,.625,15,49,32,9,2,20,14
27,26,2018-12-05,,PHI,W,113,102,40,88,.455,11,35,.314,11,14,.786,11,49,26,7,5,21,23
28,27,2018-12-07,@,BRK,L,105,106,43,98,.439,11,35,.314,9,13,.692,16,60,22,8,2,20,28
29,28,2018-12-09,,MIL,L,99,104,36,87,.414,15,39,.385,17,20,.850,9,45,22,6,7,11,13
30,29,2018-12-11,@,LAC,W,123,99,38,86,.442,7,25,.280,16,19,.842,12,44,25,2,5,15,16
31,30,2018-12-12,@,GSW,W,113,93,39,82,.476,6,26,.231,9,13,.692,5,40,28,5,11,19,18
32,31,2018-12-14,@,POR,L,122,128,48,94,.511,13,27,.481,19,21,.905,12,38,29,10,4,8,15
33,32,2018-12-16,@,DEN,L,86,95,36,85,.424,10,30,.333,13,16,.813,10,44,21,7,4,8,14
34,33,2018-12-19,,IND,W,99,96,38,80,.475,9,20,.450,11,16,.688,9,49,19,6,7,20,21
35,34,2018-12-21,,CLE,W,126,110,39,82,.476,9,24,.375,23,30,.767,11,40,20,5,5,11,23
36,35,2018-12-22,@,PHI,L,101,126,46,85,.541,8,24,.333,26,35,.743,4,53,33,10,7,11,21
37,36,2018-12-26,@,MIA,W,106,104,43,83,.518,12,29,.414,6,12,.500,6,35,28,10,6,12,17
38,37,2018-12-28,@,ORL,L,87,116,44,93,.473,9,26,.346,19,22,.864,11,60,29,3,8,15,20
39,38,2018-12-30,,CHI,W,95,89,33,80,.413,7,20,.350,16,18,.889,7,44,16,7,2,16,16
40,39,2019-01-01,,UTA,W,122,116,42,97,.433,9,32,.281,23,29,.793,12,43,23,6,4,4,27
41,40,2019-01-03,@,SAS,L,107,125,47,85,.553,13,27,.481,18,20,.900,8,44,32,7,0,12,19
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2019-01-05,@,MIL,W,123,116,40,81,.494,14,37,.378,22,27,.815,4,38,29,9,2,14,20
45,42,2019-01-06,,IND,W,121,105,43,94,.457,4,17,.235,15,20,.750,12,44,24,8,4,14,19
46,43,2019-01-08,,ATL,W,104,101,40,87,.460,10,27,.370,11,16,.688,13,50,22,12,2,26,22
47,44,2019-01-11,,BRK,W,122,105,37,88,.420,11,30,.367,20,30,.667,9,54,20,4,4,17,21
48,45,2019-01-13,@,WAS,W,140,138,54,118,.458,19,44,.432,11,18,.611,17,51,36,11,7,20,28
49,46,2019-01-16,@,BOS,L,108,117,46,92,.500,14,30,.467,11,13,.846,14,49,32,7,6,14,24
50,47,2019-01-17,,PHO,W,111,109,36,84,.429,9,30,.300,28,36,.778,15,46,18,9,8,16,21
51,48,2019-01-19,,MEM,W,119,90,34,80,.425,10,29,.345,12,15,.800,10,42,21,7,3,24,13
52,49,2019-01-22,,SAC,W,120,105,41,91,.451,7,21,.333,16,22,.727,10,43,29,8,7,14,27
53,50,2019-01-23,@,IND,L,106,110,40,92,.435,9,26,.346,21,25,.840,12,48,27,6,7,6,23
54,51,2019-01-25,@,HOU,L,119,121,41,91,.451,10,46,.217,29,33,.879,12,40,17,11,5,12,21
55,52,2019-01-27,@,DAL,W,123,120,43,88,.489,11,36,.306,23,34,.676,7,43,25,5,2,11,29
56,53,2019-01-31,,MIL,L,92,105,39,79,.494,14,38,.368,13,17,.765,7,50,21,13,6,18,16
57,54,2019-02-03,,LAC,W,121,103,38,89,.427,2,12,.167,25,29,.862,7,36,15,7,7,13,24
58,55,2019-02-05,@,PHI,W,119,107,31,70,.443,7,24,.292,38,41,.927,5,34,20,8,3,18,22
59,56,2019-02-07,@,ATL,W,119,101,36,80,.450,16,35,.457,13,25,.520,8,42,25,5,3,17,25
60,57,2019-02-09,@,NYK,W,104,99,39,94,.415,10,25,.400,11,19,.579,15,57,22,9,4,14,26
61,58,2019-02-11,,BRK,W,127,125,46,88,.523,20,41,.488,13,18,.722,5,31,33,6,3,14,18
62,59,2019-02-13,,WAS,W,129,120,37,84,.440,14,40,.350,32,39,.821,4,43,27,6,3,18,28
63,60,2019-02-22,,SAS,W,120,117,43,89,.483,12,37,.324,19,22,.864,9,48,27,7,6,14,22
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2019-02-24,,ORL,L,98,113,42,91,.462,14,36,.389,15,20,.750,12,52,29,6,8,12,16
67,62,2019-02-26,,BOS,W,118,95,33,86,.384,6,30,.200,23,28,.821,10,47,24,6,4,14,20
68,63,2019-03-01,,POR,W,119,117,42,85,.494,14,33,.424,19,23,.826,9,42,24,9,4,16,25
69,64,2019-03-03,@,DET,L,107,112,40,86,.465,12,33,.364,20,29,.690,8,46,25,10,3,15,24
70,65,2019-03-05,,HOU,L,95,107,38,85,.447,15,34,.441,16,18,.889,9,43,22,11,6,9,23
71,66,2019-03-08,@,NOP,W,127,104,43,105,.410,10,39,.256,8,13,.615,14,51,28,11,0,17,12
72,67,2019-03-10,@,MIA,W,125,104,42,92,.457,8,27,.296,12,21,.571,9,36,27,13,0,13,22
73,68,2019-03-11,@,CLE,L,101,126,44,94,.468,18,41,.439,20,21,.952,11,51,27,8,1,12,19
74,69,2019-03-14,,LAL,W,111,98,38,85,.447,7,31,.226,15,24,.625,6,46,24,11,3,20,21
75,70,2019-03-17,@,DET,L,107,110,39,83,.470,8,27,.296,24,27,.889,11,44,23,8,3,10,18
76,71,2019-03-18,,NYK,W,128,92,28,85,.329,8,35,.229,28,32,.875,7,36,16,8,4,13,18
77,72,2019-03-20,@,OKC,W,123,114,43,103,.417,13,43,.302,15,29,.517,16,48,22,6,2,17,22
78,73,2019-03-22,,OKC,L,109,116,42,94,.447,20,43,.465,12,14,.857,12,39,30,9,6,12,21
79,74,2019-03-24,,CHO,L,114,115,41,93,.441,18,41,.439,15,17,.882,14,39,32,12,3,7,17
80,75,2019-03-26,,CHI,W,112,103,39,86,.453,8,23,.348,17,20,.850,7,45,20,12,2,18,16
81,76,2019-03-28,@,NYK,W,117,92,31,85,.365,6,26,.231,24,32,.750,14,54,16,3,5,16,22
82,77,2019-03-30,@,CHI,W,124,101,41,97,.423,9,30,.300,10,16,.625,17,53,21,7,6,13,15
83,78,2019-04-01,,ORL,W,121,109,43,93,.462,12,33,.364,11,15,.733,11,46,32,7,8,13,21
84,79,2019-04-03,@,BRK,W,115,105,41,86,.477,10,32,.313,13,21,.619,9,53,23,3,2,14,19
85,80,2019-04-05,@,CHO,L,111,113,44,94,.468,13,39,.333,12,14,.857,8,40,28,6,2,6,17
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
88,81,2019-04-07,,MIA,W,117,109,41,100,.410,13,34,.382,14,19,.737,12,55,27,5,2,11,22
89,82,2019-04-09,@,MIN,W,120,100,38,91,.418,13,42,.310,11,14,.786,5,35,26,10,9,12,16
