,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2022-10-19,,CLE,W,108,105,36,86,.419,13,30,.433,23,32,.719,12,41,19,15,4,13,23
1,2,2022-10-21,@,BRK,L,105,109,41,84,.488,11,28,.393,12,18,.667,8,41,25,9,4,13,21
2,3,2022-10-22,@,MIA,L,109,112,37,87,.425,14,39,.359,21,28,.750,8,37,24,9,5,6,25
3,4,2022-10-24,@,MIA,W,98,90,34,86,.395,14,32,.438,16,20,.800,10,52,22,6,6,12,22
4,5,2022-10-26,,PHI,W,119,109,46,84,.548,16,37,.432,11,14,.786,6,39,32,9,5,9,21
5,6,2022-10-28,,PHI,L,90,112,33,86,.384,9,39,.231,15,24,.625,15,45,20,9,5,17,15
6,7,2022-10-31,,ATL,W,139,109,46,92,.500,14,34,.412,33,40,.825,12,44,25,13,9,6,22
7,8,2022-11-02,@,SAS,W,143,100,57,106,.538,14,33,.424,15,16,.938,9,50,31,16,6,11,17
8,9,2022-11-04,@,DAL,L,110,111,39,88,.443,11,34,.324,21,25,.840,18,44,20,10,4,19,22
9,10,2022-11-06,,CHI,W,113,104,44,103,.427,10,37,.270,15,20,.750,23,52,28,11,10,9,16
10,11,2022-11-07,@,CHI,L,97,111,36,85,.424,9,28,.321,16,22,.727,5,31,24,10,7,14,20
11,12,2022-11-09,,HOU,W,116,109,42,102,.412,15,44,.341,17,20,.850,22,50,19,12,9,13,26
12,13,2022-11-11,@,OKC,L,113,132,38,88,.432,11,30,.367,26,36,.722,14,39,20,13,4,16,16
13,14,2022-11-12,@,IND,L,104,118,37,94,.394,7,35,.200,23,29,.793,16,43,14,12,8,12,18
14,15,2022-11-14,@,DET,W,115,111,40,82,.488,8,27,.296,27,28,.964,12,42,27,7,8,17,27
15,16,2022-11-16,,MIA,W,112,104,44,86,.512,7,26,.269,17,22,.773,16,42,23,5,3,14,23
16,17,2022-11-19,@,ATL,L,122,124,48,108,.444,8,37,.216,18,22,.818,17,51,27,11,6,13,25
17,18,2022-11-23,,BRK,L,98,112,36,101,.356,7,29,.241,19,25,.760,23,52,16,12,2,13,13
18,19,2022-11-26,,DAL,W,105,100,38,88,.432,8,26,.308,21,26,.808,17,48,20,10,2,13,21
19,20,2022-11-28,,CLE,W,100,88,37,84,.440,12,28,.429,14,17,.824,7,45,23,4,5,10,17
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2022-11-30,@,NOP,L,108,126,42,88,.477,11,38,.289,13,19,.684,3,30,29,12,7,16,21
23,22,2022-12-02,@,BRK,L,105,114,38,87,.437,7,24,.292,22,30,.733,11,43,16,7,2,13,19
24,23,2022-12-03,,ORL,W,121,108,47,84,.560,9,29,.310,18,25,.720,12,43,31,12,4,16,24
25,24,2022-12-05,,BOS,L,110,116,39,85,.459,10,28,.357,22,30,.733,12,46,19,6,5,13,20
26,25,2022-12-07,,LAL,W,126,113,47,106,.443,12,43,.279,20,24,.833,17,54,25,10,5,11,22
27,26,2022-12-09,@,ORL,L,109,113,36,85,.424,10,35,.286,27,33,.818,7,33,23,10,5,7,17
