,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2014-10-29,,HOU,L,93,104,40,77,.519,14,27,.519,10,14,.714,8,35,18,7,6,18,23
1,2,2014-10-30,@,DAL,L,102,120,47,85,.553,8,21,.381,18,23,.783,13,44,25,8,5,9,15
2,3,2014-11-01,,PHO,W,118,91,36,87,.414,7,31,.226,12,15,.800,6,34,17,8,7,11,22
3,4,2014-11-03,@,LAC,L,101,107,41,81,.506,10,23,.435,15,17,.882,5,35,28,6,6,10,17
4,5,2014-11-05,,CLE,W,102,100,30,72,.417,6,16,.375,34,40,.850,7,30,6,8,4,12,22
5,6,2014-11-07,,DAL,L,82,105,42,88,.477,9,24,.375,12,14,.857,13,42,23,12,3,8,22
6,7,2014-11-09,@,DET,W,97,96,36,93,.387,6,23,.261,18,25,.720,18,51,19,6,2,11,22
7,8,2014-11-10,@,IND,L,86,97,39,90,.433,6,15,.400,13,15,.867,13,44,16,3,3,7,19
8,9,2014-11-12,@,ATL,L,97,100,39,76,.513,9,20,.450,13,18,.722,13,46,23,8,4,18,12
9,10,2014-11-14,@,NYK,W,102,100,39,82,.476,5,8,.625,17,20,.850,7,31,15,12,1,8,26
10,11,2014-11-15,@,TOR,L,93,111,43,84,.512,8,21,.381,17,23,.739,13,42,15,6,5,8,19
11,12,2014-11-18,,OKC,W,98,81,30,84,.357,8,23,.348,13,19,.684,12,44,17,8,6,13,22
12,13,2014-11-21,@,GSW,L,88,101,41,82,.500,6,23,.261,13,19,.684,6,40,28,10,5,13,18
13,14,2014-11-22,,NOP,L,94,106,42,93,.452,4,17,.235,18,22,.818,18,44,19,11,7,9,22
14,15,2014-11-24,,CHI,L,95,97,36,72,.500,9,20,.450,16,23,.696,7,35,20,9,3,16,14
15,16,2014-11-26,@,OKC,L,82,97,40,83,.482,12,26,.462,5,10,.500,12,45,21,9,7,16,26
16,17,2014-11-29,,LAC,L,96,112,45,80,.563,11,28,.393,11,15,.733,9,37,21,6,5,11,25
17,18,2014-12-01,,DEN,L,101,103,41,87,.471,9,26,.346,12,17,.706,8,39,23,7,6,10,22
18,19,2014-12-03,,TOR,L,104,123,45,79,.570,12,21,.571,21,24,.875,8,37,15,7,3,9,16
19,20,2014-12-05,,ORL,L,93,98,37,74,.500,7,17,.412,17,20,.850,9,38,15,6,3,8,20
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2014-12-08,@,SAC,L,92,101,35,74,.473,3,8,.375,28,36,.778,10,45,18,8,2,16,24
23,22,2014-12-09,,SAS,W,100,96,39,84,.464,4,20,.200,14,23,.609,11,37,23,12,8,13,21
24,23,2014-12-12,,MIA,L,95,100,36,72,.500,7,20,.350,21,31,.677,7,35,19,6,3,9,16
25,24,2014-12-14,@,WAS,L,84,93,41,84,.488,4,13,.308,7,12,.583,10,41,20,11,9,15,21
26,25,2014-12-16,@,NOP,L,111,119,47,79,.595,8,16,.500,17,18,.944,9,32,24,9,9,16,20
27,26,2014-12-17,@,MIA,W,105,87,27,70,.386,4,17,.235,29,40,.725,8,31,10,10,0,11,24
28,27,2014-12-19,@,ORL,W,101,94,37,83,.446,12,22,.545,8,12,.667,9,34,28,6,2,12,22
29,28,2014-12-20,@,CHO,L,86,104,42,87,.483,9,22,.409,11,16,.688,15,49,21,8,3,5,14
30,29,2014-12-22,@,MEM,W,97,91,38,86,.442,7,23,.304,8,9,.889,5,34,22,4,3,4,18
31,30,2014-12-27,,PHI,W,88,71,24,74,.324,5,26,.192,18,28,.643,10,44,11,8,5,16,20
32,31,2014-12-29,@,LAC,L,97,101,37,81,.457,10,23,.435,17,22,.773,7,41,24,7,12,14,16
33,32,2014-12-30,,MIN,W,100,94,38,82,.463,8,17,.471,10,14,.714,8,34,26,7,4,10,23
34,33,2015-01-02,,ATL,L,92,98,33,81,.407,6,23,.261,26,30,.867,11,47,24,9,3,10,17
35,34,2015-01-03,@,MIN,W,101,89,34,86,.395,6,19,.316,15,18,.833,14,37,17,8,5,8,15
36,35,2015-01-05,,IND,L,101,105,35,74,.473,7,13,.538,28,30,.933,8,35,20,8,3,10,24
37,36,2015-01-07,@,CHI,W,97,77,28,84,.333,6,20,.300,15,20,.750,16,43,17,5,5,15,20
38,37,2015-01-09,@,OKC,L,94,99,42,91,.462,7,21,.333,8,9,.889,9,38,25,12,5,14,18
39,38,2015-01-10,@,HOU,L,82,97,33,77,.429,13,34,.382,18,21,.857,8,33,24,16,3,20,20
40,39,2015-01-13,,GSW,L,105,116,46,91,.505,13,25,.520,11,13,.846,6,31,32,10,5,9,16
41,40,2015-01-16,,LAL,W,94,85,31,65,.477,3,7,.429,20,27,.741,8,42,7,6,5,19,9
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2015-01-18,@,SAS,L,69,89,31,80,.388,8,17,.471,19,23,.826,11,49,23,8,6,10,14
45,42,2015-01-21,@,CLE,L,92,106,42,81,.519,5,24,.208,17,25,.680,15,45,24,15,4,13,12
46,43,2015-01-22,@,MIL,W,101,99,42,92,.457,5,13,.385,10,12,.833,15,40,26,11,5,12,25
47,44,2015-01-24,,BRK,W,108,73,29,75,.387,5,15,.333,10,16,.625,8,29,17,10,9,17,17
48,45,2015-01-26,,BOS,L,90,99,35,74,.473,8,19,.421,21,23,.913,5,37,18,8,3,14,15
49,46,2015-01-28,,LAC,L,89,94,34,76,.447,9,26,.346,17,25,.680,10,37,13,7,6,8,20
50,47,2015-01-30,,GSW,W,110,100,37,86,.430,8,27,.296,18,25,.720,11,41,21,8,2,13,19
51,48,2015-02-03,@,POR,L,102,103,36,76,.474,7,23,.304,24,34,.706,12,45,18,8,6,14,20
52,49,2015-02-04,,MEM,L,90,100,38,80,.475,6,13,.462,18,22,.818,11,38,26,7,4,9,21
53,50,2015-02-06,@,PHO,L,93,100,38,84,.452,14,27,.519,10,14,.714,10,44,20,10,5,11,16
54,51,2015-02-07,,SAC,W,102,90,32,82,.390,3,13,.231,23,33,.697,14,40,15,3,5,12,19
55,52,2015-02-09,@,NOP,W,100,96,33,79,.418,13,22,.591,17,20,.850,15,40,20,5,17,15,19
56,53,2015-02-11,@,DAL,L,82,87,28,75,.373,10,28,.357,21,26,.808,7,38,18,11,3,11,21
57,54,2015-02-20,,POR,W,92,76,26,72,.361,4,22,.182,20,22,.909,3,37,12,5,5,13,13
58,55,2015-02-23,,SAS,W,90,81,32,79,.405,5,19,.263,12,21,.571,12,44,17,7,7,22,21
59,56,2015-02-25,,LAL,L,97,100,40,89,.449,2,11,.182,18,21,.857,14,42,17,12,8,9,25
60,57,2015-02-27,@,DEN,W,104,82,28,84,.333,8,32,.250,18,29,.621,16,36,22,9,3,15,13
61,58,2015-02-28,,MIL,W,82,75,29,74,.392,5,15,.333,12,14,.857,8,39,18,15,4,23,23
62,59,2015-03-03,@,MEM,W,93,82,33,82,.402,3,11,.273,13,19,.684,11,37,15,7,4,11,12
63,60,2015-03-04,@,BOS,L,84,85,33,88,.375,8,27,.296,11,20,.550,12,39,21,5,3,3,20
64,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
66,61,2015-03-06,@,PHI,W,89,83,32,88,.364,10,32,.313,9,18,.500,13,43,22,13,4,13,29
67,62,2015-03-08,@,BRK,W,95,88,38,76,.500,8,15,.533,4,11,.364,7,30,21,9,2,14,16
68,63,2015-03-10,,NYK,W,87,82,31,79,.392,5,13,.385,15,17,.882,8,38,17,5,5,12,22
69,64,2015-03-12,,HOU,W,109,91,34,79,.430,7,32,.219,16,24,.667,8,37,19,8,2,9,22
70,65,2015-03-14,,DET,W,88,85,32,84,.381,8,23,.348,13,22,.591,16,44,18,8,3,12,20
71,66,2015-03-16,,CHO,W,94,66,23,78,.295,5,19,.263,15,18,.833,6,36,9,5,4,7,11
72,67,2015-03-18,,WAS,L,84,88,33,63,.524,6,11,.545,16,23,.696,6,41,16,4,3,21,21
73,68,2015-03-19,@,LAL,W,80,73,31,77,.403,3,11,.273,8,17,.471,9,43,20,9,3,14,22
74,69,2015-03-21,@,GSW,L,91,106,38,78,.487,8,18,.444,22,26,.846,7,37,25,11,3,10,17
75,70,2015-03-23,,MIN,L,104,106,37,78,.474,12,19,.632,20,25,.800,11,37,19,10,4,19,23
76,71,2015-03-25,,POR,L,89,92,34,81,.420,7,27,.259,17,20,.850,11,45,19,4,5,14,18
77,72,2015-03-27,@,DEN,L,91,107,39,76,.513,13,24,.542,16,23,.696,8,41,23,8,4,17,23
78,73,2015-03-28,,OKC,W,94,89,31,73,.425,6,16,.375,21,32,.656,10,48,14,5,4,23,29
79,74,2015-03-30,@,MIN,W,104,84,28,76,.368,6,16,.375,22,27,.815,10,34,21,5,4,12,17
80,75,2015-04-01,,DEN,W,98,84,33,95,.347,7,33,.212,11,12,.917,11,39,13,7,5,6,22
81,76,2015-04-04,@,PHO,L,85,87,30,69,.435,5,14,.357,22,29,.759,6,32,12,11,7,15,21
82,77,2015-04-05,@,SAC,W,101,95,38,79,.481,5,15,.333,14,24,.583,11,43,20,13,3,20,20
83,78,2015-04-08,,SAC,W,103,91,33,75,.440,7,16,.438,18,28,.643,7,31,19,9,1,9,17
84,79,2015-04-10,,MEM,L,88,89,36,76,.474,5,15,.333,12,19,.632,7,36,22,8,1,11,22
85,80,2015-04-11,@,POR,W,111,105,41,87,.471,6,30,.200,17,22,.773,9,39,22,11,4,12,25
86,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
88,81,2015-04-13,,DAL,W,109,92,34,82,.415,9,20,.450,15,23,.652,12,41,18,4,4,16,21
89,82,2015-04-15,@,HOU,L,91,117,41,76,.539,12,28,.429,23,34,.676,4,49,28,9,13,18,19
