,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2017-10-18,,DEN,W,106,96,41,81,.506,9,24,.375,15,16,.938,6,36,28,9,5,15,18
1,2,2017-10-20,@,MIN,L,97,100,37,77,.481,9,22,.409,14,17,.824,7,38,23,10,8,19,21
2,3,2017-10-21,,OKC,W,96,87,38,77,.494,9,29,.310,11,14,.786,7,41,22,11,4,18,21
3,4,2017-10-24,@,LAC,L,84,102,34,79,.430,7,28,.250,9,11,.818,8,41,20,7,7,18,23
4,5,2017-10-25,@,PHO,L,88,97,32,77,.416,6,25,.240,18,25,.720,7,44,20,8,10,23,19
5,6,2017-10-28,,LAL,W,96,81,37,79,.468,13,31,.419,9,13,.692,14,49,18,9,5,21,20
6,7,2017-10-30,,DAL,W,104,89,38,81,.469,16,35,.457,12,15,.800,6,35,25,16,8,14,17
7,8,2017-11-01,,POR,W,112,103,34,90,.378,13,29,.448,31,36,.861,10,55,16,9,8,14,21
8,9,2017-11-03,,TOR,L,100,109,35,80,.438,8,23,.348,22,24,.917,10,33,11,9,5,13,25
9,10,2017-11-05,@,HOU,L,110,137,38,88,.432,13,34,.382,21,24,.875,8,33,22,7,3,13,18
10,11,2017-11-07,,PHI,L,97,104,30,99,.303,9,39,.231,28,35,.800,14,45,15,14,6,12,23
11,12,2017-11-10,,MIA,L,74,84,25,74,.338,5,21,.238,19,22,.864,4,40,12,10,7,17,20
12,13,2017-11-11,,BRK,W,114,106,41,85,.482,11,29,.379,21,25,.840,12,44,19,12,3,16,29
13,14,2017-11-13,,MIN,L,98,109,37,84,.440,14,40,.350,10,11,.909,8,31,23,8,4,15,23
14,15,2017-11-15,@,NYK,L,101,106,34,79,.430,17,35,.486,16,17,.941,9,37,19,5,10,13,23
15,16,2017-11-17,@,BRK,L,107,118,39,79,.494,12,26,.462,17,24,.708,10,39,21,6,6,16,19
16,17,2017-11-18,@,ORL,W,125,85,47,98,.480,14,34,.412,17,18,.944,14,54,31,10,4,10,19
17,18,2017-11-20,@,PHI,L,86,107,30,85,.353,9,28,.321,17,19,.895,7,34,18,16,4,14,19
18,19,2017-11-22,,CHI,W,110,80,40,86,.465,14,35,.400,16,19,.842,8,45,23,10,5,7,15
19,20,2017-11-25,,MIL,W,121,108,46,81,.568,18,32,.563,11,19,.579,5,30,31,8,2,10,19
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2017-11-28,,DEN,W,106,77,42,87,.483,14,32,.438,8,9,.889,9,43,24,7,6,11,20
23,22,2017-11-30,@,LAC,W,126,107,49,85,.576,17,35,.486,11,14,.786,10,33,38,13,2,13,20
24,23,2017-12-01,,NOP,W,114,108,42,85,.494,12,30,.400,18,25,.720,8,46,25,7,3,7,15
25,24,2017-12-04,,WAS,W,116,69,43,76,.566,16,34,.471,14,18,.778,10,52,29,9,3,16,20
26,25,2017-12-05,@,OKC,L,94,100,34,79,.430,11,33,.333,15,21,.714,9,35,18,16,5,16,21
27,26,2017-12-07,,HOU,L,101,112,34,77,.442,11,30,.367,22,27,.815,4,32,17,10,5,13,21
28,27,2017-12-09,@,MIL,L,100,117,33,76,.434,8,23,.348,26,37,.703,9,35,20,7,3,16,23
29,28,2017-12-13,@,CHI,L,100,103,42,91,.462,9,30,.300,7,7,1.000,5,48,24,3,8,16,19
30,29,2017-12-15,@,BOS,W,107,95,40,83,.482,13,25,.520,14,18,.778,9,55,19,6,2,15,20
31,30,2017-12-16,@,CLE,L,100,109,37,81,.457,17,34,.500,9,14,.643,11,38,24,9,7,12,14
32,31,2017-12-18,@,HOU,L,99,120,42,91,.462,8,27,.296,7,8,.875,5,32,17,12,1,6,22
33,32,2017-12-20,@,OKC,L,79,107,26,73,.356,7,31,.226,20,27,.741,11,39,13,6,3,18,15
34,33,2017-12-21,,SAS,W,100,89,34,74,.459,12,26,.462,20,24,.833,5,41,18,7,4,12,18
35,34,2017-12-23,,OKC,L,89,103,33,72,.458,6,26,.231,17,20,.850,6,37,16,3,2,12,13
36,35,2017-12-26,@,DEN,L,83,107,27,84,.321,10,35,.286,19,23,.826,12,42,19,7,0,7,22
37,36,2017-12-27,@,GSW,L,101,126,37,92,.402,6,23,.261,21,27,.778,10,43,21,10,2,13,22
38,37,2017-12-30,,CLE,W,104,101,38,82,.463,10,31,.323,18,21,.857,5,43,24,12,4,11,24
39,38,2018-01-03,,NOP,L,98,108,38,84,.452,7,32,.219,15,17,.882,6,36,23,12,1,14,21
40,39,2018-01-05,@,DEN,L,91,99,38,84,.452,12,33,.364,3,6,.500,8,53,26,7,5,17,16
41,40,2018-01-07,@,MIA,L,102,103,37,82,.451,10,32,.313,18,20,.900,8,44,15,6,5,11,18
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2018-01-10,@,WAS,W,107,104,43,92,.467,11,33,.333,10,13,.769,11,39,23,15,3,12,17
45,42,2018-01-12,@,CHO,L,88,99,28,77,.364,12,35,.343,20,23,.870,8,45,19,5,8,14,26
46,43,2018-01-15,,IND,L,94,109,36,81,.444,9,33,.273,13,17,.765,9,38,11,11,7,13,12
47,44,2018-01-17,@,SAC,W,120,105,46,81,.568,12,29,.414,16,20,.800,6,29,26,15,4,10,20
48,45,2018-01-19,,NYK,L,115,117,42,91,.462,11,31,.355,20,30,.667,15,52,19,4,6,17,20
49,46,2018-01-20,,LAC,W,125,113,45,82,.549,11,28,.393,24,32,.750,11,56,21,9,3,20,29
50,47,2018-01-22,@,ATL,L,90,104,33,76,.434,4,15,.267,20,28,.714,7,39,20,8,6,16,15
51,48,2018-01-24,@,DET,W,98,95,38,96,.396,10,31,.323,12,16,.750,9,44,24,11,9,14,15
52,49,2018-01-26,@,TOR,W,97,93,36,87,.414,10,21,.476,15,21,.714,10,47,20,7,5,13,16
53,50,2018-01-30,,GSW,W,129,99,53,91,.582,14,28,.500,9,14,.643,7,42,25,16,3,11,22
54,51,2018-02-02,@,PHO,W,129,97,51,90,.567,15,29,.517,12,17,.706,9,51,30,7,6,11,21
55,52,2018-02-03,@,SAS,W,120,111,39,69,.565,12,23,.522,30,36,.833,5,37,26,6,5,17,19
