,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2018-10-18,,MIA,L,112,113,38,81,.469,7,26,.269,29,39,.744,7,40,19,7,15,14,31
1,2,2018-10-20,,TOR,L,113,117,37,89,.416,13,39,.333,26,32,.813,9,37,20,11,9,11,27
2,3,2018-10-22,@,POR,W,125,124,46,110,.418,15,37,.405,18,26,.692,12,54,23,6,7,10,27
3,4,2018-10-24,@,GSW,L,122,144,42,93,.452,12,42,.286,26,28,.929,7,34,22,7,1,12,24
4,5,2018-10-26,@,SAC,L,112,116,40,86,.465,14,42,.333,18,23,.783,5,42,22,8,7,21,27
5,6,2018-10-28,@,LAC,L,104,136,38,97,.392,5,27,.185,23,28,.821,14,45,18,7,3,14,16
6,7,2018-10-30,@,MEM,L,95,107,32,74,.432,14,35,.400,17,20,.850,5,37,24,9,7,20,22
7,8,2018-11-02,,OKC,L,111,134,44,86,.512,9,30,.300,14,18,.778,6,30,27,6,4,18,21
8,9,2018-11-04,,NYK,W,108,95,36,83,.434,6,26,.231,30,39,.769,15,47,21,12,11,13,18
9,10,2018-11-06,@,DAL,L,100,119,37,87,.425,11,35,.314,15,20,.750,5,32,27,8,6,10,24
10,11,2018-11-09,@,ORL,L,108,117,42,82,.512,11,27,.407,13,19,.684,6,35,24,8,3,18,18
11,12,2018-11-10,@,MIA,W,116,110,40,83,.482,8,22,.364,28,38,.737,16,48,14,8,5,15,25
12,13,2018-11-12,,ORL,W,117,109,40,79,.506,13,33,.394,24,33,.727,7,41,24,8,7,10,17
13,14,2018-11-14,,CLE,W,119,95,44,92,.478,13,40,.325,18,26,.692,12,44,30,17,3,18,25
14,15,2018-11-16,,BRK,L,104,115,37,87,.425,3,18,.167,27,34,.794,12,47,18,5,4,13,23
15,16,2018-11-18,,POR,L,109,119,43,96,.448,13,32,.406,10,21,.476,9,43,28,4,9,11,30
16,17,2018-11-20,,LAC,W,125,118,40,93,.430,13,39,.333,32,39,.821,11,44,27,11,8,7,20
17,18,2018-11-23,@,TOR,L,107,125,40,100,.400,9,46,.196,18,19,.947,14,44,28,8,7,12,16
18,19,2018-11-24,,NOP,W,124,114,51,90,.567,10,29,.345,12,23,.522,5,45,30,12,9,14,16
19,20,2018-11-26,,HOU,W,135,131,50,89,.562,11,29,.379,24,32,.750,9,38,29,7,7,13,29
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2018-11-28,@,NOP,L,104,125,41,95,.432,13,39,.333,9,16,.563,12,38,26,12,2,16,22
23,22,2018-11-30,@,PHI,L,98,123,37,92,.402,8,28,.286,16,19,.842,8,42,22,10,4,15,20
24,23,2018-12-01,,BRK,W,102,88,41,79,.519,8,26,.308,12,18,.667,2,38,19,8,3,13,21
25,24,2018-12-03,@,NYK,W,110,107,44,92,.478,13,32,.406,9,12,.750,8,38,30,7,8,10,24
26,25,2018-12-05,@,ATL,W,131,117,46,95,.484,12,38,.316,27,32,.844,12,49,35,9,4,15,24
27,26,2018-12-08,@,CLE,L,101,116,38,86,.442,14,38,.368,11,16,.688,8,33,26,3,3,8,12
28,27,2018-12-10,@,IND,L,101,109,37,88,.420,10,30,.333,17,24,.708,6,34,22,13,3,12,22
29,28,2018-12-12,,BOS,L,125,130,46,91,.505,12,33,.364,21,29,.724,8,41,25,7,4,15,27
30,29,2018-12-14,@,BRK,L,118,125,49,90,.544,11,29,.379,9,16,.563,4,26,30,3,3,9,24
31,30,2018-12-16,,LAL,W,128,110,54,106,.509,13,31,.419,7,10,.700,15,51,30,14,5,17,13
32,31,2018-12-18,@,ATL,L,110,118,36,83,.434,13,40,.325,25,36,.694,9,37,26,14,1,15,32
33,32,2018-12-19,@,HOU,L,118,136,45,84,.536,10,30,.333,18,23,.783,4,31,28,8,2,11,15
34,33,2018-12-22,,PHO,W,149,146,56,111,.505,13,36,.361,24,27,.889,17,53,40,6,5,22,26
35,34,2018-12-23,@,IND,L,89,105,28,76,.368,9,35,.257,24,26,.923,6,37,21,8,1,22,18
36,35,2018-12-26,@,DET,L,95,106,38,83,.458,9,33,.273,10,13,.769,6,31,17,14,4,16,21
37,36,2018-12-28,,CHI,L,92,101,34,85,.400,9,30,.300,15,18,.833,8,40,22,7,6,12,18
38,37,2018-12-29,,CHO,W,130,126,48,93,.516,13,37,.351,21,24,.875,9,42,35,8,6,12,18
