,G,Date,H/A,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2019-10-23,@,DAL,L,100,108,35,76,.461,11,36,.306,27,33,.818,5,46,17,6,5,19,22
1,2,2019-10-25,@,OKC,W,97,85,33,83,.398,5,23,.217,14,22,.636,7,49,14,7,6,18,18
2,3,2019-10-26,@,SAS,L,122,124,50,108,.463,10,28,.357,14,17,.824,21,53,29,6,7,9,19
3,4,2019-10-30,,HOU,L,158,159,55,103,.534,23,54,.426,26,33,.788,19,44,34,10,5,13,24
4,5,2019-11-02,,MIN,L,109,131,51,94,.543,17,39,.436,12,17,.706,3,47,33,9,10,21,23
5,6,2019-11-04,,DET,W,115,99,34,82,.415,13,27,.481,18,23,.783,13,42,21,4,9,19,20
6,7,2019-11-06,@,IND,L,106,121,44,94,.468,12,30,.400,21,26,.808,13,48,35,8,3,13,25
7,8,2019-11-08,,CLE,L,100,113,41,90,.456,6,27,.222,25,29,.862,17,48,18,10,5,12,17
8,9,2019-11-13,@,BOS,L,133,140,49,96,.510,16,36,.444,26,29,.897,10,44,32,5,5,11,26
9,10,2019-11-15,@,MIN,W,137,116,42,89,.472,11,37,.297,21,29,.724,9,43,26,6,5,20,20
10,11,2019-11-17,@,ORL,L,121,125,43,87,.494,15,38,.395,24,26,.923,11,52,25,5,3,14,15
11,12,2019-11-20,,SAS,W,138,132,49,93,.527,12,32,.375,22,29,.759,12,41,32,8,8,12,13
12,13,2019-11-22,,CHO,W,125,118,48,93,.516,14,34,.412,8,8,1.000,7,44,24,9,5,16,18
13,14,2019-11-24,,SAC,L,106,113,39,81,.481,11,31,.355,24,28,.857,6,39,22,9,5,13,17
14,15,2019-11-26,@,DEN,L,104,117,47,90,.522,6,24,.250,17,23,.739,10,58,31,8,6,20,20
15,16,2019-11-27,@,PHO,W,140,132,48,93,.516,15,38,.395,21,24,.875,12,40,29,7,6,15,21
16,17,2019-11-29,@,LAL,L,103,125,45,87,.517,14,32,.438,21,28,.750,7,47,29,9,8,18,20
17,18,2019-12-01,@,LAC,L,125,150,52,94,.553,14,32,.438,32,40,.800,10,52,22,8,5,16,25
18,19,2019-12-03,,ORL,L,120,127,46,90,.511,15,31,.484,20,27,.741,8,48,26,3,4,13,18
19,20,2019-12-05,,PHI,W,119,113,41,77,.532,13,28,.464,18,24,.750,8,44,25,7,6,21,24
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,21,2019-12-06,@,MIA,L,103,112,42,86,.488,10,28,.357,18,24,.750,11,50,28,6,7,12,13
23,22,2019-12-08,,LAC,L,119,135,50,96,.521,15,40,.375,20,27,.741,9,45,27,8,4,10,26
24,23,2019-12-10,@,CHO,L,107,114,38,85,.447,16,41,.390,22,28,.786,11,48,22,4,4,13,26
25,24,2019-12-14,@,MEM,L,111,128,48,84,.571,11,27,.407,21,24,.875,9,46,32,11,7,23,24
26,25,2019-12-16,@,DET,W,133,119,41,86,.477,13,39,.333,24,34,.706,12,36,29,6,4,14,19
27,26,2019-12-18,,CHI,L,109,110,39,97,.402,11,37,.297,21,24,.875,11,53,25,10,6,15,24
28,27,2019-12-20,@,TOR,L,118,122,38,78,.487,12,30,.400,34,44,.773,6,42,26,6,3,17,25
29,28,2019-12-21,@,PHI,L,108,125,49,94,.521,14,33,.424,13,21,.619,16,53,28,7,4,14,26
30,29,2019-12-23,@,NYK,W,121,115,44,93,.473,15,36,.417,12,15,.800,11,44,29,4,10,14,25
31,30,2019-12-26,@,DET,L,102,132,46,86,.535,19,48,.396,21,26,.808,11,48,32,5,5,14,23
32,31,2019-12-28,,NYK,L,100,107,38,85,.447,11,31,.355,20,26,.769,11,56,25,5,5,21,25
33,32,2019-12-30,,MIA,W,123,105,33,73,.452,10,28,.357,29,39,.744,10,44,18,5,1,18,22
34,33,2020-01-01,,ORL,L,101,122,45,95,.474,12,32,.375,20,27,.741,11,52,25,11,6,9,21
35,34,2020-01-03,,POR,L,103,122,45,88,.511,6,25,.240,26,33,.788,11,41,16,6,7,7,21
36,35,2020-01-04,,DEN,W,128,114,40,87,.460,6,29,.207,28,34,.824,9,33,18,6,2,12,23
37,36,2020-01-06,,BOS,W,99,94,33,95,.347,8,37,.216,20,26,.769,16,55,17,7,8,16,20
38,37,2020-01-08,@,ORL,L,89,123,43,87,.494,10,27,.370,27,34,.794,13,51,24,18,3,16,21
39,38,2020-01-10,,ATL,W,111,101,41,89,.461,7,29,.241,12,24,.500,9,56,19,5,9,18,26
40,39,2020-01-12,,UTA,L,116,127,48,90,.533,10,30,.333,21,25,.840,12,44,24,6,2,11,18
41,40,2020-01-15,@,CHI,L,106,115,43,85,.506,14,38,.368,15,22,.682,8,41,26,11,5,15,19
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,41,2020-01-17,@,TOR,L,111,140,52,91,.571,22,43,.512,14,16,.875,7,41,35,16,2,19,24
45,42,2020-01-20,,DET,W,106,100,38,89,.427,10,32,.313,14,20,.700,11,41,19,10,5,17,18
46,43,2020-01-22,@,MIA,L,129,134,43,85,.506,17,33,.515,31,36,.861,6,43,29,3,6,16,18
47,44,2020-01-23,@,CLE,W,124,112,44,96,.458,11,33,.333,13,17,.765,10,36,24,7,1,8,21
48,45,2020-01-26,@,ATL,L,133,152,54,93,.581,15,35,.429,29,34,.853,12,48,30,7,3,14,35
49,46,2020-01-28,@,MIL,L,131,151,50,90,.556,19,37,.514,32,35,.914,11,46,31,3,3,14,26
50,47,2020-01-30,,CHO,W,121,107,43,99,.434,9,30,.300,12,19,.632,16,38,32,9,4,7,24
51,48,2020-02-01,,BRK,W,113,107,39,94,.415,16,47,.340,13,21,.619,12,53,25,5,7,15,22
52,49,2020-02-03,,GSW,L,117,125,43,87,.494,15,30,.500,24,31,.774,12,44,31,8,6,14,25
53,50,2020-02-07,,DAL,W,119,118,42,91,.462,16,40,.400,18,21,.857,15,49,27,7,2,13,21
54,51,2020-02-09,,MEM,L,99,106,43,102,.422,5,32,.156,15,25,.600,13,62,19,4,4,13,23
55,52,2020-02-11,,CHI,W,126,114,44,92,.478,16,39,.410,10,14,.714,10,44,25,9,4,20,22
56,53,2020-02-12,@,NYK,W,114,96,36,88,.409,3,23,.130,21,29,.724,14,52,19,10,3,20,27
57,54,2020-02-21,,CLE,L,108,113,43,81,.531,11,27,.407,16,25,.640,10,47,19,3,6,21,24
58,55,2020-02-23,@,CHI,L,117,126,45,81,.556,18,37,.486,18,28,.643,10,37,27,15,4,26,28
59,56,2020-02-24,,MIL,L,134,137,49,86,.570,17,37,.459,22,27,.815,4,45,26,7,4,21,28
60,57,2020-02-26,,BRK,W,110,106,36,87,.414,10,36,.278,24,35,.686,15,56,15,7,1,18,24
